ApplicationId,Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri
50,2014,18.0,kadin,1993/09/12,Null,ankara
51,2014,44.0,kadin,1993/01/25,sanliurfa,antalya
52,2014,44.0,kadin,1992/12/21,corum,istanbul
53,2014,28.0,kadin,1993/02/17,Null,ankara
54,2014,52.0,kadin,1993/08/29,canakkale,istanbul
55,2014,34.0,kadin,1992/02/26,Null,istanbul
56,2014,32.0,kadin,1994/03/12,ankara,istanbul
57,2014,32.0,kadin,1993/01/05,istanbul,istanbul
58,2014,52.0,kadin,1994/06/30,antalya,ankara
59,2014,38.0,kadin,1991/02/27,Null,istanbul
60,2014,18.0,kadin,1993/01/11,ankara,istanbul
61,2014,34.0,kadin,1991/03/17,Null,istanbul
62,2014,44.0,erkek,1992/09/01,antalya,istanbul
63,2014,14.0,erkek,1994/07/13,konya,konya
64,2014,32.0,erkek,1991/02/01,cankiri,istanbul
65,2014,42.0,erkek,1990/08/01,istanbul,istanbul
66,2014,48.0,erkek,1992/05/30,malatya,istanbul
67,2014,29.0,erkek,1994/09/22,ankara,ankara
68,2014,30.0,erkek,1994/01/01,eskisehir,Null
69,2014,20.0,erkek,1995/10/07,istanbul,istanbul
70,2014,12.0,erkek,1992/03/12,Null,Null
71,2014,46.0,kadin,1991/02/05,izmir,izmir
72,2014,48.0,kadin,1992/08/04,Null,Null
73,2014,44.0,kadin,1992/10/22,izmir,Null
74,2014,50.0,kadin,1993/07/26,adana,istanbul
75,2014,51.0,kadin,1994/05/25,istanbul,Null
76,2014,44.0,kadin,1993/08/26,bartin,bartin
77,2014,42.0,erkek,1994/01/26,istanbul,istanbul
78,2014,22.0,kadin,1995/02/03,istanbul,istanbul
79,2014,52.0,kadin,1994/06/29,karaman,istanbul
80,2014,29.0,erkek,1990/10/21,istanbul,Null
81,2014,32.0,erkek,1992/04/24,izmir,izmir
82,2014,26.0,kadin,1989/01/02,Null,Null
83,2014,30.0,kadin,1995/06/12,van,istanbul
84,2014,65.0,kadin,1992/01/08,samsun,istanbul
85,2014,44.0,kadin,1994/04/12,bingol,bingol
86,2014,56.0,kadin,1993/01/01,Null,Null
87,2014,33.0,kadin,1994/01/24,mersin,mersin
88,2014,61.0,kadin,1994/10/25,van,istanbul
89,2014,62.0,kadin,1993/03/20,izmir,izmir
90,2014,49.0,erkek,1993/08/30,elazig,antalya
91,2014,48.0,kadin,1993/05/18,istanbul,istanbul
92,2014,49.0,erkek,1992/09/05,giresun,istanbul
93,2014,18.0,erkek,1995/09/22,ankara,istanbul
94,2014,30.0,erkek,1992/08/24,canakkale,istanbul
95,2014,24.0,kadin,1992/06/30,ordu,Null
96,2014,48.0,kadin,1992/10/11,corum,istanbul
97,2014,70.0,erkek,1991/09/18,balikesir,ankara
98,2014,24.0,erkek,1989/04/21,istanbul,istanbul
99,2014,16.0,erkek,1994/08/16,kayseri,kayseri
100,2014,42.0,erkek,1990/03/14,bursa,bursa
101,2014,18.0,erkek,1995/08/28,Null,istanbul
102,2014,18.0,erkek,1994/05/24,cankiri,istanbul
103,2014,22.0,erkek,1994/01/12,manisa,manisa
104,2014,22.0,erkek,1994/01/12,manisa,Null
105,2014,22.0,kadin,1994/02/03,Null,istanbul
106,2014,38.0,kadin,1993/11/12,sivas,istanbul
107,2014,52.0,kadin,1992/03/17,ankara,Null
108,2014,56.0,kadin,1990/07/12,kutahya,istanbul
109,2014,43.0,kadin,1995/08/22,bursa,bursa
110,2014,23.0,kadin,1995/11/28,erzurum,izmir
111,2014,38.0,kadin,1992/06/14,Null,istanbul
112,2014,38.0,kadin,1993/10/20,samsun,samsun
113,2014,44.0,kadin,1995/05/16,izmir,Null
114,2014,28.0,kadin,1995/11/18,izmir,Null
115,2014,61.0,kadin,1994/02/24,ankara,istanbul
116,2014,34.0,kadin,1995/11/18,samsun,istanbul
117,2014,33.0,kadin,1994/02/04,karabuk,Null
118,2014,46.0,kadin,1993/02/18,bursa,istanbul
119,2014,31.0,kadin,1992/04/10,Null,istanbul
120,2014,64.0,kadin,1992/03/17,konya,Null
121,2014,52.0,kadin,1991/08/16,bilecik,istanbul
122,2014,52.0,kadin,1994/06/11,konya,istanbul
123,2014,28.0,kadin,1995/12/25,istanbul,istanbul
124,2014,50.0,kadin,1993/10/21,istanbul,antalya
125,2014,38.0,kadin,1994/05/05,istanbul,istanbul
126,2014,34.0,erkek,1987/04/11,istanbul,istanbul
127,2014,20.0,erkek,1991/01/05,siirt,istanbul
128,2014,40.0,erkek,1992/01/01,izmir,istanbul
129,2014,24.0,erkek,1993/10/15,izmir,izmir
130,2014,38.0,kadin,1992/04/11,ankara,ankara
131,2014,32.0,kadin,1995/08/11,ankara,istanbul
132,2014,26.0,erkek,1993/08/11,kars,istanbul
133,2014,8.0,erkek,1995/08/06,kutahya,istanbul
134,2014,61.0,kadin,1994/01/24,ankara,istanbul
135,2014,28.0,erkek,1992/06/05,diyarbakir,istanbul
136,2014,24.0,kadin,1993/05/30,diyarbakir,diyarbakir
137,2014,59.0,kadin,1991/01/08,ankara,ankara
138,2014,46.0,kadin,1993/03/24,izmir,Null
139,2014,43.0,kadin,1993/04/02,ankara,Null
140,2014,29.0,kadin,1993/09/28,Null,istanbul
141,2014,24.0,kadin,1993/02/05,balikesir,izmir
142,2014,34.0,erkek,1992/01/24,istanbul,istanbul
143,2014,51.0,erkek,1992/04/20,istanbul,istanbul
144,2014,22.0,kadin,1993/01/01,adiyaman,Null
145,2014,26.0,erkek,1993/06/15,kirklareli,kirklareli
146,2014,57.0,erkek,1993/06/06,ankara,ankara
147,2014,28.0,erkek,1995/10/01,aydin,istanbul
148,2014,28.0,kadin,1989/02/20,bursa,ankara
149,2014,63.0,kadin,1995/03/02,erzurum,istanbul
150,2014,36.0,erkek,1991/06/05,antalya,Null
151,2014,53.0,kadin,1993/07/20,manisa,istanbul
152,2014,37.0,kadin,1993/09/18,elazig,antalya
153,2014,54.0,kadin,1994/09/15,sivas,istanbul
154,2014,34.0,kadin,1991/03/02,izmir,izmir
155,2014,50.0,kadin,1992/02/16,izmir,istanbul
156,2014,14.0,erkek,1992/12/11,corum,istanbul
157,2014,41.0,kadin,1992/06/08,izmir,istanbul
158,2014,49.0,kadin,1993/07/01,Null,Null
159,2014,44.0,erkek,1995/06/03,sakarya,kocaeli
160,2014,50.0,kadin,1995/07/17,antalya,antalya
161,2014,44.0,kadin,1993/06/28,ankara,ankara
162,2014,22.0,kadin,1991/08/21,ankara,Null
163,2014,22.0,kadin,1991/05/25,Null,izmir
164,2014,58.0,kadin,1995/01/01,mugla,izmir
165,2014,46.0,kadin,1991/01/06,Null,istanbul
166,2014,33.0,kadin,1995/07/29,zonguldak,istanbul
167,2014,53.0,kadin,1992/09/09,kocaeli,istanbul
168,2014,50.0,kadin,1994/07/20,adana,istanbul
169,2014,43.0,kadin,1993/01/14,balikesir,istanbul
170,2014,48.0,kadin,1991/01/30,usak,istanbul
171,2014,23.0,kadin,1995/06/28,izmir,Null
172,2014,71.0,kadin,1993/09/03,sakarya,Null
173,2014,42.0,kadin,1995/04/13,Null,aydin
174,2014,52.0,kadin,1993/08/18,izmir,manisa
175,2014,48.0,kadin,1970/09/20,giresun,mugla
176,2014,26.0,erkek,1993/02/20,Null,Null
177,2014,63.0,erkek,1992/09/11,izmir,istanbul
178,2014,26.0,erkek,1995/02/15,Null,antalya
179,2014,8.0,erkek,1993/03/19,malatya,istanbul
180,2014,30.0,erkek,1994/03/06,izmir,izmir
181,2014,24.0,erkek,1994/01/22,istanbul,istanbul
182,2014,46.0,kadin,1992/09/28,Null,istanbul
183,2014,36.0,kadin,1994/11/18,tekirdag,Null
184,2014,51.0,kadin,1992/12/21,istanbul,istanbul
185,2014,40.0,kadin,1994/04/08,tokat,izmir
186,2014,43.0,kadin,1993/08/04,zonguldak,zonguldak
187,2014,36.0,kadin,1994/05/22,mugla,erzurum
188,2014,98.0,kadin,1994/06/13,ankara,ankara
189,2014,36.0,erkek,1995/07/03,canakkale,mersin
190,2014,42.0,erkek,1991/11/28,Null,Null
191,2014,28.0,erkek,1995/08/10,kayseri,Null
192,2014,12.0,erkek,1991/10/20,bursa,ankara
193,2014,26.0,erkek,1994/02/10,eskisehir,istanbul
194,2014,24.0,erkek,1994/03/22,tokat,istanbul
195,2014,18.0,erkek,1993/12/30,istanbul,Null
196,2014,20.0,erkek,1993/01/01,istanbul,istanbul
197,2014,58.0,erkek,1993/05/26,ankara,istanbul
198,2014,23.0,erkek,1993/02/05,sanliurfa,istanbul
199,2014,28.0,erkek,1994/09/25,Null,Null
200,2014,50.0,erkek,1992/08/05,Null,istanbul
201,2014,42.0,erkek,1993/05/14,kastamonu,istanbul
202,2014,48.0,erkek,1970/01/01,mersin,Null
203,2014,31.0,kadin,1992/10/08,diyarbakir,ankara
204,2014,16.0,erkek,1991/03/21,karabuk,istanbul
205,2014,21.0,erkek,1992/10/05,istanbul,istanbul
206,2014,26.0,erkek,1992/02/11,adana,istanbul
207,2014,58.0,erkek,1994/01/28,istanbul,istanbul
208,2014,34.0,kadin,1995/11/24,ankara,ankara
209,2014,29.0,kadin,1992/01/30,ankara,ankara
210,2014,52.0,kadin,1993/08/29,kayseri,kayseri
211,2014,22.0,kadin,1992/09/11,Null,istanbul
212,2014,22.0,kadin,1993/09/19,antalya,antalya
213,2014,66.0,kadin,1993/08/24,mersin,Null
214,2014,42.0,kadin,1994/10/12,antalya,istanbul
215,2014,23.0,kadin,1995/12/22,malatya,istanbul
216,2014,71.0,kadin,1994/03/21,Null,Null
217,2014,54.0,kadin,1994/09/08,konya,istanbul
218,2014,43.0,kadin,1993/09/17,ankara,istanbul
219,2014,31.0,erkek,1994/04/27,istanbul,Null
220,2014,27.0,erkek,1994/12/19,Null,istanbul
221,2014,44.0,kadin,1991/10/28,Null,istanbul
222,2014,58.0,kadin,1993/06/11,edirne,istanbul
223,2014,36.0,erkek,1990/08/02,Null,Null
224,2014,18.0,erkek,1992/07/10,malatya,bursa
225,2014,22.0,erkek,1994/06/27,Null,istanbul
226,2014,34.0,erkek,1994/10/01,adana,Null
227,2014,51.0,erkek,1992/07/07,ankara,ankara
228,2014,42.0,erkek,1990/09/02,Null,istanbul
229,2014,28.0,kadin,1993/12/21,Null,istanbul
230,2014,28.0,kadin,1991/04/18,Null,istanbul
231,2014,28.0,erkek,1993/07/26,istanbul,istanbul
232,2014,50.0,erkek,1991/11/20,hakkari,Null
233,2014,16.0,erkek,1992/03/14,Null,Null
234,2014,20.0,erkek,1994/06/09,sanliurfa,bursa
235,2014,33.0,kadin,1992/02/09,istanbul,istanbul
236,2014,43.0,kadin,1992/09/27,denizli,denizli
237,2014,30.0,erkek,1994/02/02,agri,istanbul
238,2014,21.0,erkek,1994/06/01,Null,batman
239,2014,52.0,kadin,1993/02/05,istanbul,istanbul
240,2014,10.0,erkek,1995/07/24,malatya,istanbul
241,2014,44.0,erkek,1992/01/22,Null,gaziantep
242,2014,34.0,erkek,1993/04/13,karabuk,istanbul
243,2014,39.0,kadin,1991/10/28,ankara,ankara
244,2014,68.0,kadin,1992/07/27,trabzon,istanbul
245,2014,24.0,kadin,1994/11/25,kocaeli,istanbul
246,2014,54.0,kadin,1993/04/23,Null,istanbul
247,2014,61.0,kadin,1993/08/11,mersin,istanbul
248,2014,30.0,kadin,1994/08/01,Null,Null
249,2014,30.0,kadin,1993/03/28,kirikkale,Null
250,2014,28.0,kadin,1995/04/25,malatya,istanbul
251,2014,62.0,kadin,1991/01/09,Null,izmir
252,2014,46.0,kadin,1992/08/21,kayseri,istanbul
253,2014,22.0,erkek,1992/11/21,izmir,Null
254,2014,44.0,kadin,1992/09/05,izmir,izmir
255,2014,14.0,erkek,1992/04/21,kirklareli,kirklareli
256,2014,27.0,erkek,1991/02/21,Null,istanbul
257,2014,32.0,erkek,1993/07/23,balikesir,Null
258,2014,24.0,erkek,1992/08/24,konya,istanbul
259,2014,36.0,erkek,1990/06/25,istanbul,Null
260,2014,51.0,kadin,1993/08/28,izmir,aydin
261,2014,34.0,kadin,1991/06/17,ankara,istanbul
262,2014,44.0,kadin,1993/07/18,Null,istanbul
263,2014,85.0,kadin,1993/02/21,Null,ankara
264,2014,54.0,kadin,1992/10/07,izmir,izmir
265,2014,42.0,kadin,1992/08/20,izmir,Null
266,2014,59.0,kadin,1992/09/19,istanbul,istanbul
267,2014,45.0,kadin,1992/06/20,bursa,istanbul
268,2014,36.0,kadin,1994/11/23,karabuk,istanbul
269,2014,26.0,kadin,1993/05/21,Null,istanbul
270,2014,43.0,kadin,1995/05/20,kocaeli,kocaeli
271,2014,67.0,kadin,1992/08/30,istanbul,istanbul
272,2014,56.0,kadin,1990/11/16,samsun,mersin
273,2014,62.0,kadin,1992/07/07,bursa,istanbul
274,2014,47.0,kadin,1994/02/05,zonguldak,istanbul
275,2014,78.0,kadin,1993/01/07,konya,istanbul
276,2014,47.0,kadin,1991/01/01,mugla,istanbul
277,2014,28.0,kadin,1994/03/19,kayseri,kayseri
278,2014,54.0,kadin,1991/05/19,sivas,istanbul
279,2014,34.0,erkek,1991/07/01,Null,istanbul
280,2014,22.0,erkek,1990/01/05,Null,Null
281,2014,22.0,kadin,1993/09/05,Null,Null
282,2014,19.0,erkek,1993/01/23,manisa,istanbul
283,2014,32.0,erkek,1992/06/20,sakarya,istanbul
284,2014,42.0,erkek,1986/11/30,Null,kocaeli
285,2014,50.0,erkek,1992/02/14,eskisehir,istanbul
286,2014,24.0,erkek,1995/09/10,adana,adana
287,2014,46.0,kadin,1993/01/22,Null,Null
288,2014,41.0,erkek,1992/07/21,kahramanmaras,Null
289,2014,34.0,kadin,1994/11/15,istanbul,istanbul
290,2014,24.0,erkek,1992/03/13,istanbul,istanbul
291,2014,33.0,erkek,1991/02/25,ankara,istanbul
292,2014,12.0,erkek,1991/03/03,ankara,ankara
293,2014,34.0,erkek,1991/06/27,nevsehir,Null
294,2014,34.0,erkek,1995/08/24,kirikkale,istanbul
295,2014,40.0,kadin,1993/04/17,kayseri,kayseri
296,2014,30.0,kadin,1992/10/07,balikesir,balikesir
297,2014,18.0,kadin,1994/04/07,mugla,istanbul
298,2014,41.0,kadin,1994/01/15,Null,Null
299,2014,44.0,kadin,1993/03/21,antalya,antalya
300,2014,43.0,erkek,1992/06/09,isparta,Null
301,2014,18.0,erkek,1995/10/25,istanbul,istanbul
302,2014,52.0,erkek,1994/10/12,ankara,antalya
303,2014,13.0,erkek,1994/06/18,istanbul,istanbul
304,2014,20.0,erkek,1994/07/10,sanliurfa,sanliurfa
305,2014,26.0,erkek,1995/10/27,Null,istanbul
306,2014,32.0,erkek,1992/01/21,istanbul,Null
307,2014,54.0,erkek,1992/03/03,karaman,Null
308,2014,40.0,kadin,1995/04/05,edirne,istanbul
309,2014,34.0,kadin,1994/06/07,erzincan,Null
310,2014,50.0,kadin,1993/04/13,ankara,Null
311,2014,38.0,kadin,1995/08/05,kilis,izmir
312,2014,40.0,kadin,1993/09/19,Null,istanbul
313,2014,48.0,kadin,1995/12/28,Null,aydin
314,2014,21.0,erkek,1993/10/06,ankara,istanbul
315,2014,28.0,erkek,1994/01/01,antalya,antalya
316,2014,40.0,erkek,1992/01/01,diyarbakir,izmir
317,2014,18.0,erkek,1988/08/06,Null,Null
318,2014,44.0,erkek,1991/10/07,mersin,istanbul
319,2014,26.0,erkek,1994/10/25,istanbul,ankara
320,2014,52.0,erkek,1993/11/23,sakarya,sakarya
321,2014,38.0,erkek,1992/01/05,kirikkale,istanbul
322,2014,28.0,erkek,1993/09/16,usak,Null
323,2014,26.0,erkek,1990/06/26,izmir,Null
324,2014,13.0,erkek,1995/04/14,mersin,mersin
325,2014,32.0,erkek,1994/08/02,Null,antalya
326,2014,20.0,kadin,1994/02/05,Null,Null
327,2014,12.0,erkek,1992/01/28,batman,istanbul
328,2014,40.0,erkek,1992/06/13,kayseri,kayseri
329,2014,28.0,kadin,1994/08/01,istanbul,istanbul
330,2014,71.0,erkek,1991/01/04,istanbul,istanbul
331,2014,14.0,erkek,1993/10/09,istanbul,istanbul
332,2014,41.0,erkek,1991/02/05,Null,istanbul
333,2014,30.0,erkek,1992/08/18,mersin,istanbul
334,2014,48.0,erkek,1993/10/27,kayseri,Null
335,2014,38.0,erkek,1992/09/12,izmir,izmir
336,2014,50.0,erkek,1992/07/23,osmaniye,ankara
337,2014,20.0,erkek,1994/08/14,nevsehir,Null
338,2014,48.0,erkek,1994/08/12,manisa,istanbul
339,2014,70.0,erkek,1986/01/19,kayseri,istanbul
340,2014,34.0,erkek,1993/06/10,tokat,istanbul
341,2014,33.0,erkek,1993/08/14,diyarbakir,istanbul
342,2014,24.0,erkek,1994/10/09,ankara,Null
343,2014,43.0,erkek,1991/06/22,Null,istanbul
344,2014,53.0,erkek,1994/09/17,antalya,antalya
345,2014,27.0,erkek,1994/10/24,malatya,istanbul
346,2014,42.0,kadin,1993/09/07,gaziantep,Null
347,2014,52.0,kadin,1993/08/01,Null,Null
348,2014,33.0,kadin,1995/03/03,bursa,istanbul
349,2014,18.0,erkek,1995/08/16,Null,Null
350,2014,24.0,erkek,1991/10/12,istanbul,istanbul
351,2014,41.0,kadin,1992/01/05,sivas,izmir
352,2014,20.0,kadin,1995/11/12,istanbul,istanbul
353,2014,44.0,kadin,1995/07/20,balikesir,balikesir
354,2014,22.0,kadin,1993/07/16,Null,izmir
355,2014,40.0,kadin,1992/02/01,denizli,istanbul
356,2014,60.0,kadin,1993/11/29,konya,konya
357,2014,26.0,kadin,1994/09/13,istanbul,istanbul
358,2014,26.0,kadin,1992/06/16,Null,antalya
359,2014,26.0,kadin,1994/12/20,izmir,izmir
360,2014,32.0,kadin,1994/01/08,sakarya,istanbul
361,2014,18.0,kadin,1994/01/17,adana,adana
362,2014,38.0,kadin,1992/01/07,istanbul,Null
363,2014,90.0,kadin,1993/08/01,denizli,Null
364,2014,42.0,erkek,1992/01/13,Null,istanbul
365,2014,24.0,erkek,1994/03/18,nevsehir,nevsehir
366,2014,8.0,erkek,1986/01/13,corum,istanbul
367,2014,36.0,erkek,1987/01/12,mardin,istanbul
368,2014,34.0,kadin,1995/08/20,kayseri,istanbul
369,2014,47.0,erkek,1992/07/13,adana,Null
370,2014,26.0,erkek,1994/10/06,Null,konya
371,2014,40.0,erkek,1995/03/01,konya,istanbul
372,2014,52.0,erkek,1992/05/11,balikesir,izmir
373,2014,38.0,kadin,1991/10/19,erzincan,izmir
374,2014,36.0,kadin,1992/10/13,bolu,istanbul
375,2014,42.0,erkek,1994/11/13,Null,ankara
376,2014,30.0,erkek,1993/06/13,agri,bursa
377,2014,20.0,erkek,1992/06/15,gaziantep,istanbul
378,2014,22.0,erkek,1989/05/26,Null,istanbul
379,2014,12.0,erkek,1993/04/23,tokat,istanbul
380,2014,8.0,erkek,1995/12/18,Null,gaziantep
381,2014,50.0,erkek,1992/09/01,konya,ankara
382,2014,20.0,erkek,1994/07/12,malatya,Null
383,2014,8.0,erkek,1987/11/15,osmaniye,konya
384,2014,31.0,erkek,1992/11/11,istanbul,Null
385,2014,22.0,erkek,1993/06/25,Null,istanbul
386,2014,72.0,kadin,1993/05/28,adana,istanbul
387,2014,26.0,erkek,1992/03/20,Null,kayseri
388,2014,38.0,erkek,1992/09/24,istanbul,istanbul
389,2014,39.0,erkek,1993/05/17,adana,istanbul
390,2014,24.0,erkek,1992/03/08,sanliurfa,gaziantep
391,2014,44.0,erkek,1993/01/12,Null,istanbul
392,2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara
393,2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara
394,2014,36.0,erkek,1993/09/16,Null,istanbul
395,2014,12.0,erkek,1991/01/17,bursa,istanbul
396,2014,32.0,erkek,1990/01/08,istanbul,istanbul
397,2014,43.0,erkek,1991/05/20,nigde,nigde
398,2014,38.0,erkek,1994/06/20,elazig,istanbul
399,2014,38.0,erkek,1993/08/22,malatya,istanbul
400,2014,43.0,erkek,1995/04/05,eskisehir,ankara
401,2014,22.0,erkek,1991/06/06,ankara,ankara
402,2014,22.0,erkek,1992/04/02,ankara,istanbul
403,2014,38.0,kadin,1995/07/12,rize,Null
404,2014,30.0,kadin,1992/04/05,ankara,istanbul
405,2014,22.0,erkek,1994/10/04,bursa,ankara
406,2014,12.0,erkek,1992/01/04,malatya,ankara
407,2014,30.0,kadin,1994/04/25,bursa,istanbul
408,2014,48.0,kadin,1994/10/27,Null,kocaeli
409,2014,50.0,kadin,1994/09/17,kirklareli,Null
410,2014,62.0,kadin,1994/04/12,ankara,ankara
411,2014,38.0,erkek,1993/07/02,adana,Null
412,2014,34.0,erkek,1993/12/14,Null,istanbul
413,2014,27.0,kadin,1995/06/23,kocaeli,izmir
414,2014,18.0,erkek,1992/10/15,Null,istanbul
415,2014,56.0,erkek,1994/10/01,mersin,Null
416,2014,18.0,erkek,1992/03/22,Null,istanbul
417,2014,32.0,erkek,1993/12/05,kutahya,istanbul
418,2014,47.0,erkek,1994/04/01,bursa,istanbul
419,2014,34.0,erkek,1993/02/03,istanbul,Null
420,2014,10.0,erkek,1994/07/22,istanbul,Null
421,2014,22.0,erkek,1990/01/20,kayseri,istanbul
422,2014,40.0,erkek,1995/03/21,nevsehir,Null
423,2014,20.0,erkek,1995/06/27,kocaeli,istanbul
424,2014,52.0,erkek,1992/01/16,amasya,bursa
425,2014,24.0,erkek,1994/10/09,manisa,manisa
426,2014,18.0,erkek,1995/02/23,izmir,izmir
427,2014,22.0,erkek,1991/12/18,Null,izmir
428,2014,18.0,erkek,1994/12/11,Null,Null
429,2014,16.0,erkek,1992/06/07,Null,istanbul
430,2014,34.0,erkek,1992/04/03,izmir,Null
431,2014,43.0,erkek,1993/10/11,Null,istanbul
432,2014,24.0,erkek,1995/06/11,adana,istanbul
433,2014,32.0,erkek,1992/08/18,aydin,istanbul
434,2014,77.0,kadin,1992/06/03,Null,istanbul
435,2014,72.0,kadin,1992/03/08,ankara,istanbul
436,2014,36.0,erkek,1991/11/21,bursa,istanbul
437,2014,24.0,erkek,1992/06/10,malatya,gaziantep
438,2014,40.0,erkek,1993/02/02,samsun,istanbul
439,2014,41.0,kadin,1992/04/15,rize,Null
440,2014,48.0,kadin,1992/09/02,istanbul,istanbul
441,2014,33.0,kadin,1992/08/05,istanbul,istanbul
442,2014,50.0,kadin,1992/05/28,izmir,Null
443,2014,41.0,kadin,1993/01/04,Null,izmir
444,2014,39.0,kadin,1995/07/08,adana,istanbul
445,2014,44.0,erkek,1993/04/02,mersin,Null
446,2014,30.0,erkek,1993/09/16,diyarbakir,istanbul
447,2014,8.0,erkek,1991/03/11,istanbul,istanbul
448,2014,22.0,kadin,1995/04/20,ankara,izmir
449,2014,44.0,kadin,1995/05/22,malatya,Null
450,2014,58.0,kadin,1990/06/21,bursa,istanbul
451,2014,18.0,kadin,1992/01/01,mardin,izmir
452,2014,50.0,kadin,1995/01/25,aksaray,aksaray
453,2014,32.0,kadin,1994/04/06,istanbul,Null
454,2014,29.0,kadin,1992/01/10,istanbul,istanbul
455,2014,32.0,kadin,1994/01/01,izmir,izmir
456,2014,34.0,kadin,1995/04/23,istanbul,Null
457,2014,41.0,erkek,1991/01/09,Null,Null
458,2014,16.0,erkek,1990/01/28,Null,Null
459,2014,12.0,erkek,1991/01/01,mugla,ankara
460,2014,37.0,erkek,1992/10/12,Null,Null
461,2014,48.0,kadin,1991/01/07,batman,gaziantep
462,2014,18.0,kadin,1995/03/29,kirikkale,istanbul
463,2014,28.0,erkek,1993/01/24,mersin,Null
464,2014,31.0,erkek,1993/07/22,trabzon,istanbul
465,2014,56.0,erkek,1992/09/20,nigde,istanbul
466,2014,41.0,erkek,1994/10/05,Null,istanbul
467,2014,18.0,erkek,1991/07/31,Null,Null
468,2014,50.0,erkek,1993/05/16,kahramanmaras,istanbul
469,2014,30.0,kadin,1995/06/09,istanbul,istanbul
470,2014,12.0,erkek,1992/07/12,izmir,izmir
471,2014,28.0,erkek,1995/01/01,adana,Null
472,2014,36.0,kadin,1994/01/21,samsun,ankara
473,2014,48.0,erkek,1994/10/08,Null,Null
474,2014,12.0,erkek,1991/07/31,Null,Null
475,2014,44.0,erkek,1994/01/04,izmir,istanbul
476,2014,40.0,kadin,1994/03/13,batman,batman
477,2014,38.0,kadin,1993/01/10,Null,istanbul
478,2014,8.0,erkek,1992/03/24,bursa,bursa
479,2014,32.0,erkek,1993/01/01,antalya,istanbul
480,2014,26.0,kadin,1993/01/04,kutahya,kutahya
481,2014,26.0,kadin,1986/06/25,Null,istanbul
482,2014,23.0,erkek,1995/02/22,kirklareli,Null
483,2014,16.0,erkek,1993/11/29,trabzon,trabzon
484,2014,32.0,erkek,1993/05/19,denizli,istanbul
485,2014,41.0,kadin,1992/07/08,bursa,bursa
