ScholarshipId,ApplicantId,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
113,113,100.0,evet,evet,sabanci universitesi osys giris derecesi bursu,500 tl
114,114,100.0,evet,hayir,,
115,115,100.0,evet,hayir,,
116,116,100.0,evet,hayir,,
117,117,100.0,evet,hayir,,
118,118,100.0,evet,evet,tobb ekonomi ve teknoloji universitesi,1000 tl
119,119,100.0,evet,hayir,,
120,120,100.0,evet,evet,k.y.k. ustun basari bursu universite sinavlarinda ilk 100 ogrenci arasina girenlere verilen,900 tl
121,121,100.0,evet,evet,kredi yurtlar kurumu kykdan kredi aliyorum.,300 lira
122,122,100.0,evet,hayir,,
123,123,100.0,hayir,hayir,,
124,124,100.0,evet,hayir,,
125,125,100.0,evet,evet,kyk,300 tl
126,126,100.0,evet,hayir,,
127,127,100.0,evet,hayir,,
128,128,100.0,evet,hayir,,
129,129,100.0,evet,hayir,,
130,130,100.0,evet,hayir,,
131,131,100.0,evet,hayir,,
132,132,100.0,evet,hayir,,
133,133,100.0,evet,hayir,,
134,134,100.0,hayir,hayir,,
135,135,100.0,evet,evet,kyk basbakanlik basari bursu,365
136,136,100.0,evet,hayir,,
137,137,100.0,hayir,hayir,,
138,138,100.0,evet,hayir,,
139,139,100.0,evet,hayir,,
140,140,100.0,hayir,hayir,,
141,141,100.0,evet,hayir,,
142,142,100.0,evet,hayir,,
143,143,100.0,evet,hayir,,
144,144,100.0,hayir,hayir,,
145,145,100.0,evet,evet,"bahcesehir universitesi basari bursu, kyk kredi","500tl, 300tl"
146,146,100.0,hayir,hayir,,
147,147,100.0,evet,hayir,,
148,148,100.0,evet,evet,okulumdan,850 tl
149,149,100.0,evet,hayir,,
150,150,100.0,evet,hayir,kyk,
151,151,100.0,evet,hayir,,
152,152,100.0,hayir,hayir,,
153,153,100.0,evet,hayir,,
154,154,100.0,evet,hayir,,
155,155,100.0,evet,hayir,,
156,156,100.0,hayir,hayir,,
157,157,100.0,evet,hayir,,
158,158,100.0,hayir,hayir,,
159,159,100.0,evet,hayir,,
160,160,100.0,evet,hayir,,
161,161,100.0,evet,evet,gerkav,150 tl
162,162,100.0,hayir,hayir,,
163,163,100.0,hayir,hayir,,
164,164,100.0,hayir,hayir,,
165,165,100.0,evet,hayir,,
166,166,100.0,evet,hayir,,
167,167,100.0,evet,evet,nuh cimento san. a.s.,125 tl
168,168,100.0,evet,hayir,,
169,169,100.0,evet,hayir,,
170,170,100.0,hayir,hayir,,
171,171,100.0,evet,hayir,,
172,172,100.0,evet,hayir,,
173,173,100.0,evet,hayir,,
174,174,100.0,evet,hayir,,
175,175,100.0,evet,hayir,,
176,176,100.0,evet,evet,tobb etu,850
177,177,100.0,evet,hayir,,
178,178,100.0,evet,hayir,,
179,179,100.0,evet,hayir,,
180,180,100.0,evet,evet,ogrenim kredisi,300
181,181,100.0,hayir,hayir,,
182,182,100.0,evet,hayir,,
183,183,100.0,evet,hayir,,
184,184,100.0,evet,evet,kredi yurtlar kurumu,300 tl
185,185,100.0,evet,hayir,,
186,186,100.0,evet,evet,ttk,180
187,187,100.0,hayir,hayir,,
188,188,100.0,evet,hayir,,
189,189,100.0,evet,evet,canakkale ticaret ve sanayi odasi,260
190,190,100.0,evet,evet,kyk bursu,300 lira
191,191,100.0,hayir,hayir,,
192,192,100.0,evet,evet,bilkent universitesi kapsamli burs,425 tl
193,193,100.0,evet,hayir,,
194,194,100.0,evet,evet,polis esleri yardimlasma ve dayanisma dernegi,aylik 100 tl
195,195,100.0,evet,hayir,,
196,196,100.0,hayir,hayir,,
197,197,100.0,evet,evet,ozyegin universitesi,300 tl nakit + yemek + ulasim
198,198,100.0,evet,evet,t.c. kredi ve yurtlar kurumu,300
199,199,100.0,hayir,hayir,,
200,200,100.0,evet,hayir,,
201,201,100.0,evet,hayir,,
202,202,100.0,evet,hayir,,
203,203,100.0,evet,hayir,,
204,204,100.0,hayir,hayir,,
205,205,100.0,evet,evet,kredi ve yurtlar kurumu,300
206,206,100.0,evet,hayir,,
207,207,100.0,evet,hayir,,
208,208,100.0,evet,hayir,,
209,209,100.0,evet,evet,kyk,300tl
210,210,100.0,evet,evet,kyk geri odemeli kredi,300
211,211,100.0,hayir,hayir,,
212,212,100.0,evet,hayir,,
213,213,100.0,evet,hayir,,
214,214,100.0,evet,evet,kyk,300 tl
215,215,100.0,evet,hayir,,
216,216,100.0,evet,evet,kyk,300
217,217,100.0,evet,hayir,,
218,218,100.0,hayir,hayir,,
219,219,100.0,evet,hayir,,
220,220,100.0,evet,hayir,,
221,221,100.0,hayir,hayir,,
222,222,100.0,evet,hayir,,
223,223,100.0,evet,hayir,,
224,224,100.0,evet,hayir,,
225,225,100.0,hayir,hayir,kyk ogrenim kredisi,
226,226,100.0,evet,hayir,,
227,227,100.0,evet,hayir,t.c. basbakanlik,900 tl
228,228,100.0,hayir,hayir,,
229,229,100.0,evet,evet,basbakanlik bursu,300 tl
230,230,100.0,evet,hayir,,
231,231,100.0,evet,hayir,,
232,232,100.0,evet,hayir,,
233,233,100.0,hayir,hayir,,
234,234,100.0,evet,hayir,,
235,235,100.0,evet,hayir,,
236,236,100.0,evet,hayir,,
237,237,100.0,evet,hayir,,
238,238,100.0,hayir,evet,basbakanlik,300
239,239,100.0,evet,hayir,,
240,240,100.0,evet,hayir,,
241,241,100.0,evet,hayir,,
242,242,100.0,evet,hayir,,
243,243,100.0,evet,hayir,kredi ve yurtlar kurumundan geri odemeliogrenim kredisim,300 tl
244,244,100.0,evet,hayir,,
245,245,100.0,evet,evet,kyk,300
246,246,100.0,hayir,hayir,,
247,247,100.0,evet,hayir,,
248,248,100.0,evet,hayir,,
249,249,100.0,evet,hayir,,
250,250,100.0,hayir,hayir,,
251,251,100.0,evet,hayir,,
252,252,100.0,hayir,hayir,,
253,253,100.0,evet,hayir,,
254,254,100.0,evet,hayir,,
255,255,100.0,hayir,hayir,,
256,256,100.0,evet,hayir,,
257,257,100.0,evet,evet,kredi ve yurtlar kurumu,300
258,258,100.0,evet,hayir,,
259,259,100.0,evet,hayir,,
260,260,100.0,evet,hayir,,
261,261,100.0,hayir,hayir,,
262,262,100.0,evet,hayir,,
263,263,100.0,hayir,hayir,,
264,264,100.0,evet,hayir,,
265,265,100.0,evet,hayir,,
266,266,100.0,evet,hayir,,
267,267,100.0,evet,hayir,,
268,268,100.0,evet,hayir,,
269,269,100.0,evet,hayir,,
270,270,100.0,evet,hayir,,
271,271,100.0,evet,hayir,,
272,272,100.0,evet,hayir,,
273,273,100.0,evet,hayir,,
274,274,100.0,evet,hayir,,
275,275,100.0,evet,hayir,,
276,276,100.0,evet,hayir,,
277,277,100.0,evet,hayir,,
278,278,100.0,evet,hayir,,
279,279,100.0,evet,hayir,,
280,280,100.0,evet,evet,okuldan,250
281,281,100.0,evet,hayir,,
282,282,100.0,evet,hayir,,
283,283,100.0,evet,hayir,,
284,284,100.0,evet,hayir,,
285,285,100.0,evet,evet,basbakanlik kyk,900
286,286,100.0,evet,hayir,,
287,287,100.0,evet,hayir,,
288,288,100.0,evet,evet,mado,150
289,289,100.0,evet,hayir,,
290,290,100.0,evet,hayir,,
291,291,100.0,evet,hayir,,
292,292,100.0,hayir,hayir,krediyurtlarkurumu,
293,293,100.0,evet,hayir,,
294,294,100.0,evet,evet,kendi universitemden derece bursu aliyorum,400 tl
295,295,100.0,hayir,hayir,,
296,296,100.0,evet,hayir,,
297,297,100.0,evet,hayir,,
298,298,100.0,evet,hayir,,
299,299,100.0,evet,hayir,,
300,300,100.0,evet,evet,kyk ve bilkent,800
301,301,100.0,evet,hayir,,
302,302,100.0,evet,hayir,,
303,303,100.0,hayir,hayir,,
304,304,100.0,evet,hayir,,
305,305,100.0,evet,hayir,kyk ogrenim kredisi,
306,306,100.0,evet,evet,kredi yurtlar kurumu,300 tl
307,307,100.0,evet,evet,tc basbakanlik,300 tl aylik
308,308,100.0,evet,hayir,,
309,309,100.0,evet,hayir,,
310,310,100.0,evet,hayir,,
311,311,100.0,evet,hayir,,
312,312,100.0,evet,hayir,,
313,313,100.0,evet,hayir,,
314,314,100.0,evet,hayir,,
315,315,100.0,evet,hayir,,
316,316,100.0,evet,hayir,,
317,317,100.0,evet,hayir,,
318,318,100.0,evet,hayir,,
319,319,100.0,evet,hayir,,
320,320,100.0,evet,hayir,,
321,321,100.0,evet,hayir,,
322,322,100.0,evet,hayir,,
323,323,100.0,evet,hayir,,
324,324,100.0,evet,hayir,,
325,325,100.0,evet,hayir,,
326,326,100.0,evet,hayir,,
327,327,100.0,evet,hayir,,
328,328,100.0,evet,hayir,,
329,329,100.0,evet,hayir,,
330,330,100.0,evet,hayir,,
331,331,100.0,evet,hayir,,
332,332,100.0,evet,evet,kredi ve yurtlar kurumu,300 tl
333,333,100.0,evet,hayir,,
334,334,100.0,evet,hayir,,
335,335,100.0,evet,evet,uluslararasi nakliyeciler dernegi,280
336,336,100.0,evet,hayir,,
337,337,100.0,evet,evet,kyk,300
338,338,100.0,evet,hayir,,
339,339,100.0,evet,evet,ilk 10.000 girdigim icin okulumdan 300 tl nakit burs,300 tl
340,340,100.0,evet,evet,sabanci universitesi,"400,00 tl"
341,341,100.0,evet,hayir,,
342,342,100.0,evet,hayir,,
343,343,100.0,evet,hayir,,
344,344,100.0,evet,hayir,,
345,345,100.0,evet,hayir,,
346,346,100.0,evet,hayir,,
347,347,100.0,evet,evet,kordsa,200 tl
348,348,100.0,evet,hayir,,
349,349,100.0,hayir,hayir,,
350,350,100.0,evet,hayir,,
351,351,100.0,hayir,hayir,,
352,352,100.0,evet,hayir,,
353,353,100.0,evet,evet,koc universitesi,430 tl
354,354,100.0,hayir,hayir,,
355,355,100.0,evet,hayir,,
356,356,100.0,evet,hayir,,
357,357,100.0,hayir,hayir,,
358,358,100.0,evet,hayir,,
359,359,100.0,hayir,hayir,,
360,360,100.0,evet,hayir,,
361,361,100.0,evet,hayir,,
362,362,100.0,evet,hayir,,
363,363,100.0,evet,hayir,,
364,364,100.0,evet,evet,kredi ve yurtlar kurumu,300
365,365,100.0,evet,evet,bilkent universitesi bursu- kyk bursu,500 tl - 300 tl
366,366,100.0,evet,hayir,,
367,367,100.0,evet,hayir,,
368,368,100.0,evet,hayir,,
369,369,100.0,evet,hayir,,
370,370,100.0,evet,hayir,,
371,371,100.0,evet,hayir,,
372,372,100.0,evet,hayir,,
373,373,100.0,hayir,hayir,,
374,374,100.0,evet,evet,kyk,300 tl
375,375,100.0,evet,evet,kyk,300 tl
376,376,100.0,evet,hayir,,
377,377,100.0,evet,hayir,,
378,378,100.0,evet,hayir,,
379,379,100.0,evet,hayir,,
380,380,100.0,evet,hayir,,
381,381,100.0,evet,hayir,,
382,382,100.0,evet,evet,sinpas gyo,250
383,383,100.0,hayir,hayir,,
384,384,100.0,evet,hayir,,
385,385,100.0,evet,evet,tobb ekonomi ve teknoloji universitesi,400 tl
386,386,100.0,evet,evet,tobb ekonomi ve teknoloji universitesi,400 tl
387,387,100.0,evet,hayir,,
388,388,100.0,evet,hayir,,
389,389,100.0,evet,hayir,,
390,390,100.0,evet,evet,kredi yutrlar krumundan geri odemesiz burs aliyorum,300 tl
391,391,100.0,evet,hayir,,
392,392,100.0,evet,hayir,,
393,393,100.0,evet,hayir,,
394,394,100.0,evet,hayir,,
395,395,100.0,evet,hayir,,
396,396,100.0,hayir,hayir,,
397,397,100.0,evet,hayir,,
398,398,100.0,evet,hayir,,
399,399,100.0,evet,hayir,,
400,400,100.0,evet,hayir,eti,325 tl
401,401,100.0,evet,hayir,,
402,402,100.0,hayir,hayir,,
403,403,100.0,evet,hayir,,
404,404,100.0,evet,hayir,,
405,405,100.0,evet,evet,kyk ustun basari bursu,900 tl
406,406,100.0,hayir,hayir,,
407,407,100.0,evet,hayir,,
408,408,100.0,evet,evet,kyk,300
409,409,100.0,evet,hayir,,
410,410,100.0,evet,hayir,,
411,411,100.0,evet,hayir,,
412,412,100.0,evet,evet,kredi yurtlar kurumu basbakanlik kurumu,300 tl / aylik
413,413,100.0,evet,hayir,,
414,414,100.0,hayir,hayir,,
415,415,100.0,evet,evet,izmir ekonomi universitesi izmir ekonomi universitesinde tam burslu olarak okuyan tum ogrencilere verilen burs,400 tl
416,416,100.0,evet,hayir,,
417,417,100.0,evet,hayir,,
418,418,100.0,evet,evet,istek vakfi,275 tlaylik
419,419,100.0,hayir,hayir,,
420,420,100.0,evet,hayir,,
421,421,100.0,hayir,hayir,,
422,422,100.0,evet,hayir,,
423,423,100.0,evet,hayir,,
424,424,100.0,evet,hayir,,
425,425,100.0,evet,evet,basbakanlik bursu,300 tl
426,426,100.0,evet,hayir,,
427,427,100.0,evet,hayir,,
428,428,100.0,evet,hayir,,
429,429,100.0,evet,hayir,,
430,430,100.0,evet,hayir,,
431,431,100.0,evet,evet,kredi yurtlar kurumu,300
432,432,100.0,evet,evet,koc universitesi,10 ay sure ile aylik 600 tl
433,433,100.0,evet,evet,kredi ve yurtlar kurumu,300 tl
434,434,100.0,evet,hayir,,
435,435,100.0,hayir,hayir,,
436,436,100.0,evet,hayir,,
437,437,100.0,hayir,hayir,,
438,438,100.0,evet,hayir,,
439,439,100.0,evet,hayir,,
440,440,100.0,evet,hayir,,
441,441,100.0,evet,hayir,,
442,442,100.0,evet,hayir,,
443,443,100.0,evet,hayir,,
444,444,100.0,evet,hayir,,
445,445,100.0,evet,hayir,,
446,446,100.0,evet,hayir,,
447,447,100.0,evet,hayir,,
448,448,100.0,hayir,evet,isik universitesi ve kyk,500 tl ve 300 tl
449,449,100.0,evet,evet,sabanci universitesinin osym ile okula yerlesen her tam burslu ogrencisine verdigi basari bursunu aliyorum.,500 tl
450,450,100.0,evet,hayir,,
451,451,100.0,evet,evet,t.c kredi ve yurtlar kurumu,300 tl
452,452,100.0,evet,hayir,,
453,453,100.0,evet,hayir,,
454,454,100.0,evet,hayir,,
455,455,100.0,evet,evet,kyk devlet bursu,300 tl
456,456,100.0,evet,evet,tobb etu,bin turk lirasi
457,457,100.0,evet,evet,basbakanlik,300
458,458,100.0,evet,hayir,,
459,459,100.0,hayir,hayir,,
460,460,100.0,evet,hayir,,
461,461,100.0,evet,hayir,,
462,462,100.0,evet,hayir,,
463,463,100.0,evet,hayir,,
464,464,100.0,evet,hayir,,
465,465,100.0,evet,evet,kyk,300
466,466,100.0,evet,hayir,,
467,467,100.0,evet,evet,kyk,365
468,468,100.0,evet,hayir,,
469,469,100.0,evet,hayir,,
470,470,100.0,hayir,hayir,,
471,471,100.0,evet,hayir,,
472,472,100.0,evet,evet,kredi ve yurtlar kurumu,300
473,473,100.0,evet,hayir,,
474,474,100.0,evet,evet,kyk ogrenim kredisi,300
475,475,100.0,evet,hayir,,
476,476,100.0,evet,hayir,,
477,477,100.0,evet,evet,kyk,300
478,478,100.0,hayir,hayir,,
479,479,100.0,evet,hayir,,
480,480,100.0,hayir,hayir,,
481,481,100.0,hayir,hayir,,
482,482,100.0,evet,hayir,,
483,483,100.0,hayir,hayir,,
484,484,100.0,evet,hayir,,
485,485,100.0,evet,hayir,,
486,486,100.0,evet,hayir,,
487,487,100.0,evet,hayir,,
488,488,100.0,evet,hayir,,
489,489,100.0,hayir,hayir,,
490,490,100.0,hayir,hayir,,
491,491,100.0,evet,hayir,,
492,492,100.0,evet,evet,kredili yurtlar kurumu kyk,300
493,493,100.0,evet,hayir,,
494,494,100.0,evet,hayir,,
495,495,100.0,evet,evet,ihsan dogramaci bilkent universitesi kapsamli burs,475
496,496,100.0,evet,hayir,,
497,497,100.0,evet,hayir,,
498,498,100.0,evet,hayir,,
499,499,100.0,evet,hayir,,
500,500,100.0,evet,hayir,,
501,501,100.0,evet,hayir,,
502,502,100.0,evet,hayir,,
503,503,100.0,evet,hayir,,
504,504,100.0,evet,hayir,,
505,505,100.0,evet,hayir,,
506,506,100.0,evet,evet,kendi universitemdentobb etu yasam katki payi adi altinda,400 tl
507,507,100.0,evet,hayir,,
508,508,100.0,evet,hayir,,
509,509,100.0,evet,hayir,,
510,510,100.0,evet,hayir,,
511,511,100.0,evet,evet,basbakanlik bursu,"300,0 tl"
512,512,100.0,evet,hayir,,
513,513,100.0,hayir,hayir,,
514,514,100.0,evet,hayir,,
515,515,100.0,evet,evet,basbakanlik bursu -devlet,300tl
516,516,100.0,evet,hayir,,
517,517,100.0,evet,hayir,,
518,518,100.0,evet,hayir,,
519,519,100.0,evet,hayir,,
520,520,100.0,hayir,hayir,,
521,521,100.0,evet,evet,bilkent universitesi,675 tl
522,522,100.0,evet,hayir,,
523,523,100.0,evet,evet,kyk bursu,300
524,524,100.0,evet,hayir,,
525,525,100.0,hayir,hayir,,
526,526,100.0,evet,hayir,,
527,527,100.0,hayir,hayir,,
528,528,100.0,hayir,hayir,,
529,529,100.0,evet,hayir,,
530,530,100.0,evet,hayir,,
531,531,100.0,evet,evet,kredili yurtlar kurumukyk,300
532,532,100.0,evet,hayir,,
533,533,100.0,evet,hayir,,
534,534,100.0,evet,hayir,,
535,535,100.0,evet,hayir,,
536,536,100.0,evet,hayir,,
537,537,100.0,evet,hayir,,
538,538,100.0,evet,evet,kyk,kredi-300
539,539,100.0,evet,evet,kyk,aylik 300 tl
540,540,100.0,evet,hayir,,
541,541,100.0,evet,hayir,,
542,542,100.0,evet,hayir,,
543,543,100.0,hayir,hayir,,
544,544,100.0,evet,hayir,,
545,545,100.0,hayir,hayir,,
546,546,100.0,evet,hayir,,
547,547,100.0,evet,hayir,,
548,548,100.0,evet,hayir,,
549,549,100.0,evet,hayir,,
550,550,100.0,evet,evet,kyk,300
551,551,100.0,evet,evet,devlet bursu,300 tl
552,552,100.0,hayir,hayir,,
553,553,100.0,hayir,hayir,,
554,554,100.0,evet,hayir,,
555,555,100.0,evet,hayir,,
556,556,100.0,evet,hayir,,
557,557,100.0,evet,hayir,,
558,558,100.0,evet,hayir,,
559,559,100.0,evet,hayir,,
560,560,100.0,hayir,hayir,,
561,561,100.0,evet,evet,obss,300 tl
562,562,100.0,evet,hayir,,
563,563,100.0,evet,hayir,,
564,564,100.0,hayir,hayir,,
565,565,100.0,hayir,hayir,,
566,566,100.0,evet,evet,kyk,300
567,567,100.0,hayir,hayir,,
568,568,100.0,evet,hayir,,
569,569,100.0,evet,hayir,,
570,570,100.0,evet,hayir,,
571,571,100.0,evet,hayir,,
572,572,100.0,evet,hayir,,
573,573,100.0,evet,hayir,,
574,574,100.0,evet,hayir,,
575,575,100.0,evet,hayir,,
576,576,100.0,hayir,hayir,,
577,577,100.0,hayir,hayir,,
578,578,100.0,hayir,hayir,,
579,579,100.0,evet,evet,kyk,300 tl
580,580,100.0,evet,hayir,,
581,581,100.0,evet,hayir,,
582,582,100.0,evet,hayir,,
583,583,100.0,evet,evet,metin - nuran cakallikli kultu ve egitim vakfi,200 tl
584,584,100.0,evet,evet,kyk kredi aliyorum.,300 tl
585,585,100.0,hayir,hayir,,
586,586,100.0,evet,hayir,,
587,587,100.0,evet,hayir,,
588,588,100.0,evet,evet,kredi yurtlar kurumu,300 tl
589,589,100.0,evet,hayir,,
590,590,100.0,evet,hayir,,
591,591,100.0,evet,evet,kyk basari bursu ve sabanci universitesi onur bursu,300-400
592,592,100.0,evet,hayir,,
593,593,100.0,evet,hayir,,
594,594,100.0,evet,hayir,,
595,595,100.0,hayir,hayir,,
596,596,100.0,evet,hayir,,
597,597,100.0,evet,evet,yok bursu,750
598,598,100.0,hayir,hayir,,
599,599,100.0,evet,hayir,,
600,600,100.0,hayir,hayir,,
601,601,100.0,hayir,hayir,,
602,602,100.0,evet,evet,devlet bursu,300
603,603,100.0,hayir,hayir,,
604,604,100.0,evet,hayir,,
605,605,100.0,evet,hayir,,
606,606,100.0,evet,hayir,,
607,607,100.0,evet,evet,kredi ve yurtlar kurumu,330 tl
608,608,100.0,evet,hayir,,
609,609,100.0,evet,hayir,,
610,610,100.0,hayir,hayir,,
611,611,100.0,evet,evet,kyk,aylik 330 tl
612,612,100.0,evet,hayir,,
613,613,100.0,evet,hayir,,
614,614,100.0,evet,hayir,,
615,615,100.0,hayir,hayir,,
616,616,100.0,hayir,hayir,,
617,617,100.0,evet,hayir,,
618,618,100.0,evet,hayir,,
619,619,100.0,evet,hayir,,
620,620,100.0,evet,hayir,,
621,621,100.0,hayir,hayir,,
622,622,100.0,evet,hayir,,
623,623,100.0,evet,hayir,,
624,624,100.0,evet,hayir,,
625,625,100.0,hayir,hayir,,
626,626,100.0,evet,hayir,,
627,627,100.0,evet,hayir,,
628,628,100.0,evet,hayir,,
629,629,100.0,evet,hayir,,
630,630,100.0,evet,evet,universite,490
631,631,100.0,evet,evet,basbakanlik kredi,320 tl
632,632,100.0,evet,evet,bilkent universitesi,560 tl
633,633,100.0,evet,hayir,,
634,634,100.0,hayir,hayir,,
635,635,100.0,evet,hayir,,
636,636,100.0,evet,hayir,,
637,637,100.0,evet,hayir,,
638,638,100.0,evet,hayir,,
639,639,100.0,evet,hayir,,
640,640,100.0,evet,hayir,,
641,641,100.0,evet,hayir,,
642,642,100.0,evet,hayir,,
643,643,100.0,evet,evet,uluslararasi antalya universitesi,tam burslu oldugum icin yalniz egitim ucreti ek burs almiyorum
644,644,100.0,evet,evet,bilkent universitesiilk 500 de oldugum icin,500
645,645,100.0,evet,hayir,,
646,646,100.0,evet,hayir,,
647,647,100.0,evet,hayir,,
648,648,100.0,evet,evet,koc universitesi anadolu bursiyerleri programi,600 tl/yurt bursu/kitap bursu
649,649,100.0,evet,hayir,,
650,650,100.0,evet,hayir,,
651,651,100.0,evet,evet,kendi okulumdan egitim bursu aliyorum,430tl
652,652,100.0,evet,hayir,,
653,653,100.0,evet,hayir,bilkent universitesi,560 tl
654,654,100.0,evet,hayir,,
655,655,100.0,hayir,hayir,,
656,656,100.0,evet,hayir,,
657,657,100.0,evet,hayir,,
658,658,100.0,evet,hayir,,
659,659,100.0,evet,evet,cagdas yasami destekleme dernegi,150 tl
660,660,100.0,evet,hayir,,
661,661,100.0,evet,hayir,,
662,662,100.0,hayir,hayir,,
663,663,100.0,evet,hayir,,
664,664,100.0,evet,hayir,,
665,665,100.0,evet,hayir,,
666,666,100.0,evet,hayir,,
667,667,100.0,evet,hayir,,
668,668,100.0,evet,evet,turkiye olimpik hazirlik merkezi universiteyide milli sporcu bursuyla tam burslu okuyorum,350
669,669,100.0,hayir,hayir,,
670,670,100.0,evet,hayir,,
671,671,100.0,evet,hayir,,
672,672,100.0,evet,hayir,,
673,673,100.0,evet,hayir,,
674,674,100.0,evet,hayir,,
675,675,100.0,evet,evet,tobb ekonomi ve teknoloji universitesi,850
676,676,100.0,evet,evet,koc universitesinden ilk 300 bursu,600
677,677,100.0,evet,hayir,,
678,678,100.0,evet,evet,istanbul ticaret odasi,300 tl
679,679,100.0,evet,evet,t.c. ihsan dogramaci bilkent universitesi,8 ay boyunca aylik 720 tl
680,680,100.0,evet,hayir,,
681,681,100.0,evet,hayir,,
682,682,100.0,evet,hayir,,
683,683,100.0,evet,hayir,,
684,684,100.0,evet,hayir,,
685,685,100.0,evet,hayir,,
