ApplicantUniversityId,ApplicantId,UniversityId,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
29,29,29,bilgisayar teknolojisi ve bilisim sistemleri,1,0.00 - 2.50,hayir,
30,30,30,bankacilik ve sigortacilik,2,2.50 - 3.00,hayir,
31,31,31,yonetim bilisim sistemleri,2,,hayir,
32,32,32,maliye,4,3.00 - 3.50,hayir,
33,33,33,enerji sistemleri muhendisligi,3,2.50 - 3.00,hayir,
34,34,34,isletme,1,,hayir,
35,35,35,sahne ve gosteri sanatlari yonetimi,1,,hayir,
36,36,36,bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
37,37,37,seyahat isletmeciligi,4,3.00 - 4.00,evet,
38,38,38,uluslararasi iliskiler,3,0.00 - 2.50,hayir,
39,39,39,isletme enformatigi,2,3.00 - 3.50,hayir,
40,40,40,yazilim muhendisligi,3,3.00 - 3.50,hayir,
41,41,41,endustri muhendisligi,3,2.50 - 3.00,hayir,
42,42,42,isletme,mezun,2.50 - 3.00,hayir,
43,43,43,ekonomi,2,3.00 - 4.00,hayir,
44,44,44,hukuk,4,0.00 - 2.50,hayir,
45,45,45,matematik,hazirlik,,hayir,
46,46,46,sivil hava ulastirma isletmeciligi,2,2.50 - 3.00,hayir,
47,47,47,bilgisayar teknolojileri,2,2.50 - 3.00,hayir,
48,48,48,uluslararasi ticaret,4,3.00 - 3.50,hayir,
49,49,49,hukuk,4,2.50 - 3.00,hayir,
50,50,50,sinif ogretmenligi,3,,hayir,
51,51,51,uretim sistemleri muhendisligi,3,,hayir,
52,52,52,psikoloji,3,2.50 - 3.00,hayir,
53,53,53,bankacilik ve finans,1,,hayir,
54,54,54,bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
55,55,55,felsefe,2,0.00 - 2.50,hayir,
56,56,56,uluslarararasi ticaret,2,3.00 - 3.50,hayir,
57,57,57,mimarlik,3,3.00 - 3.50,hayir,
58,58,58,endustri muhendisligi,2,3.00 - 3.50,hayir,
59,59,59,spor yonetimi,1,,evet,
60,60,60,uluslararasi ticaret,2,,hayir,
61,61,61,felsefe,3,0.00 - 2.50,hayir,
62,62,62,uluslararasi iliskiler,2,0.00 - 2.50,hayir,
63,63,63,isletme,2,2.50 - 3.00,hayir,
64,64,64,iktisat,3,2.50 - 3.00,hayir,
65,65,65,isletme,4,0.00 - 2.50,hayir,
66,66,66,gorsel iletisim tasarimi,3,3.00 - 3.50,hayir,
67,67,67,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
68,68,68,isletme ingilizce - tam burslu,2,3.00 - 4.00,hayir,
69,69,69,isletme muhendisligi,1,,hayir,
70,70,70,international relations,2,0.00 - 2.50,hayir,
71,71,71,medya ve iletisim,4,3.00 - 3.50,hayir,
72,72,72,felsefe,2,,hayir,
73,73,73,"uluslararasi finans, uluslararasi ticaret ve isletmecilik",4,3.00 - 4.00,hayir,
74,74,74,ekonomi,3,2.50 - 3.00,hayir,
75,75,75,hukuk,3,3.00 - 3.50,hayir,
76,76,76,isletme,3,3.00 - 4.00,hayir,
77,77,77,enerji sistemleri muhendisligi-isletme muhendisligicap,3,3.00 - 4.00,hayir,
78,78,78,rehberlik ve psikolojik danismanlik,1,,hayir,
79,79,79,hukuk,2,3.00 - 3.50,hayir,
80,80,80,halkla iliskiler ve tanitim,2,2.50 - 3.00,hayir,
81,81,81,isletme,2,3.00 - 3.50,hayir,
82,82,82,halkla iliskiler,4,3.00 - 3.50,evet,
83,83,83,bilgisayar muhendisligi,2,3.00 - 3.50,hayir,
84,84,84,endustri muhendisligi - otomotiv muhendisligiyan dal,4,3.00 - 3.50,hayir,
85,85,85,psikoloji,2,2.50 - 3.00,hayir,
86,86,86,iktisat,3,3.00 - 4.00,hayir,
87,87,87,endustri muhendisligi,2,3.00 - 4.00,hayir,
88,88,88,psikoloji,2,3.00 - 3.50,hayir,
89,89,89,isletme / psikoloji cift anadal,3,3.00 - 4.00,hayir,
90,90,90,insaat muhendisligi-isletme muhendisligicap,3,2.50 - 3.00,hayir,
91,91,91,endustri muhendisligi,3,3.00 - 4.00,hayir,
92,92,92,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
93,93,93,ingilizce isletme,1,,hayir,
94,94,94,elektrik elektronik muhendisligi,4,2.50 - 3.00,hayir,
95,95,95,siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,hayir,
96,96,96,biyomedikal muhendisligi,3,3.00 - 3.50,hayir,
97,97,97,matematik,2,0.00 - 2.50,hayir,
98,98,98,isletme ingilizce,4,2.50 - 3.00,evet,
99,99,99,isletme,1,3.00 - 3.50,hayir,
100,100,100,hemsirelik ve saglik hizmetleri,4,0.00 - 2.50,hayir,
101,101,101,iktisat,1,,hayir,
102,102,102,bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
103,103,103,halkla iliskiler ve reklamcilik,hazirlik,,hayir,
104,104,104,halkla iliskiler ve reklamcilik,hazirlik,,hayir,
105,105,105,ekonomi ve finans,3,0.00 - 2.50,hayir,
106,106,106,is sagligi ve guvenligi,3,3.00 - 3.50,hayir,
107,107,107,hukuk,3,2.50 - 3.00,hayir,
108,108,108,siyaset bilimi ve kamu yonetimi,4,3.00 - 3.50,hayir,
109,109,109,isletme-ekonomi,hazirlik,,hayir,
110,110,110,tarih,hazirlik,,hayir,
111,111,111,bankacilik ve finans ingilizce,3,2.50 - 3.00,hayir,
112,112,112,psikoloji,2,3.00 - 4.00,hayir,
113,113,113,yonetim bilimleri,1,,hayir,
114,114,114,gorsel iletisim tasarimi,2,3.00 - 4.00,hayir,
115,115,115,psikoloji,2,3.00 - 3.50,hayir,
116,116,116,enerji sistemleri muhendisligi,1,,hayir,
117,117,117,hukuk,3,3.00 - 4.00,hayir,
118,118,118,uluslarasi iliskiler - iktisat cift anadal programi,3,3.00 - 3.50,hayir,
119,119,119,"matematik-bilgisayar,bilgisayar muhendisligi",3,3.00 - 3.50,hayir,
120,120,120,elektrik-elektronik muhendisligi,4,3.00 - 4.00,hayir,
121,121,121,halkla iliskiler tanitim,4,3.00 - 3.50,hayir,
122,122,122,uluslararasi ticaret,1,3.00 - 4.00,hayir,
123,123,123,uluslararasi ticaret,1,,hayir,
124,124,124,ekonomiingilizce,1,3.00 - 3.50,hayir,
125,125,125,psikoloji,3,2.50 - 3.00,hayir,
126,126,126,bankacilik ve sigortacilik,2,2.50 - 3.00,hayir,
127,127,127,biyomedikal muhendisligi,3,3.00 - 3.50,hayir,
128,128,128,enformasyon teknolojileri,4,2.50 - 3.00,hayir,
129,129,129,endustri muhendisligi,3,3.00 - 4.00,hayir,
130,130,130,uluslararasi iliskiler/ yandal-iktisat,3,3.00 - 3.50,hayir,
131,131,131,rehberlik ve psikolojik danismanlik,1,,hayir,
132,132,132,hukuk,2,3.00 - 4.00,hayir,
133,133,133,uluslararasi ticaret,1,,hayir,
134,134,134,kimya ve biyoloji muhendisligi,2,0.00 - 2.50,hayir,
135,135,135,saglik kurumlari yonetimi,2,3.00 - 4.00,hayir,
136,136,136,dis hekimligi,3,3.00 - 4.00,hayir,
137,137,137,hukuk,3,2.50 - 3.00,hayir,
138,138,138,halkla iliskiler ve reklamcilik,3,3.00 - 3.50,evet,
139,139,139,makine muhendisligi,3,3.00 - 4.00,hayir,
140,140,140,endustri muhendisligi,3,2.50 - 3.00,hayir,
141,141,141,mimarlik,2,2.50 - 3.00,hayir,
142,142,142,ekonomi,4,2.50 - 3.00,hayir,
143,143,143,ekonomi,3,3.00 - 3.50,hayir,
144,144,144,siyaset bilimi ve kamu yonetimi,3,0.00 - 2.50,hayir,
145,145,145,bilgisayar ve egitim teknolojileri ogretmenligi,3,0.00 - 2.50,hayir,
146,146,146,bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
147,147,147,televizyon haberciligi ve programciligi,2,3.00 - 3.50,hayir,
148,148,148,ingiliz dili veedebiyati,3,0.00 - 2.50,hayir,
149,149,149,mimarlik,1,,hayir,
150,150,150,uluslararasi isletme yonetimi,4,3.00 - 3.50,hayir,
151,151,151,psikoloji,4,3.00 - 4.00,hayir,
152,152,152,psikoloji,2,0.00 - 2.50,hayir,
153,153,153,makine muhendisligi,2,0.00 - 2.50,hayir,
154,154,154,mimarlik,2,2.50 - 3.00,hayir,
155,155,155,mimarlik,4,2.50 - 3.00,hayir,
156,156,156,psikoloji,4,2.50 - 3.00,hayir,
157,157,157,siyaset bilimi ve uluslararasi iliskiler psikoloji bolumu ile cift anadal,4,3.00 - 3.50,hayir,
158,158,158,isletme enformatigi,3,2.50 - 3.00,hayir,
159,159,159,muhendislik ve doga bilimleri fakultesi,1,,hayir,
160,160,160,malzeme bilimi ve muhendisligi,1,,hayir,
161,161,161,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
162,162,162,psikoloji,2,0.00 - 2.50,hayir,
163,163,163,mutercim tercumanlik,3,0.00 - 2.50,hayir,
164,164,164,hukuk,1,2.50 - 3.00,hayir,
165,165,165,yonetim bilisim sistemleri ve yazilim muhendisligi,4,3.00 - 3.50,hayir,
166,166,166,isletme-ekonomi,1,,hayir,
167,167,167,iktisat,4,3.00 - 4.00,hayir,
168,168,168,isletme. uluslararasi ticaret ve lojistik cap,3,3.00 - 4.00,hayir,
169,169,169,isletme bilgi yonetimi,3,3.00 - 4.00,hayir,
170,170,170,uluslararasi girisimcilik,3,2.50 - 3.00,hayir,
171,171,171,siyaset bilimi ve uluslararasi iliskiler,1,,hayir,
172,172,172,uluslararasi ticaret ve isletmecilik,3,3.00 - 3.50,hayir,
173,173,173,uluslararasi ticaret,hazirlik,,hayir,
174,174,174,tip,3,3.00 - 3.50,hayir,
175,175,175,elektrik-elektronik muhendisligi,1,,hayir,
176,176,176,iktisat,2,3.00 - 4.00,hayir,
177,177,177,bilgisayar muhendisligi %50 burslu,4,2.50 - 3.00,hayir,
178,178,178,mekatronik muhendisligi,1,0.00 - 2.50,hayir,
179,179,179,otel yoneticiligi,1,,hayir,
180,180,180,uluslararasi iliskiler ve ab,2,3.00 - 3.50,hayir,
181,181,181,ingilizce isletme,3,2.50 - 3.00,hayir,
182,182,182,uluslararasi iliskiler,3,3.00 - 3.50,hayir,
183,183,183,siyaset bilimi ve uluslararas iliskiler,2,3.00 - 3.50,hayir,
184,184,184,uluslararasi iliskiler / ekonomi cift anadal,3,3.00 - 3.50,hayir,
185,185,185,uluslararasi ticaret ve pazarlama %100 ingilizce,4,3.00 - 4.00,hayir,
186,186,186,psikoloji,2,3.00 - 4.00,hayir,
187,187,187,hukuk,3,2.50 - 3.00,hayir,
188,188,188,endustri muhendisligi,2,3.00 - 4.00,hayir,
189,189,189,turizm ve otel isletmeciligi,1,3.00 - 3.50,hayir,
190,190,190,"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal programi",3,3.00 - 3.50,hayir,
191,191,191,hukuk,1,,hayir,
192,192,192,makine muhendisligi,4,0.00 - 2.50,hayir,
193,193,193,isletme,2,2.50 - 3.00,hayir,
194,194,194,hukuk,1,,hayir,
195,195,195,uluslararasi lojistik ve tasimacilik,4,3.00 - 4.00,hayir,
196,196,196,hukuk,2,2.50 - 3.00,hayir,
197,197,197,bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
198,198,198,bilgisayar muhendisligi,2,3.00 - 4.00,hayir,
199,199,199,fizik tedavi ve rehabilitasyon,1,,hayir,
200,200,200,isletme - yari burs tr siralama: 5000,2,2.50 - 3.00,hayir,
201,201,201,gemi makineleri isletme muhendisligi,1,3.00 - 4.00,hayir,
202,202,202,uluslararasi lojistik ve tasimacilik,1,,hayir,
203,203,203,yazilim muhendisligi,4,3.00 - 3.50,hayir,
204,204,204,matematik bilgisayar,mezun,0.00 - 2.50,evet,
205,205,205,bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
206,206,206,hukuk,4,0.00 - 2.50,hayir,
207,207,207,ekonomi,2,3.00 - 4.00,hayir,
208,208,208,iktisat,1,3.00 - 4.00,hayir,
209,209,209,elektrik-elektronik muhendisligi ingilizce,2,2.50 - 3.00,hayir,
210,210,210,elektrik elektronik muhendisligi ingilizce,2,0.00 - 2.50,hayir,
211,211,211,uluslararasi ticaret ve finansingilizce,4,,hayir,
212,212,212,hemsirelik,2,0.00 - 2.50,hayir,
213,213,213,okul oncesi ogretmenligi,3,3.00 - 3.50,hayir,
214,214,214,uluslararasi girisimcilik,1,0.00 - 2.50,hayir,
215,215,215,mimarlik,1,,hayir,
216,216,216,hukukingilizce,3,3.00 - 3.50,hayir,
217,217,217,malzeme bilimi ve nanoteknoloji muhendisligi,2,3.00 - 3.50,hayir,
218,218,218,"biemf - bachelor of international economics, management and finance",3,,hayir,
219,219,219,elektrik elektronik muh.,2,3.00 - 3.50,hayir,
220,220,220,ingilizce isletme,2,0.00 - 2.50,hayir,
221,221,221,tip fakultesi,3,3.00 - 4.00,hayir,
222,222,222,endustri muhendisligi,3,2.50 - 3.00,hayir,
223,223,223,mekatronik muhendisligi,4,3.00 - 3.50,hayir,
224,224,224,siyaset bilimi ve kamu yonetimi,mezun,3.00 - 4.00,hayir,
225,225,225,insaat teknolojileri,2,0.00 - 2.50,hayir,
226,226,226,yonetim bilisim sistemleri,3,2.50 - 3.00,hayir,
227,227,227,hukuk,4,3.00 - 3.50,hayir,
228,228,228,uluslararasi ticaret ve isletmecilik,3,0.00 - 2.50,hayir,
229,229,229,ilahiyat,2,3.00 - 4.00,hayir,
230,230,230,international relations,3,2.50 - 3.00,hayir,
231,231,231,ulualararasi lojistik ve tasimacilikingilizce,hazirlik,,hayir,
232,232,232,ekonomi ve finans,2,3.00 - 4.00,hayir,
233,233,233,bilgisayar muhendisligi,2,3.00 - 3.50,hayir,
234,234,234,insaat muhendisligi,1,,hayir,
235,235,235,endustri muhendisligi,4,3.00 - 4.00,hayir,
236,236,236,molekuler biyoloji ve genetik,mezun,3.00 - 4.00,hayir,
237,237,237,political science and international relations,3,3.00 - 3.50,hayir,
238,238,238,sosyal bilgiler ogretmenligi,2,2.50 - 3.00,hayir,
239,239,239,endustri muhendisligi,3,3.00 - 3.50,hayir,
240,240,240,kontrol ve otomasyon muhendisligiingilizce,hazirlik,,hayir,
241,241,241,bilgisayar muhendisligi,4,3.00 - 4.00,hayir,
242,242,242,computer technology and information systems,2,2.50 - 3.00,hayir,
243,243,243,hukuk fakultesi,4,2.50 - 3.00,hayir,
244,244,244,endustri muhendisligi,3,3.00 - 4.00,hayir,
245,245,245,dis ticaretingilizce,2,2.50 - 3.00,hayir,
246,246,246,endustri muhendisligi ingilizce,3,2.50 - 3.00,hayir,
247,247,247,elektrik-elektronik muhendisligi,2,2.50 - 3.00,hayir,
248,248,248,genetik ve biyomuhendislik,2,2.50 - 3.00,hayir,
249,249,249,mimarlik,2,3.00 - 3.50,hayir,
250,250,250,psikoloji,1,,hayir,
251,251,251,psikoloji %100 burslu,4,3.00 - 3.50,hayir,
252,252,252,bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
253,253,253,televizyon haberciligi ve programciligi,4,3.00 - 3.50,hayir,
254,254,254,uluslararasi ticaret ve finansman,4,3.00 - 4.00,hayir,
255,255,255,endustri muhendisligi,4,0.00 - 2.50,hayir,
256,256,256,ekonomi,4,3.00 - 4.00,hayir,
257,257,257,uluslararasi lojistik - isletme ing cap,3,2.50 - 3.00,hayir,
258,258,258,mimarlik,2,0.00 - 2.50,hayir,
259,259,259,isletme,3,0.00 - 2.50,hayir,
260,260,260,lojistik yonetimi,3,3.00 - 3.50,hayir,
261,261,261,sosyal hizmet,4,0.00 - 2.50,hayir,
262,262,262,uluslararasi ticaret,2,2.50 - 3.00,hayir,
263,263,263,bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
264,264,264,uluslararasi ticaret ve finansman,4,3.00 - 4.00,hayir,
265,265,265,uluslararasi iliskiler,4,3.00 - 4.00,hayir,
266,266,266,psikoloji,2,2.50 - 3.00,hayir,
267,267,267,uluslararasi finans,3,2.50 - 3.00,hayir,
268,268,268,political science and international relations,2,0.00 - 2.50,hayir,
269,269,269,insan ve toplum bilimleri,2,0.00 - 2.50,hayir,
270,270,270,mimarlik,1,,hayir,
271,271,271,eczacilik,4,3.00 - 3.50,hayir,
272,272,272,peyzaj mimarligi,2,3.00 - 3.50,hayir,
273,273,273,reklamcilik/ sanat ve kultur yonetimi yandal,4,3.00 - 3.50,hayir,
274,274,274,uluslararasi finans,1,0.00 - 2.50,hayir,
275,275,275,matematik,3,3.00 - 3.50,hayir,
276,276,276,"enformasyon teknolojileri,endustri muhendisligi",4,3.00 - 3.50,hayir,
277,277,277,isletme,1,3.00 - 3.50,hayir,
278,278,278,mimarlik,4,0.00 - 2.50,hayir,
279,279,279,karsilastirmali edebiyat,4,2.50 - 3.00,hayir,
280,280,280,felsefe,3,0.00 - 2.50,evet,
281,281,281,turk dili ve edebiyati,3,0.00 - 2.50,hayir,
282,282,282,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
283,283,283,bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
284,284,284,muhasebe ve finans yonetimi,4,0.00 - 2.50,evet,
285,285,285,endustri muhendisligi,4,3.00 - 4.00,hayir,
286,286,286,mekatronik muhendisligi,1,0.00 - 2.50,hayir,
287,287,287,endustri muhendisligi,3,3.00 - 4.00,hayir,
288,288,288,ekonomi,3,3.00 - 3.50,hayir,
289,289,289,hukuk,2,2.50 - 3.00,hayir,
290,290,290,sinema tv,4,2.50 - 3.00,hayir,
291,291,291,elektronik muhendisligi,4,0.00 - 2.50,hayir,
292,292,292,isletme,mezun,0.00 - 2.50,hayir,
293,293,293,elektronik ve haberlesme muh.,3,0.00 - 2.50,hayir,
294,294,294,makine muhendisligi,1,,hayir,
295,295,295,endustri muhendisligi,3,2.50 - 3.00,hayir,
296,296,296,bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
297,297,297,uluslararasi ticaret ve isletmecilik,2,,hayir,
298,298,298,mimarlik ingilizce tam burslu,1,3.00 - 3.50,hayir,
299,299,299,muhasebe bilgi sistemleri,2,2.50 - 3.00,hayir,
300,300,300,isletme,4,3.00 - 3.50,hayir,
301,301,301,vcd gorsel iletisim tasarim,1,,hayir,
302,302,302,insaat muhendisligi,2,0.00 - 2.50,hayir,
303,303,303,iletisim tasarimi,1,,hayir,
304,304,304,rehberlik ve psikolojik danismanlik,2,3.00 - 4.00,hayir,
305,305,305,uluslararasi iliskiler,2,3.00 - 3.50,hayir,
306,306,306,elektrik-elektronik muhendisligi - psikoloji cift anadal,3,3.00 - 3.50,hayir,
307,307,307,"endustri muhendisligi anadal, bilgisayar muhendisligi cift anadal",4,3.00 - 4.00,hayir,
308,308,308,endustri ve sistem muhendisligi,hazirlik,3.00 - 4.00,hayir,
309,309,309,ingilizce mutercim- tercumanlik,3,3.00 - 4.00,hayir,
310,310,310,isletme,4,2.50 - 3.00,hayir,
311,311,311,isletme muhendisligi,hazirlik,,hayir,
312,312,312,endustri muhendisligi,3,2.50 - 3.00,hayir,
313,313,313,hukuk,2,2.50 - 3.00,hayir,
314,314,314,endustri muhendisligi,3,3.00 - 3.50,hayir,
315,315,315,insaat muhendisligi,2,3.00 - 3.50,hayir,
316,316,316,yazilim muhendisligi,4,2.50 - 3.00,hayir,
317,317,317,bilgisayar muhendisligi,yuksek lisans,,evet,
318,318,318,enerji sistemleri muhendisligi,2,2.50 - 3.00,hayir,
319,319,319,hukuk,2,3.00 - 3.50,hayir,
320,320,320,ekonomi-sosyoloji cift ana dal,3,3.00 - 3.50,hayir,
321,321,321,isletme,4,3.00 - 4.00,hayir,
322,322,322,elektrik-elektronik muhendisligi,1,,hayir,
323,323,323,gazetecilik,4,2.50 - 3.00,hayir,
324,324,324,televizyon haberciligi ve programciligi,1,,hayir,
325,325,325,sosyal hizmet,2,3.00 - 4.00,hayir,
326,326,326,insaat muhendisligiingilizce,1,,hayir,
327,327,327,hemsirelik,2,0.00 - 2.50,hayir,
328,328,328,isletme,3,3.00 - 3.50,hayir,
329,329,329,uluslararasi iliskiler,2,3.00 - 3.50,hayir,
330,330,330,isletme-girisimcilik,4,3.00 - 3.50,hayir,
331,331,331,ingilizce isletme,3,0.00 - 2.50,hayir,
332,332,332,uluslararasi finans,4,3.00 - 3.50,hayir,
333,333,333,elektrik-elektronik muhendisligianadal / yazilim muhendisligicift anadal,4,2.50 - 3.00,hayir,
334,334,334,uluslararasi ticaret,3,3.00 - 3.50,hayir,
335,335,335,lojistik yonetimi,4,3.00 - 4.00,hayir,
336,336,336,mutercim-tercumanlik,4,2.50 - 3.00,hayir,
337,337,337,isletmeingilizce,2,3.00 - 4.00,hayir,
338,338,338,tip,3,2.50 - 3.00,hayir,
339,339,339,ingilizce isletme,4,2.50 - 3.00,hayir,
340,340,340,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
341,341,341,uluslararasi iliskiler ingilizce,2,3.00 - 4.00,hayir,
342,342,342,ucak muhendisligi,2,3.00 - 4.00,hayir,
343,343,343,uluslararasi ticaret ve isletme,3,3.00 - 4.00,hayir,
344,344,344,isletme,2,3.00 - 4.00,hayir,
345,345,345,isletme,1,,hayir,
346,346,346,siyaset bilimi ve uluslararasi iliskiler,3,3.00 - 4.00,hayir,
347,347,347,molekuler biyoloji ve genetik,4,3.00 - 3.50,hayir,
348,348,348,isletme-ekonomi,1,,hayir,
349,349,349,uluslararasi ticaretingilizce,hazirlik,,hayir,
350,350,350,bilgisayar ve ogretim teknolojileri egitmenligi,3,2.50 - 3.00,hayir,
351,351,351,hukuk fakultesi,4,0.00 - 2.50,hayir,
352,352,352,endustri muhendisligi,1,,hayir,
353,353,353,uluslararasi iliskiler,1,,hayir,
354,354,354,uluslararasi ticaret ve finansman,2,0.00 - 2.50,hayir,
355,355,355,uluslararasi ticaret ve finansman,3,3.00 - 4.00,hayir,
356,356,356,cevre muhendisligi,3,3.00 - 3.50,hayir,
357,357,357,endustri muhendisligi,2,0.00 - 2.50,hayir,
358,358,358,ic mimarlik,3,2.50 - 3.00,hayir,
359,359,359,hukuk,3,0.00 - 2.50,hayir,
360,360,360,mekatronik muhendisligi,2,3.00 - 4.00,hayir,
361,361,361,beslenme ve diyetetik,hazirlik,,hayir,
362,362,362,uluslararasi isletme yonetimi almanca,4,2.50 - 3.00,hayir,
363,363,363,matematik ve almanca cift anadali,3,3.00 - 4.00,hayir,
364,364,364,enformasyon teknolojileriit/endustri muhendisligicap,3,3.00 - 3.50,hayir,
365,365,365,bilgisayar muhendisligi,2,3.00 - 4.00,hayir,
366,366,366,optisyenlik,1,,evet,
367,367,367,felsefe,2,3.00 - 3.50,evet,
368,368,368,hemsirelik,1,2.50 - 3.00,hayir,
369,369,369,biyomedikal muhendisligi,4,0.00 - 2.50,hayir,
370,370,370,bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
371,371,371,ergoterapi,2,3.00 - 3.50,hayir,
372,372,372,elektronik ve haberlesme muhendisligi,2,3.00 - 4.00,hayir,
373,373,373,psikoloji,4,3.00 - 4.00,hayir,
374,374,374,matematik muhendisligi,3,2.50 - 3.00,hayir,
375,375,375,endustri muhendisligi,2,3.00 - 3.50,hayir,
376,376,376,insaat muhendisligi,2,2.50 - 3.00,hayir,
377,377,377,mimarlik,2,3.00 - 3.50,hayir,
378,378,378,isletme ingilizce,4,0.00 - 2.50,hayir,
379,379,379,uluslararasi ticaret ve finansman,1,,hayir,
380,380,380,insaat muhendisligi,1,,hayir,
381,381,381,endustri muhendisligi,3,2.50 - 3.00,hayir,
382,382,382,uluslararasi ticaret ve isletmecilik,1,,hayir,
383,383,383,universite okumadim sistem istedigi icin yazim,,,hayir,
384,384,384,ingilizce isletme,4,3.00 - 3.50,hayir,
385,385,385,uluslararasi girisimcilik,2,3.00 - 3.50,hayir,
386,386,386,uluslararasi iliskiler- iktisat cift anadal,3,3.00 - 3.50,hayir,
387,387,387,elektrk ve elektonik muh. ingilice % 100,2,3.00 - 3.50,hayir,
388,388,388,uluslararasi iliskiler,1,,hayir,
389,389,389,endustri muhendisligi %100 ingilizce,3,2.50 - 3.00,hayir,
390,390,390,elektrik elektronik muhendisligi,4,0.00 - 2.50,hayir,
391,391,391,bilgisayar muhendisligi ingilizce,3,2.50 - 3.00,hayir,
392,392,392,endustri muhendisligi,2,0.00 - 2.50,hayir,
393,393,393,endustri muhendisligi,2,0.00 - 2.50,hayir,
394,394,394,hukuk,3,3.00 - 3.50,hayir,
395,395,395,yazilim muhendisligi,4,0.00 - 2.50,hayir,
396,396,396,elektrik elektronik muhendisligi,4,0.00 - 2.50,hayir,
397,397,397,endustri muhendisligi,mezun,0.00 - 2.50,evet,
398,398,398,endustri muhendisligi,2,0.00 - 2.50,hayir,
399,399,399,bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
400,400,400,makine muhendisligi,2,0.00 - 2.50,hayir,
401,401,401,turizm isletmeciligi,3,0.00 - 2.50,hayir,
402,402,402,gastronomi ve mutfak sanatlari,4,0.00 - 2.50,hayir,
403,403,403,isletmelisans,2,3.00 - 4.00,hayir,
404,404,404,bankacilik ve finans,4,3.00 - 3.50,hayir,
405,405,405,hukuk,2,2.50 - 3.00,hayir,
406,406,406,uluslararasi iliskiler,4,0.00 - 2.50,hayir,
407,407,407,saglik yonetimi,3,3.00 - 3.50,hayir,
408,408,408,hukuk %30 ingilizce,2,2.50 - 3.00,hayir,
409,409,409,reklamcilik,2,3.00 - 3.50,hayir,
410,410,410,uluslararasi iliskiler,2,3.00 - 3.50,hayir,
411,411,411,isletme,4,2.50 - 3.00,hayir,
