FamilyID,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
104,lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1.0
105,lise,hayir,calismiyor,lise,evet,kamu,1.0
106,ilkokul,hayir,calismiyor,ortaokul,evet,diger,2.0
107,ilkokul,hayir,calismiyor,ilkokul,evet,diger,4.0
108,lise,hayir,calismiyor,,,,
109,ortaokul,evet,ozel sektor,,,,
110,lise,hayir,calismiyor,universite,hayir,calismiyor,2.0
111,egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,3.0
112,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
113,universite,evet,kamu,universite,evet,kamu,3.0
114,lise,hayir,calismiyor,universite,evet,kamu,
115,universite,hayir,calismiyor,universite,evet,ozel sektor,1.0
116,universite,evet,ozel sektor,universite,evet,kamu,1.0
117,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
118,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1.0
119,ilkokul,evet,diger,lise,evet,diger,1.0
120,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1.0
121,lise,hayir,calismiyor,lise,evet,kamu,3.0
122,egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3.0
123,ilkokul,hayir,calismiyor,,,,
124,universite,evet,kamu,universite,emekli,calismiyor,2.0
125,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,0.0
126,ortaokul,hayir,calismiyor,lise,evet,kamu,2.0
127,egitimi yok,hayir,calismiyor,,,,
128,universite,evet,kamu,universite,evet,kamu,1.0
129,lise,hayir,calismiyor,universite,emekli,calismiyor,2.0
130,lise,evet,ozel sektor,universite,emekli,ozel sektor,0.0
131,lise,hayir,calismiyor,universite,emekli,calismiyor,3.0
132,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3.0
133,ilkokul,hayir,calismiyor,ortaokul,evet,diger,3.0
134,,emekli,calismiyor,,,,
135,egitimi yok,hayir,calismiyor,egitimi yok,evet,ozel sektor,5.0
136,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4.0
137,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
138,universite,evet,ozel sektor,ortaokul,emekli,calismiyor,0.0
139,universite,emekli,calismiyor,,,,
140,lise,hayir,calismiyor,lise,emekli,calismiyor,3.0
141,ilkokul,hayir,calismiyor,universite,evet,diger,1.0
142,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
143,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
144,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
145,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,
146,universite,emekli,calismiyor,,,,
147,lise,hayir,calismiyor,lise,evet,ozel sektor,1.0
148,lise,hayir,calismiyor,universite,evet,diger,1.0
149,lise,evet,diger,lise,evet,kamu,
150,lise,hayir,calismiyor,lise,evet,diger,2.0
151,lise,emekli,calismiyor,universite,emekli,calismiyor,0.0
152,universite,emekli,calismiyor,universite,emekli,calismiyor,1.0
153,lise,evet,diger,lise,evet,ozel sektor,4.0
154,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
155,,hayir,calismiyor,,evet,kamu,1.0
156,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2.0
157,lise,hayir,calismiyor,universite,evet,diger,1.0
158,ilkokul,hayir,calismiyor,ilkokul,evet,diger,2.0
159,ilkokul,hayir,calismiyor,universite,evet,kamu,2.0
160,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1.0
161,ilkokul,hayir,calismiyor,,,,
162,universite,evet,ozel sektor,lise,evet,ozel sektor,1.0
163,,evet,diger,,evet,diger,1.0
164,universite,emekli,calismiyor,,,,
165,ortaokul,emekli,calismiyor,universite,emekli,calismiyor,2.0
166,lise,hayir,calismiyor,egitimi yok,,calismiyor,1.0
167,lise,evet,ozel sektor,lise,emekli,calismiyor,1.0
168,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2.0
169,lise,hayir,calismiyor,universite,evet,kamu,1.0
170,lise,evet,kamu,egitimi yok,emekli,calismiyor,1.0
171,universite,emekli,calismiyor,universite,evet,kamu,1.0
172,ilkokul,hayir,calismiyor,universite,evet,kamu,3.0
173,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2.0
174,lise,evet,kamu,universite,hayir,calismiyor,0.0
175,ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4.0
176,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
177,universite,evet,kamu,universite,evet,ozel sektor,1.0
178,lise,evet,ozel sektor,lise,evet,ozel sektor,0.0
179,universite,evet,kamu,lise,evet,kamu,1.0
180,ortaokul,hayir,calismiyor,lise,evet,diger,1.0
181,universite,emekli,calismiyor,,,,
182,lise,emekli,calismiyor,,evet,diger,1.0
183,universite,emekli,calismiyor,egitimi yok,,calismiyor,0.0
184,lise,hayir,calismiyor,,,,
185,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2.0
186,ilkokul,hayir,calismiyor,lise,evet,kamu,2.0
187,lise,hayir,calismiyor,lise,evet,diger,1.0
188,universite,evet,kamu,lise,emekli,calismiyor,1.0
189,ortaokul,evet,ozel sektor,lise,evet,kamu,1.0
190,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
191,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
192,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
193,ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,3.0
194,ilkokul,hayir,calismiyor,lise,evet,kamu,1.0
195,ilkokul,evet,diger,lise,evet,ozel sektor,3.0
196,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5.0
197,lise,hayir,calismiyor,universite,emekli,calismiyor,2.0
198,ilkokul,hayir,calismiyor,,,,
199,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,4.0
200,lise,emekli,calismiyor,universite,emekli,calismiyor,1.0
201,ilkokul,hayir,calismiyor,universite,evet,kamu,3.0
202,lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1.0
203,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
204,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3.0
205,egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,4.0
206,universite,hayir,calismiyor,,,,
207,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
208,lise,hayir,calismiyor,,emekli,calismiyor,3.0
209,lise,emekli,calismiyor,ortaokul,emekli,calismiyor,3.0
210,lise,hayir,calismiyor,universite,evet,diger,2.0
211,universite,evet,kamu,lise,evet,ozel sektor,1.0
212,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,
213,universite,evet,kamu,lise,evet,kamu,1.0
214,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1.0
215,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5.0
216,ilkokul,hayir,calismiyor,,,,
217,ilkokul,evet,diger,universite,evet,kamu,3.0
218,universite,emekli,calismiyor,universite,evet,ozel sektor,1.0
219,ilkokul,hayir,calismiyor,ilkokul,evet,diger,1.0
220,ilkokul,hayir,calismiyor,universite,evet,kamu,2.0
221,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
222,universite,evet,kamu,universite,evet,diger,1.0
223,universite,emekli,calismiyor,universite,evet,kamu,2.0
224,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,8.0
225,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
226,lise,evet,ozel sektor,ortaokul,evet,ozel sektor,3.0
227,universite,hayir,calismiyor,,,,
228,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
229,ilkokul,hayir,calismiyor,,,,
230,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3.0
231,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2.0
232,egitimi yok,hayir,calismiyor,egitimi yok,evet,diger,6.0
233,egitimi yok,hayir,calismiyor,ortaokul,hayir,calismiyor,2.0
234,ilkokul,hayir,calismiyor,ilkokul,evet,diger,6.0
235,lise,hayir,calismiyor,universite,emekli,calismiyor,3.0
236,lise,emekli,calismiyor,lise,emekli,calismiyor,3.0
237,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,2.0
238,egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,11.0
239,ilkokul,evet,ozel sektor,universite,emekli,calismiyor,1.0
240,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
241,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
242,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
243,lise,hayir,calismiyor,universite,evet,kamu,1.0
244,lise,hayir,calismiyor,lise,emekli,calismiyor,3.0
245,ortaokul,evet,ozel sektor,ortaokul,hayir,calismiyor,2.0
246,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
247,lise,hayir,calismiyor,universite,emekli,calismiyor,1.0
248,ilkokul,evet,diger,lise,emekli,calismiyor,0.0
249,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
250,ilkokul,emekli,calismiyor,universite,emekli,calismiyor,2.0
251,lise,hayir,calismiyor,universite,evet,kamu,2.0
252,,evet,kamu,,evet,kamu,1.0
253,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1.0
254,lise,emekli,calismiyor,lise,emekli,calismiyor,0.0
255,universite,hayir,calismiyor,universite,evet,diger,1.0
256,ortaokul,hayir,calismiyor,universite,evet,diger,4.0
257,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,3.0
258,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,2.0
259,egitimi yok,evet,diger,ilkokul,hayir,diger,1.0
260,lise,hayir,calismiyor,universite,emekli,calismiyor,2.0
261,universite,emekli,calismiyor,universite,emekli,calismiyor,2.0
262,lise,emekli,calismiyor,universite,emekli,calismiyor,1.0
263,universite,hayir,calismiyor,,evet,ozel sektor,1.0
264,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2.0
265,ortaokul,emekli,calismiyor,lise,evet,kamu,0.0
266,lise,evet,diger,,,,
267,lise,hayir,calismiyor,lise,emekli,calismiyor,2.0
268,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3.0
269,ilkokul,evet,diger,ilkokul,evet,diger,2.0
270,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
271,universite,evet,diger,universite,evet,diger,1.0
272,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
273,lise,emekli,calismiyor,lise,emekli,calismiyor,2.0
274,universite,evet,kamu,universite,evet,ozel sektor,1.0
275,universite,evet,kamu,,evet,kamu,2.0
276,lise,emekli,calismiyor,universite,emekli,calismiyor,1.0
277,ilkokul,hayir,calismiyor,lise,evet,kamu,3.0
278,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1.0
279,universite,evet,ozel sektor,,,,
280,lise,hayir,calismiyor,,,,
281,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2.0
282,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2.0
283,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
284,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
285,universite,emekli,calismiyor,,,,
286,universite,evet,kamu,,,,
287,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1.0
288,egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4.0
289,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4.0
290,lise,evet,ozel sektor,ilkokul,evet,diger,0.0
291,lise,hayir,calismiyor,universite,evet,kamu,1.0
292,universite,hayir,calismiyor,universite,evet,kamu,2.0
293,universite,evet,kamu,universite,evet,kamu,0.0
294,lise,hayir,calismiyor,universite,evet,kamu,1.0
295,lise,hayir,calismiyor,universite,hayir,calismiyor,2.0
296,universite,evet,kamu,universite,evet,kamu,1.0
297,universite,evet,ozel sektor,universite,evet,ozel sektor,1.0
298,ilkokul,hayir,calismiyor,,,,
299,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1.0
300,ilkokul,hayir,calismiyor,,,,
301,lise,hayir,calismiyor,universite,emekli,calismiyor,1.0
302,ilkokul,hayir,calismiyor,lise,hayir,calismiyor,2.0
303,egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,6.0
304,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,4.0
305,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
306,ilkokul,hayir,calismiyor,,,,
307,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
308,,evet,kamu,,evet,kamu,1.0
309,ilkokul,hayir,calismiyor,lise,evet,kamu,2.0
310,universite,evet,kamu,universite,evet,kamu,4.0
311,universite,evet,kamu,universite,evet,kamu,2.0
312,universite,emekli,calismiyor,lise,emekli,calismiyor,2.0
313,universite,evet,kamu,universite,evet,kamu,1.0
314,ortaokul,hayir,calismiyor,universite,emekli,calismiyor,4.0
315,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
316,lise,hayir,calismiyor,universite,evet,kamu,3.0
317,universite,evet,kamu,universite,evet,ozel sektor,1.0
318,universite,evet,ozel sektor,universite,hayir,calismiyor,2.0
319,ortaokul,hayir,calismiyor,universite,evet,ozel sektor,1.0
320,lise,evet,kamu,universite,evet,kamu,1.0
321,universite,evet,kamu,universite,evet,kamu,2.0
322,lise,emekli,calismiyor,universite,evet,kamu,1.0
323,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3.0
324,universite,evet,kamu,lise,evet,diger,1.0
325,ilkokul,hayir,calismiyor,ilkokul,evet,diger,5.0
326,egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3.0
327,egitimi yok,hayir,calismiyor,ilkokul,evet,diger,6.0
328,lise,hayir,calismiyor,,,,
329,lise,hayir,calismiyor,lise,evet,kamu,1.0
330,universite,emekli,calismiyor,universite,emekli,calismiyor,2.0
331,ilkokul,hayir,calismiyor,lise,evet,diger,1.0
332,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3.0
333,ortaokul,hayir,calismiyor,,,,
334,ilkokul,hayir,calismiyor,lise,evet,kamu,2.0
335,lise,emekli,calismiyor,lise,emekli,calismiyor,0.0
336,lise,hayir,calismiyor,lise,emekli,calismiyor,2.0
337,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,3.0
338,lise,hayir,calismiyor,universite,evet,diger,3.0
339,ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,2.0
340,universite,emekli,calismiyor,universite,evet,kamu,1.0
341,egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,9.0
342,lise,hayir,calismiyor,lise,evet,kamu,1.0
343,universite,evet,ozel sektor,universite,evet,ozel sektor,1.0
344,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
345,lise,hayir,calismiyor,lise,emekli,calismiyor,2.0
346,ilkokul,hayir,calismiyor,ortaokul,evet,diger,2.0
347,lise,emekli,calismiyor,ortaokul,,calismiyor,0.0
348,lise,evet,ozel sektor,,,,
349,lise,hayir,calismiyor,lise,evet,ozel sektor,4.0
350,lise,hayir,calismiyor,ilkokul,evet,diger,1.0
351,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3.0
352,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
353,universite,evet,kamu,universite,evet,ozel sektor,3.0
354,lise,hayir,calismiyor,lise,hayir,calismiyor,0.0
355,lise,evet,ozel sektor,lise,evet,ozel sektor,4.0
356,lise,hayir,calismiyor,universite,emekli,calismiyor,3.0
357,lise,hayir,calismiyor,lise,evet,ozel sektor,2.0
358,lise,hayir,ozel sektor,universite,evet,ozel sektor,2.0
359,ilkokul,hayir,calismiyor,ilkokul,evet,diger,2.0
360,ilkokul,hayir,calismiyor,,,,
361,lise,hayir,calismiyor,universite,emekli,calismiyor,1.0
362,lise,emekli,calismiyor,universite,emekli,calismiyor,0.0
363,lise,hayir,calismiyor,ortaokul,hayir,calismiyor,0.0
364,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
365,ortaokul,hayir,calismiyor,,,,
366,ilkokul,hayir,calismiyor,,,,
367,egitimi yok,hayir,kamu,ortaokul,evet,kamu,3.0
368,lise,evet,ozel sektor,lise,evet,diger,2.0
369,universite,evet,kamu,universite,evet,kamu,1.0
370,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
371,ilkokul,hayir,calismiyor,,,,
372,lise,hayir,calismiyor,universite,evet,kamu,1.0
373,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
374,universite,evet,kamu,lise,evet,ozel sektor,1.0
375,ilkokul,hayir,calismiyor,universite,evet,kamu,2.0
376,lise,hayir,calismiyor,universite,evet,kamu,3.0
377,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,6.0
378,ortaokul,hayir,calismiyor,universite,evet,kamu,1.0
379,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5.0
380,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,7.0
381,universite,evet,kamu,universite,evet,kamu,1.0
382,ilkokul,hayir,calismiyor,lise,evet,diger,2.0
383,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,10.0
384,lise,hayir,calismiyor,egitimi yok,emekli,calismiyor,1.0
385,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3.0
386,universite,evet,ozel sektor,universite,evet,kamu,1.0
387,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,6.0
388,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
389,lise,hayir,calismiyor,lise,evet,ozel sektor,1.0
390,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1.0
391,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,6.0
392,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0.0
393,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0.0
394,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
395,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1.0
396,lise,emekli,calismiyor,lise,evet,ozel sektor,3.0
397,ortaokul,hayir,calismiyor,ilkokul,evet,diger,1.0
398,universite,emekli,calismiyor,,evet,kamu,2.0
399,lise,hayir,calismiyor,lise,evet,ozel sektor,2.0
400,lise,hayir,calismiyor,universite,evet,kamu,1.0
401,ortaokul,hayir,calismiyor,universite,emekli,calismiyor,2.0
402,universite,hayir,calismiyor,universite,evet,ozel sektor,0.0
403,universite,evet,kamu,lise,emekli,calismiyor,1.0
404,lise,hayir,calismiyor,universite,emekli,calismiyor,1.0
405,lise,hayir,calismiyor,lise,hayir,calismiyor,4.0
406,lise,emekli,calismiyor,,emekli,calismiyor,2.0
407,lise,hayir,calismiyor,universite,hayir,calismiyor,3.0
408,lise,hayir,calismiyor,lise,evet,ozel sektor,2.0
409,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1.0
410,lise,evet,ozel sektor,lise,evet,ozel sektor,1.0
411,ilkokul,hayir,calismiyor,lise,evet,diger,3.0
412,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3.0
413,lise,hayir,calismiyor,universite,emekli,calismiyor,1.0
414,universite,evet,ozel sektor,universite,evet,ozel sektor,3.0
415,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2.0
416,universite,emekli,calismiyor,lise,evet,kamu,1.0
417,ortaokul,evet,ozel sektor,lise,hayir,calismiyor,1.0
418,lise,evet,kamu,universite,emekli,calismiyor,0.0
419,ilkokul,hayir,calismiyor,egitimi yok,emekli,ozel sektor,3.0
420,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1.0
421,universite,evet,kamu,universite,evet,kamu,1.0
422,ilkokul,hayir,calismiyor,,,,
423,ilkokul,hayir,calismiyor,,,,
424,universite,hayir,calismiyor,universite,evet,ozel sektor,1.0
425,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5.0
426,ortaokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2.0
427,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1.0
428,lise,evet,kamu,lise,evet,ozel sektor,1.0
429,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
430,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2.0
431,ilkokul,emekli,calismiyor,ortaokul,hayir,calismiyor,1.0
432,ilkokul,hayir,calismiyor,lise,evet,kamu,2.0
433,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1.0
434,lise,evet,ozel sektor,,,,
435,universite,evet,kamu,universite,evet,kamu,1.0
436,ilkokul,emekli,calismiyor,egitimi yok,emekli,calismiyor,0.0
437,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1.0
438,ilkokul,hayir,calismiyor,ortaokul,evet,kamu,1.0
439,universite,evet,kamu,universite,evet,kamu,1.0
440,lise,emekli,calismiyor,lise,emekli,calismiyor,1.0
441,universite,emekli,calismiyor,universite,evet,ozel sektor,1.0
