Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
elektrik elektronik muhendisligi,4,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler,3,2.5-3.0,0,Null
biyomedikal muhendisligi,3,3.0-3.5,0,Null
matematik,2,0.0-2.5,0,Null
isletme ingilizce,4,2.5-3.0,1,Null
isletme,1,3.0-3.5,0,Null
hemsirelik ve saglik hizmetleri,4,0.0-2.5,0,Null
iktisat,1,Null,0,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
halkla iliskiler ve reklamcilik,hazirlik,Null,0,Null
halkla iliskiler ve reklamcilik,hazirlik,Null,0,Null
ekonomi ve finans,3,0.0-2.5,0,Null
is sagligi ve guvenligi,3,3.0-3.5,0,Null
hukuk,3,2.5-3.0,0,Null
siyaset bilimi ve kamu yonetimi,4,3.0-3.5,0,Null
isletme-ekonomi,hazirlik,Null,0,Null
tarih,hazirlik,Null,0,Null
bankacilik ve finans ingilizce,3,2.5-3.0,0,Null
psikoloji,2,3.0-4.0,0,Null
yonetim bilimleri,1,Null,0,Null
gorsel iletisim tasarimi,2,3.0-4.0,0,Null
psikoloji,2,3.0-3.5,0,Null
enerji sistemleri muhendisligi,1,Null,0,Null
hukuk,3,3.0-4.0,0,Null
uluslarasi iliskiler - iktisat cift anadal programi,3,3.0-3.5,0,Null
"matematik-bilgisayar,bilgisayar muhendisligi",3,3.0-3.5,0,Null
elektrik-elektronik muhendisligi,4,3.0-4.0,0,Null
halkla iliskiler tanitim,4,3.0-3.5,0,Null
uluslararasi ticaret,1,3.0-4.0,0,Null
uluslararasi ticaret,1,Null,0,Null
ekonomiingilizce,1,3.0-3.5,0,Null
psikoloji,3,2.5-3.0,0,Null
bankacilik ve sigortacilik,2,2.5-3.0,0,Null
biyomedikal muhendisligi,3,3.0-3.5,0,Null
enformasyon teknolojileri,4,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
uluslararasi iliskiler/ yandal-iktisat,3,3.0-3.5,0,Null
rehberlik ve psikolojik danismanlik,1,Null,0,Null
hukuk,2,3.0-4.0,0,Null
uluslararasi ticaret,1,Null,0,Null
kimya ve biyoloji muhendisligi,2,0.0-2.5,0,Null
saglik kurumlari yonetimi,2,3.0-4.0,0,Null
dis hekimligi,3,3.0-4.0,0,Null
hukuk,3,2.5-3.0,0,Null
halkla iliskiler ve reklamcilik,3,3.0-3.5,1,Null
makine muhendisligi,3,3.0-4.0,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
mimarlik,2,2.5-3.0,0,Null
ekonomi,4,2.5-3.0,0,Null
ekonomi,3,3.0-3.5,0,Null
siyaset bilimi ve kamu yonetimi,3,0.0-2.5,0,Null
bilgisayar ve egitim teknolojileri ogretmenligi,3,0.0-2.5,0,Null
bilgisayar muhendisligi,3,0.0-2.5,0,Null
televizyon haberciligi ve programciligi,2,3.0-3.5,0,Null
ingiliz dili veedebiyati,3,0.0-2.5,0,Null
mimarlik,1,Null,0,Null
uluslararasi isletme yonetimi,4,3.0-3.5,0,Null
psikoloji,4,3.0-4.0,0,Null
psikoloji,2,0.0-2.5,0,Null
makine muhendisligi,2,0.0-2.5,0,Null
mimarlik,2,2.5-3.0,0,Null
mimarlik,4,2.5-3.0,0,Null
psikoloji,4,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler psikoloji bolumu ile cift anadal,4,3.0-3.5,0,Null
isletme enformatigi,3,2.5-3.0,0,Null
muhendislik ve doga bilimleri fakultesi,1,Null,0,Null
malzeme bilimi ve muhendisligi,1,Null,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
psikoloji,2,0.0-2.5,0,Null
mutercim tercumanlik,3,0.0-2.5,0,Null
hukuk,1,2.5-3.0,0,Null
yonetim bilisim sistemleri ve yazilim muhendisligi,4,3.0-3.5,0,Null
isletme-ekonomi,1,Null,0,Null
iktisat,4,3.0-4.0,0,Null
isletme. uluslararasi ticaret ve lojistik cap,3,3.0-4.0,0,Null
isletme bilgi yonetimi,3,3.0-4.0,0,Null
uluslararasi girisimcilik,3,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler,1,Null,0,Null
uluslararasi ticaret ve isletmecilik,3,3.0-3.5,0,Null
uluslararasi ticaret,hazirlik,Null,0,Null
tip,3,3.0-3.5,0,Null
elektrik-elektronik muhendisligi,1,Null,0,Null
iktisat,2,3.0-4.0,0,Null
bilgisayar muhendisligi %50 burslu,4,2.5-3.0,0,Null
mekatronik muhendisligi,1,0.0-2.5,0,Null
otel yoneticiligi,1,Null,0,Null
uluslararasi iliskiler ve ab,2,3.0-3.5,0,Null
ingilizce isletme,3,2.5-3.0,0,Null
uluslararasi iliskiler,3,3.0-3.5,0,Null
siyaset bilimi ve uluslararas iliskiler,2,3.0-3.5,0,Null
uluslararasi iliskiler / ekonomi cift anadal,3,3.0-3.5,0,Null
uluslararasi ticaret ve pazarlama %100 ingilizce,4,3.0-4.0,0,Null
psikoloji,2,3.0-4.0,0,Null
hukuk,3,2.5-3.0,0,Null
endustri muhendisligi,2,3.0-4.0,0,Null
turizm ve otel isletmeciligi,1,3.0-3.5,0,Null
"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal programi",3,3.0-3.5,0,Null
hukuk,1,Null,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
isletme,2,2.5-3.0,0,Null
hukuk,1,Null,0,Null
uluslararasi lojistik ve tasimacilik,4,3.0-4.0,0,Null
hukuk,2,2.5-3.0,0,Null
bilgisayar muhendisligi,3,3.0-4.0,0,Null
bilgisayar muhendisligi,2,3.0-4.0,0,Null
fizik tedavi ve rehabilitasyon,1,Null,0,Null
isletme - yari burs tr siralama: 5000,2,2.5-3.0,0,Null
gemi makineleri isletme muhendisligi,1,3.0-4.0,0,Null
uluslararasi lojistik ve tasimacilik,1,Null,0,Null
yazilim muhendisligi,4,3.0-3.5,0,Null
matematik bilgisayar,mezun,0.0-2.5,1,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
hukuk,4,0.0-2.5,0,Null
ekonomi,2,3.0-4.0,0,Null
iktisat,1,3.0-4.0,0,Null
elektrik-elektronik muhendisligi ingilizce,2,2.5-3.0,0,Null
elektrik elektronik muhendisligi ingilizce,2,0.0-2.5,0,Null
uluslararasi ticaret ve finansingilizce,4,Null,0,Null
hemsirelik,2,0.0-2.5,0,Null
okul oncesi ogretmenligi,3,3.0-3.5,0,Null
uluslararasi girisimcilik,1,0.0-2.5,0,Null
mimarlik,1,Null,0,Null
hukukingilizce,3,3.0-3.5,0,Null
malzeme bilimi ve nanoteknoloji muhendisligi,2,3.0-3.5,0,Null
"biemf - bachelor of international economics, management and finance",3,Null,0,Null
elektrik elektronik muh.,2,3.0-3.5,0,Null
ingilizce isletme,2,0.0-2.5,0,Null
tip fakultesi,3,3.0-4.0,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
mekatronik muhendisligi,4,3.0-3.5,0,Null
siyaset bilimi ve kamu yonetimi,mezun,3.0-4.0,0,Null
insaat teknolojileri,2,0.0-2.5,0,Null
yonetim bilisim sistemleri,3,2.5-3.0,0,Null
hukuk,4,3.0-3.5,0,Null
uluslararasi ticaret ve isletmecilik,3,0.0-2.5,0,Null
ilahiyat,2,3.0-4.0,0,Null
international relations,3,2.5-3.0,0,Null
ulualararasi lojistik ve tasimacilikingilizce,hazirlik,Null,0,Null
ekonomi ve finans,2,3.0-4.0,0,Null
bilgisayar muhendisligi,2,3.0-3.5,0,Null
insaat muhendisligi,1,Null,0,Null
endustri muhendisligi,4,3.0-4.0,0,Null
molekuler biyoloji ve genetik,mezun,3.0-4.0,0,Null
political science and international relations,3,3.0-3.5,0,Null
sosyal bilgiler ogretmenligi,2,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-3.5,0,Null
kontrol ve otomasyon muhendisligiingilizce,hazirlik,Null,0,Null
bilgisayar muhendisligi,4,3.0-4.0,0,Null
computer technology and information systems,2,2.5-3.0,0,Null
hukuk fakultesi,4,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
dis ticaretingilizce,2,2.5-3.0,0,Null
endustri muhendisligi ingilizce,3,2.5-3.0,0,Null
elektrik-elektronik muhendisligi,2,2.5-3.0,0,Null
genetik ve biyomuhendislik,2,2.5-3.0,0,Null
mimarlik,2,3.0-3.5,0,Null
psikoloji,1,Null,0,Null
psikoloji %100 burslu,4,3.0-3.5,0,Null
bilgisayar muhendisligi,4,0.0-2.5,0,Null
televizyon haberciligi ve programciligi,4,3.0-3.5,0,Null
uluslararasi ticaret ve finansman,4,3.0-4.0,0,Null
endustri muhendisligi,4,0.0-2.5,0,Null
ekonomi,4,3.0-4.0,0,Null
uluslararasi lojistik - isletme ing cap,3,2.5-3.0,0,Null
mimarlik,2,0.0-2.5,0,Null
isletme,3,0.0-2.5,0,Null
lojistik yonetimi,3,3.0-3.5,0,Null
sosyal hizmet,4,0.0-2.5,0,Null
uluslararasi ticaret,2,2.5-3.0,0,Null
bilgisayar muhendisligi,4,0.0-2.5,0,Null
uluslararasi ticaret ve finansman,4,3.0-4.0,0,Null
uluslararasi iliskiler,4,3.0-4.0,0,Null
psikoloji,2,2.5-3.0,0,Null
uluslararasi finans,3,2.5-3.0,0,Null
political science and international relations,2,0.0-2.5,0,Null
insan ve toplum bilimleri,2,0.0-2.5,0,Null
mimarlik,1,Null,0,Null
eczacilik,4,3.0-3.5,0,Null
peyzaj mimarligi,2,3.0-3.5,0,Null
reklamcilik/ sanat ve kultur yonetimi yandal,4,3.0-3.5,0,Null
uluslararasi finans,1,0.0-2.5,0,Null
matematik,3,3.0-3.5,0,Null
"enformasyon teknolojileri,endustri muhendisligi",4,3.0-3.5,0,Null
isletme,1,3.0-3.5,0,Null
mimarlik,4,0.0-2.5,0,Null
karsilastirmali edebiyat,4,2.5-3.0,0,Null
felsefe,3,0.0-2.5,1,Null
turk dili ve edebiyati,3,0.0-2.5,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
muhasebe ve finans yonetimi,4,0.0-2.5,1,Null
endustri muhendisligi,4,3.0-4.0,0,Null
mekatronik muhendisligi,1,0.0-2.5,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
ekonomi,3,3.0-3.5,0,Null
hukuk,2,2.5-3.0,0,Null
sinema tv,4,2.5-3.0,0,Null
elektronik muhendisligi,4,0.0-2.5,0,Null
isletme,mezun,0.0-2.5,0,Null
elektronik ve haberlesme muh.,3,0.0-2.5,0,Null
makine muhendisligi,1,Null,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
bilgisayar muhendisligi,4,2.5-3.0,0,Null
uluslararasi ticaret ve isletmecilik,2,Null,0,Null
mimarlik ingilizce tam burslu,1,3.0-3.5,0,Null
muhasebe bilgi sistemleri,2,2.5-3.0,0,Null
isletme,4,3.0-3.5,0,Null
vcd gorsel iletisim tasarim,1,Null,0,Null
insaat muhendisligi,2,0.0-2.5,0,Null
iletisim tasarimi,1,Null,0,Null
rehberlik ve psikolojik danismanlik,2,3.0-4.0,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
elektrik-elektronik muhendisligi - psikoloji cift anadal,3,3.0-3.5,0,Null
"endustri muhendisligi anadal, bilgisayar muhendisligi cift anadal",4,3.0-4.0,0,Null
endustri ve sistem muhendisligi,hazirlik,3.0-4.0,0,Null
ingilizce mutercim- tercumanlik,3,3.0-4.0,0,Null
isletme,4,2.5-3.0,0,Null
isletme muhendisligi,hazirlik,Null,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
hukuk,2,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-3.5,0,Null
insaat muhendisligi,2,3.0-3.5,0,Null
yazilim muhendisligi,4,2.5-3.0,0,Null
bilgisayar muhendisligi,yuksek lisans,Null,1,Null
enerji sistemleri muhendisligi,2,2.5-3.0,0,Null
hukuk,2,3.0-3.5,0,Null
ekonomi-sosyoloji cift ana dal,3,3.0-3.5,0,Null
isletme,4,3.0-4.0,0,Null
elektrik-elektronik muhendisligi,1,Null,0,Null
gazetecilik,4,2.5-3.0,0,Null
televizyon haberciligi ve programciligi,1,Null,0,Null
sosyal hizmet,2,3.0-4.0,0,Null
insaat muhendisligiingilizce,1,Null,0,Null
hemsirelik,2,0.0-2.5,0,Null
isletme,3,3.0-3.5,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
isletme-girisimcilik,4,3.0-3.5,0,Null
ingilizce isletme,3,0.0-2.5,0,Null
uluslararasi finans,4,3.0-3.5,0,Null
elektrik-elektronik muhendisligianadal / yazilim muhendisligicift anadal,4,2.5-3.0,0,Null
uluslararasi ticaret,3,3.0-3.5,0,Null
lojistik yonetimi,4,3.0-4.0,0,Null
mutercim-tercumanlik,4,2.5-3.0,0,Null
isletmeingilizce,2,3.0-4.0,0,Null
tip,3,2.5-3.0,0,Null
ingilizce isletme,4,2.5-3.0,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
uluslararasi iliskiler ingilizce,2,3.0-4.0,0,Null
ucak muhendisligi,2,3.0-4.0,0,Null
uluslararasi ticaret ve isletme,3,3.0-4.0,0,Null
isletme,2,3.0-4.0,0,Null
isletme,1,Null,0,Null
siyaset bilimi ve uluslararasi iliskiler,3,3.0-4.0,0,Null
molekuler biyoloji ve genetik,4,3.0-3.5,0,Null
isletme-ekonomi,1,Null,0,Null
uluslararasi ticaretingilizce,hazirlik,Null,0,Null
bilgisayar ve ogretim teknolojileri egitmenligi,3,2.5-3.0,0,Null
hukuk fakultesi,4,0.0-2.5,0,Null
endustri muhendisligi,1,Null,0,Null
uluslararasi iliskiler,1,Null,0,Null
uluslararasi ticaret ve finansman,2,0.0-2.5,0,Null
uluslararasi ticaret ve finansman,3,3.0-4.0,0,Null
cevre muhendisligi,3,3.0-3.5,0,Null
endustri muhendisligi,2,0.0-2.5,0,Null
ic mimarlik,3,2.5-3.0,0,Null
hukuk,3,0.0-2.5,0,Null
mekatronik muhendisligi,2,3.0-4.0,0,Null
beslenme ve diyetetik,hazirlik,Null,0,Null
uluslararasi isletme yonetimi almanca,4,2.5-3.0,0,Null
matematik ve almanca cift anadali,3,3.0-4.0,0,Null
enformasyon teknolojileriit/endustri muhendisligicap,3,3.0-3.5,0,Null
bilgisayar muhendisligi,2,3.0-4.0,0,Null
optisyenlik,1,Null,1,Null
felsefe,2,3.0-3.5,1,Null
hemsirelik,1,2.5-3.0,0,Null
biyomedikal muhendisligi,4,0.0-2.5,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
ergoterapi,2,3.0-3.5,0,Null
elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,Null
psikoloji,4,3.0-4.0,0,Null
matematik muhendisligi,3,2.5-3.0,0,Null
endustri muhendisligi,2,3.0-3.5,0,Null
insaat muhendisligi,2,2.5-3.0,0,Null
mimarlik,2,3.0-3.5,0,Null
isletme ingilizce,4,0.0-2.5,0,Null
uluslararasi ticaret ve finansman,1,Null,0,Null
insaat muhendisligi,1,Null,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
uluslararasi ticaret ve isletmecilik,1,Null,0,Null
universite okumadim sistem istedigi icin yazim,Null,Null,0,Null
ingilizce isletme,4,3.0-3.5,0,Null
uluslararasi girisimcilik,2,3.0-3.5,0,Null
uluslararasi iliskiler- iktisat cift anadal,3,3.0-3.5,0,Null
elektrk ve elektonik muh. ingilice % 100,2,3.0-3.5,0,Null
uluslararasi iliskiler,1,Null,0,Null
endustri muhendisligi %100 ingilizce,3,2.5-3.0,0,Null
elektrik elektronik muhendisligi,4,0.0-2.5,0,Null
bilgisayar muhendisligi ingilizce,3,2.5-3.0,0,Null
endustri muhendisligi,2,0.0-2.5,0,Null
endustri muhendisligi,2,0.0-2.5,0,Null
hukuk,3,3.0-3.5,0,Null
yazilim muhendisligi,4,0.0-2.5,0,Null
elektrik elektronik muhendisligi,4,0.0-2.5,0,Null
endustri muhendisligi,mezun,0.0-2.5,1,Null
endustri muhendisligi,2,0.0-2.5,0,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
makine muhendisligi,2,0.0-2.5,0,Null
turizm isletmeciligi,3,0.0-2.5,0,Null
gastronomi ve mutfak sanatlari,4,0.0-2.5,0,Null
isletmelisans,2,3.0-4.0,0,Null
bankacilik ve finans,4,3.0-3.5,0,Null
hukuk,2,2.5-3.0,0,Null
uluslararasi iliskiler,4,0.0-2.5,0,Null
saglik yonetimi,3,3.0-3.5,0,Null
hukuk %30 ingilizce,2,2.5-3.0,0,Null
reklamcilik,2,3.0-3.5,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
isletme,4,2.5-3.0,0,Null
uluslararasi iliskiler,3,3.0-4.0,0,Null
rehberlik ve psikolojik danismanlik,1,Null,0,Null
isletme,4,3.0-4.0,0,Null
yazilim muhendisligi,1,3.0-3.5,0,Null
isletme,mezun,2.5-3.0,0,Null
mekatronik muhendisligi,3,3.0-3.5,0,Null
endustri muhendisligi,2,0.0-2.5,0,Null
uluslararasi ticaret,3,2.5-3.0,0,Null
iletisim,Null,Null,0,Null
endustri muhendisligi,4,0.0-2.5,0,Null
isletmeingilizce,hazirlik,Null,0,Null
bilgisayar muhendisligi,1,Null,0,Null
genetik ve biyomuhendislik,3,3.0-3.5,0,Null
isletme,1,Null,0,Null
bilgisayar programciligi - myo,2,3.0-4.0,0,Null
management information systems,4,3.0-4.0,0,Null
bilgisayar veya yazilim muh. olacak,1,Null,0,Null
bilgisayar teknolojisi ve bilisim sistemleri,2,3.0-3.5,0,Null
lojistik yonetimi // uluslararasi ticaret ve finansmancap,4,3.0-4.0,0,Null
ingilizce isletme,3,2.5-3.0,0,Null
elektrik-elektronik muhendisligi,hazirlik,Null,0,Null
"enerji sistemleri muhendisligi,elektrik-elektronik muhendisligicift anadal",3,3.0-3.5,0,Null
bankacilik ve finans,4,3.0-3.5,0,Null
psikoloji,4,3.0-3.5,0,Null
isletme ve reklamcilik. cap yapiyorum.,4,3.0-3.5,0,Null
hemsirelik,2,2.5-3.0,0,Null
uluslararasi ticaret ve isletmecilik,3,2.5-3.0,0,Null
bilgisayar muhendisligi anadal/ endustri muhendisligi ikinci anadal,3,3.0-3.5,0,Null
grafik,4,3.0-4.0,1,Null
biyomedikal muhendisligi,3,3.0-4.0,0,Null
uluslararasi ticaret ve finansman,4,3.0-3.5,0,Null
hukuk,4,3.0-3.5,0,Null
ekonomi,hazirlik,Null,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
yonetim bilisim sistemleri %100 ing.,2,3.0-4.0,0,Null
master of business administration,1,Null,1,Null
gorsel iletisim tasarimi,1,Null,0,Null
sanat sosyal fakultesi,1,Null,0,Null
hukuk ve medya ve iletisim sistemleri anabilim dallarinda %100 osym burslu,4,3.0-4.0,0,Null
ic mimarlik ve cevre tasarimi,1,Null,0,Null
endustri muhendisligi,2,3.0-3.5,0,Null
ekonomi ing,2,3.0-4.0,0,Null
hukuk,3,2.5-3.0,0,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
turk dili ve edebiyati,1,Null,0,Null
uluslararasi iliskiler ingilizce,4,3.0-3.5,0,Null
turk dili ve edebiyati,4,2.5-3.0,0,Null
uluslararasi ticaret ve lojistik,4,0.0-2.5,0,Null
petrol ve dogalgaz muhendisligi,2,0.0-2.5,0,Null
uluslararasi ticaret ve lojistik,3,0.0-2.5,0,Null
ingiliz dili ve edebiyati,1,Null,0,Null
geomatik muhendisligi,2,2.5-3.0,0,Null
biyomedikal muhendisligi,4,3.0-3.5,0,Null
mimarlik,3,2.5-3.0,0,Null
psikoloji,2,3.0-3.5,0,Null
halkla iliskiler,2,3.0-3.5,0,Null
isletmeanadal - endustri muhendisligiyandal,2,3.0-3.5,0,Null
insaat muhendisligi ing,1,Null,0,Null
uluslararasi ticaret ve finansman,3,0.0-2.5,0,Null
harita kadastro,2,3.0-4.0,0,Null
isletme,2,0.0-2.5,0,Null
siyaset bilimi ve kamu yonetimi,1,3.0-3.5,0,Null
uluslararasi isletme yonetimi,3,0.0-2.5,0,Null
endustri muhendisligi,2,3.0-3.5,0,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,0,Null
endustri muhendisligi,2,2.5-3.0,0,Null
otomotiv teknolojileri,mezun,Null,0,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null
tibbi dokumantasyon ve sekreterlik,2,3.0-3.5,0,Null
muhasebe,mezun,3.0-3.5,1,Null
endustri muhendisligi,1,Null,0,Null
saglik kurumlari isletmeciligi,1,3.0-3.5,0,Null
yazilim muhendisligi,2,3.0-4.0,0,Null
eczacilik bolumu,4,3.0-4.0,0,Null
kentsel tasarim ve peyzaj mimarligi,3,2.5-3.0,0,Null
makine,2,0.0-2.5,0,Null
isletme,1,Null,0,Null
ekonomi,2,2.5-3.0,0,Null
endustri muhendisligi,2,3.0-4.0,0,Null
siyaset bilimi ve kamu yonetimi,2,3.0-3.5,0,Null
halkla iliskiler ve reklamcilik,2,3.0-3.5,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
elektronik muhendisligi,4,3.0-3.5,0,Null
bilgisayar muhendisligi,3,0.0-2.5,0,Null
elektronik ve haberlesme muh.,2,0.0-2.5,0,Null
gazetecilik,4,0.0-2.5,0,Null
halkla iliskiler ve reklamcilik,1,Null,0,Null
otomotiv muhendisligi%100 ing,2,3.0-4.0,0,Null
ekonomi - yonetim bilimleri,1,3.0-3.5,0,Null
ingiliz dili ve edebiyati,2,2.5-3.0,0,Null
bilgisayar muhendisligi,4,3.0-3.5,1,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null
bilisim sistemleri muhendisligi,mezun,3.0-3.5,0,Null
yazilim muhendisligi,4,2.5-3.0,0,Null
endustri muhendisligi,2,Null,0,Null
computer science engineering,3,2.5-3.0,0,Null
halkla iliskiler,4,3.0-3.5,0,Null
elektronik ve haberlesme muhendisligi,2,0.0-2.5,0,Null
hukuk,1,Null,0,Null
endustri muhendisligi,4,2.5-3.0,0,Null
mimarlik,hazirlik,Null,0,Null
turizm ve otel iletmeciligi,2,3.0-3.5,0,Null
isletme,2,3.0-3.5,0,Null
kontrol ve otomasyon muhendisligi,4,3.0-3.5,0,Null
elektrik elektronik muhendisligi,3,3.0-3.5,0,Null
gazetecilik,2,3.0-4.0,0,Null
makine muhendisligi,3,3.0-3.5,0,Null
hukuk,2,2.5-3.0,0,Null
isletme,2,0.0-2.5,0,Null
isletme,1,Null,0,Null
saglik yonetimi / psikoloji cift anadal,3,3.0-3.5,0,Null
matematik / iktisat cift anadal,3,3.0-3.5,0,Null
siyaset bilimi ve uluslararasi iliskiler,1,Null,0,Null
bilgisayar muhendisligi,4,2.5-3.0,0,Null
