Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
universite,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ortaokul,Null,calismiyor,1
lise,emekli,calismiyor,Null,Null,Null,Null
Null,evet,kamu,Null,evet,diger,1
Null,evet,kamu,universite,emekli,calismiyor,1
universite,emekli,ozel sektor,universite,emekli,calismiyor,3
ortaokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
lise,emekli,calismiyor,universite,evet,kamu,2
lise,evet,ozel sektor,Null,evet,kamu,1
universite,evet,kamu,Null,evet,kamu,0
ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2
ilkokul,hayir,calismiyor,universite,evet,kamu,2
lise,hayir,calismiyor,Null,Null,Null,Null
ortaokul,hayir,calismiyor,lise,evet,diger,3
lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
lise,hayir,calismiyor,universite,emekli,calismiyor,2
lise,hayir,calismiyor,universite,evet,kamu,3
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1
lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1
lise,hayir,calismiyor,lise,evet,kamu,1
ilkokul,hayir,calismiyor,ortaokul,evet,diger,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
lise,hayir,calismiyor,Null,Null,Null,Null
ortaokul,evet,ozel sektor,Null,Null,Null,Null
lise,hayir,calismiyor,universite,hayir,calismiyor,2
egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,3
lise,hayir,calismiyor,lise,emekli,calismiyor,1
universite,evet,kamu,universite,evet,kamu,3
lise,hayir,calismiyor,universite,evet,kamu,Null
universite,hayir,calismiyor,universite,evet,ozel sektor,1
universite,evet,ozel sektor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
ilkokul,evet,diger,lise,evet,diger,1
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
lise,hayir,calismiyor,lise,evet,kamu,3
egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3
ilkokul,hayir,calismiyor,Null,Null,Null,Null
universite,evet,kamu,universite,emekli,calismiyor,2
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,0
ortaokul,hayir,calismiyor,lise,evet,kamu,2
egitimi yok,hayir,calismiyor,Null,Null,Null,Null
universite,evet,kamu,universite,evet,kamu,1
lise,hayir,calismiyor,universite,emekli,calismiyor,2
lise,evet,ozel sektor,universite,emekli,ozel sektor,0
lise,hayir,calismiyor,universite,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
ilkokul,hayir,calismiyor,ortaokul,evet,diger,3
Null,emekli,calismiyor,Null,Null,Null,Null
egitimi yok,hayir,calismiyor,egitimi yok,evet,ozel sektor,5
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
lise,hayir,calismiyor,lise,emekli,calismiyor,1
universite,evet,ozel sektor,ortaokul,emekli,calismiyor,0
universite,emekli,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,universite,evet,diger,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,Null
universite,emekli,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,lise,evet,ozel sektor,1
lise,hayir,calismiyor,universite,evet,diger,1
lise,evet,diger,lise,evet,kamu,Null
lise,hayir,calismiyor,lise,evet,diger,2
lise,emekli,calismiyor,universite,emekli,calismiyor,0
universite,emekli,calismiyor,universite,emekli,calismiyor,1
lise,evet,diger,lise,evet,ozel sektor,4
lise,hayir,calismiyor,ilkokul,emekli,calismiyor,2
Null,hayir,calismiyor,Null,evet,kamu,1
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
lise,hayir,calismiyor,universite,evet,diger,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,universite,evet,kamu,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
universite,evet,ozel sektor,lise,evet,ozel sektor,1
Null,evet,diger,Null,evet,diger,1
universite,emekli,calismiyor,Null,Null,Null,Null
ortaokul,emekli,calismiyor,universite,emekli,calismiyor,2
lise,hayir,calismiyor,egitimi yok,Null,calismiyor,1
lise,evet,ozel sektor,lise,emekli,calismiyor,1
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
lise,hayir,calismiyor,universite,evet,kamu,1
lise,evet,kamu,egitimi yok,emekli,calismiyor,1
universite,emekli,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,universite,evet,kamu,3
ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
lise,evet,kamu,universite,hayir,calismiyor,0
ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,1
universite,evet,kamu,universite,evet,ozel sektor,1
lise,evet,ozel sektor,lise,evet,ozel sektor,0
universite,evet,kamu,lise,evet,kamu,1
ortaokul,hayir,calismiyor,lise,evet,diger,1
universite,emekli,calismiyor,Null,Null,Null,Null
lise,emekli,calismiyor,Null,evet,diger,1
universite,emekli,calismiyor,egitimi yok,Null,calismiyor,0
lise,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
ilkokul,hayir,calismiyor,lise,evet,kamu,2
lise,hayir,calismiyor,lise,evet,diger,1
universite,evet,kamu,lise,emekli,calismiyor,1
ortaokul,evet,ozel sektor,lise,evet,kamu,1
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
lise,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,kamu,1
ilkokul,evet,diger,lise,evet,ozel sektor,3
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
lise,hayir,calismiyor,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,ortaokul,emekli,calismiyor,4
lise,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,3
lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1
lise,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,4
universite,hayir,calismiyor,Null,Null,Null,Null
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,calismiyor,Null,emekli,calismiyor,3
lise,emekli,calismiyor,ortaokul,emekli,calismiyor,3
lise,hayir,calismiyor,universite,evet,diger,2
universite,evet,kamu,lise,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,Null
universite,evet,kamu,lise,evet,kamu,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,evet,diger,universite,evet,kamu,3
universite,emekli,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,1
ilkokul,hayir,calismiyor,universite,evet,kamu,2
lise,hayir,calismiyor,lise,emekli,calismiyor,1
universite,evet,kamu,universite,evet,diger,1
universite,emekli,calismiyor,universite,evet,kamu,2
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,8
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
lise,evet,ozel sektor,ortaokul,evet,ozel sektor,3
universite,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2
egitimi yok,hayir,calismiyor,egitimi yok,evet,diger,6
egitimi yok,hayir,calismiyor,ortaokul,hayir,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,6
lise,hayir,calismiyor,universite,emekli,calismiyor,3
lise,emekli,calismiyor,lise,emekli,calismiyor,3
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,2
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,11
ilkokul,evet,ozel sektor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,calismiyor,universite,evet,kamu,1
lise,hayir,calismiyor,lise,emekli,calismiyor,3
ortaokul,evet,ozel sektor,ortaokul,hayir,calismiyor,2
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
lise,hayir,calismiyor,universite,emekli,calismiyor,1
ilkokul,evet,diger,lise,emekli,calismiyor,0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
ilkokul,emekli,calismiyor,universite,emekli,calismiyor,2
lise,hayir,calismiyor,universite,evet,kamu,2
Null,evet,kamu,Null,evet,kamu,1
ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
lise,emekli,calismiyor,lise,emekli,calismiyor,0
universite,hayir,calismiyor,universite,evet,diger,1
ortaokul,hayir,calismiyor,universite,evet,diger,4
ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,3
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,2
egitimi yok,evet,diger,ilkokul,hayir,diger,1
lise,hayir,calismiyor,universite,emekli,calismiyor,2
universite,emekli,calismiyor,universite,emekli,calismiyor,2
lise,emekli,calismiyor,universite,emekli,calismiyor,1
universite,hayir,calismiyor,Null,evet,ozel sektor,1
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
ortaokul,emekli,calismiyor,lise,evet,kamu,0
lise,evet,diger,Null,Null,Null,Null
lise,hayir,calismiyor,lise,emekli,calismiyor,2
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3
ilkokul,evet,diger,ilkokul,evet,diger,2
lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1
universite,evet,diger,universite,evet,diger,1
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
lise,emekli,calismiyor,lise,emekli,calismiyor,2
universite,evet,kamu,universite,evet,ozel sektor,1
universite,evet,kamu,Null,evet,kamu,2
lise,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,kamu,3
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
universite,evet,ozel sektor,Null,Null,Null,Null
lise,hayir,calismiyor,Null,Null,Null,Null
ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
universite,emekli,calismiyor,Null,Null,Null,Null
universite,evet,kamu,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
lise,evet,ozel sektor,ilkokul,evet,diger,0
lise,hayir,calismiyor,universite,evet,kamu,1
universite,hayir,calismiyor,universite,evet,kamu,2
universite,evet,kamu,universite,evet,kamu,0
lise,hayir,calismiyor,universite,evet,kamu,1
lise,hayir,calismiyor,universite,hayir,calismiyor,2
universite,evet,kamu,universite,evet,kamu,1
universite,evet,ozel sektor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,hayir,calismiyor,2
egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,6
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
Null,evet,kamu,Null,evet,kamu,1
ilkokul,hayir,calismiyor,lise,evet,kamu,2
universite,evet,kamu,universite,evet,kamu,4
universite,evet,kamu,universite,evet,kamu,2
universite,emekli,calismiyor,lise,emekli,calismiyor,2
universite,evet,kamu,universite,evet,kamu,1
ortaokul,hayir,calismiyor,universite,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
lise,hayir,calismiyor,universite,evet,kamu,3
universite,evet,kamu,universite,evet,ozel sektor,1
universite,evet,ozel sektor,universite,hayir,calismiyor,2
ortaokul,hayir,calismiyor,universite,evet,ozel sektor,1
lise,evet,kamu,universite,evet,kamu,1
universite,evet,kamu,universite,evet,kamu,2
lise,emekli,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
universite,evet,kamu,lise,evet,diger,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,5
egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3
egitimi yok,hayir,calismiyor,ilkokul,evet,diger,6
lise,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,lise,evet,kamu,1
universite,emekli,calismiyor,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,lise,evet,diger,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
ortaokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,evet,kamu,2
lise,emekli,calismiyor,lise,emekli,calismiyor,0
lise,hayir,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,3
lise,hayir,calismiyor,universite,evet,diger,3
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,2
universite,emekli,calismiyor,universite,evet,kamu,1
egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,9
lise,hayir,calismiyor,lise,evet,kamu,1
universite,evet,ozel sektor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
lise,hayir,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ortaokul,evet,diger,2
lise,emekli,calismiyor,ortaokul,Null,calismiyor,0
lise,evet,ozel sektor,Null,Null,Null,Null
lise,hayir,calismiyor,lise,evet,ozel sektor,4
lise,hayir,calismiyor,ilkokul,evet,diger,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
universite,evet,kamu,universite,evet,ozel sektor,3
lise,hayir,calismiyor,lise,hayir,calismiyor,0
lise,evet,ozel sektor,lise,evet,ozel sektor,4
lise,hayir,calismiyor,universite,emekli,calismiyor,3
lise,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,ozel sektor,universite,evet,ozel sektor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,universite,emekli,calismiyor,1
lise,emekli,calismiyor,universite,emekli,calismiyor,0
lise,hayir,calismiyor,ortaokul,hayir,calismiyor,0
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ortaokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,Null,Null,Null,Null
egitimi yok,hayir,kamu,ortaokul,evet,kamu,3
lise,evet,ozel sektor,lise,evet,diger,2
universite,evet,kamu,universite,evet,kamu,1
ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,universite,evet,kamu,1
lise,hayir,calismiyor,lise,emekli,calismiyor,1
universite,evet,kamu,lise,evet,ozel sektor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,2
lise,hayir,calismiyor,universite,evet,kamu,3
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,6
ortaokul,hayir,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,7
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,evet,diger,2
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,10
lise,hayir,calismiyor,egitimi yok,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
universite,evet,ozel sektor,universite,evet,kamu,1
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,6
lise,hayir,calismiyor,universite,evet,ozel sektor,1
lise,hayir,calismiyor,lise,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,6
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1
lise,emekli,calismiyor,lise,evet,ozel sektor,3
ortaokul,hayir,calismiyor,ilkokul,evet,diger,1
universite,emekli,calismiyor,Null,evet,kamu,2
lise,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,calismiyor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,universite,emekli,calismiyor,2
universite,hayir,calismiyor,universite,evet,ozel sektor,0
universite,evet,kamu,lise,emekli,calismiyor,1
lise,hayir,calismiyor,universite,emekli,calismiyor,1
lise,hayir,calismiyor,lise,hayir,calismiyor,4
lise,emekli,calismiyor,Null,emekli,calismiyor,2
lise,hayir,calismiyor,universite,hayir,calismiyor,3
lise,hayir,calismiyor,lise,evet,ozel sektor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
lise,evet,ozel sektor,lise,evet,ozel sektor,1
ilkokul,hayir,calismiyor,lise,evet,diger,3
ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
lise,hayir,calismiyor,universite,emekli,calismiyor,1
universite,evet,ozel sektor,universite,evet,ozel sektor,3
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
universite,emekli,calismiyor,lise,evet,kamu,1
ortaokul,evet,ozel sektor,lise,hayir,calismiyor,1
lise,evet,kamu,universite,emekli,calismiyor,0
ilkokul,hayir,calismiyor,egitimi yok,emekli,ozel sektor,3
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,Null,Null,Null,Null
universite,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5
ortaokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
lise,evet,kamu,lise,evet,ozel sektor,1
lise,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,emekli,calismiyor,ortaokul,hayir,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,kamu,2
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
lise,evet,ozel sektor,Null,Null,Null,Null
universite,evet,kamu,universite,evet,kamu,1
ilkokul,emekli,calismiyor,egitimi yok,emekli,calismiyor,0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,evet,kamu,1
universite,evet,kamu,universite,evet,kamu,1
lise,emekli,calismiyor,lise,emekli,calismiyor,1
universite,emekli,calismiyor,universite,evet,ozel sektor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
lise,hayir,calismiyor,Null,Null,Null,Null
universite,evet,kamu,universite,emekli,kamu,1
universite,emekli,calismiyor,Null,Null,Null,Null
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,0
universite,hayir,calismiyor,universite,evet,ozel sektor,0
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
lise,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,hayir,calismiyor,5
ilkokul,hayir,calismiyor,universite,evet,kamu,3
ilkokul,hayir,calismiyor,ortaokul,evet,diger,4
lise,hayir,calismiyor,ilkokul,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,diger,1
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,11
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,8
lise,emekli,calismiyor,ortaokul,emekli,calismiyor,1
egitimi yok,hayir,calismiyor,Null,Null,Null,Null
egitimi yok,hayir,calismiyor,lise,evet,diger,3
ortaokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,0
ilkokul,hayir,calismiyor,universite,evet,kamu,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
lise,emekli,calismiyor,ilkokul,hayir,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
lise,emekli,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
lise,evet,diger,ortaokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ortaokul,hayir,calismiyor,3
lise,evet,ozel sektor,ortaokul,evet,ozel sektor,1
universite,evet,kamu,Null,evet,kamu,2
ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,0
egitimi yok,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,hayir,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
universite,evet,ozel sektor,ilkokul,emekli,calismiyor,2
ilkokul,emekli,calismiyor,ortaokul,emekli,calismiyor,2
ilkokul,evet,diger,ilkokul,emekli,calismiyor,4
