Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
is sagligi ve guvenligi,3,3.0-3.5,0,intas,Null,istanbul,duz lise,Null,Null,3.0-3.5,Null,Null,Null
hukuk,3,2.5-3.0,0,selahattin akbilek lisesi,Null,ankara,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve kamu yonetimi,4,3.0-3.5,0,ortaklar anadolu ogretmen lisesi,Null,aydin,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme-ekonomi,hazirlik,Null,0,bursa ataturk anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
tarih,hazirlik,Null,0,mahmut arslan anadolu lisesi,Null,mersin,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
bankacilik ve finans ingilizce,3,2.5-3.0,0,gulizar zeki obdan anadolu lisesi,Null,istanbul,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
psikoloji,2,3.0-4.0,0,samsun cumhuriyet lisesi,Null,samsun,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
yonetim bilimleri,1,Null,0,ozel erkul tunagur fen lisesi,Null,kocaeli,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
gorsel iletisim tasarimi,2,3.0-4.0,0,buca kiz teknik ve meslek lisesi,Null,izmir,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
psikoloji,2,3.0-3.5,0,kirkkonaklar anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
enerji sistemleri muhendisligi,1,Null,0,atakoy cumhuriyet anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
hukuk,3,3.0-4.0,0,karabuk anadolu ogretmen lisesi,Null,karabuk,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
uluslarasi iliskiler - iktisat cift anadal programi,3,3.0-3.5,0,ozel nilufer rafet kahraman anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
"matematik-bilgisayar,bilgisayar muhendisligi",3,3.0-3.5,0,guner akin,Null,istanbul,duz lise,Null,Null,3.0-3.5,Null,Null,Null
elektrik-elektronik muhendisligi,4,3.0-4.0,0,meram fen lisesi,Null,konya,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
halkla iliskiler tanitim,4,3.0-3.5,0,ertugrulgazi lisesi,Null,bilecik,duz lise,sozel,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,1,3.0-4.0,0,vali vecdi gonul anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,1,Null,0,fatih vatan lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
ekonomiingilizce,1,3.0-3.5,0,prof. dr. mumtaz turhan sosyal bilimler lisesi,Null,istanbul,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
psikoloji,3,2.5-3.0,0,suleyman nazif anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bankacilik ve sigortacilik,2,2.5-3.0,0,besiktas anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
biyomedikal muhendisligi,3,3.0-3.5,0,atakoy cumhuriyet lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
enformasyon teknolojileri,4,2.5-3.0,0,bornova anadolo lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,izmir fen lisesi,Null,izmir,fen lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
uluslararasi iliskiler/ yandal-iktisat,3,3.0-3.5,0,gazi koleji,Null,ankara,Özel,esit agirlik,Null,2.5-3.0,Null,Null,Null
rehberlik ve psikolojik danismanlik,1,Null,0,levent aydin anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk,2,3.0-4.0,0,ozel darica fatih anadolu lisesi,Null,kocaeli,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,1,Null,0,tavsanli imkb anadolu ogretmen lisesi,Null,kutahya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
kimya ve biyoloji muhendisligi,2,0.0-2.5,0,ari fen lisesi,Null,ankara,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
saglik kurumlari yonetimi,2,3.0-4.0,0,ahmet buhan lisesi,Null,istanbul,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
dis hekimligi,3,3.0-4.0,0,nevzat ayaz anadolu lisesi,Null,diyarbakir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
hukuk,3,2.5-3.0,0,ankara anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
halkla iliskiler ve reklamcilik,3,3.0-3.5,1,karsiyaka anadolu iletisim meslek lisesi,Null,izmir,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
makine muhendisligi,3,3.0-4.0,0,kirkkonaklar anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,haci omer tarman anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
mimarlik,2,2.5-3.0,0,milli piyango anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
ekonomi,4,2.5-3.0,0,eyup anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
ekonomi,3,3.0-3.5,0,cagaloglu anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve kamu yonetimi,3,0.0-2.5,0,gemlik lisesi,Null,bursa,duz lise,sozel,Null,3.0-3.5,Null,Null,Null
bilgisayar ve egitim teknolojileri ogretmenligi,3,0.0-2.5,0,luleburgaz anadolu teknik lisesi,Null,kirklareli,meslek lisesi,bilisim teknolojileri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,0,ozel bilkent lisesi,Null,ankara,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
televizyon haberciligi ve programciligi,2,3.0-3.5,0,acik ogretim lisesi,Null,aydin,duz lise,sozel,Null,3.0-4.0,Null,Null,Null
ingiliz dili veedebiyati,3,0.0-2.5,0,tekirdag anadolu lisesi,Null,tekirdag,anadolu lisesi,dil,Null,3.0-4.0,Null,Null,Null
mimarlik,1,Null,0,suleyman demirel anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi isletme yonetimi,4,3.0-3.5,0,karatay lisesi,Null,Null,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
psikoloji,4,3.0-4.0,0,dundar ciloglu anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
psikoloji,2,0.0-2.5,0,ataturk anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
makine muhendisligi,2,0.0-2.5,0,sultan murat fen lisesi,Null,sivas,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mimarlik,2,2.5-3.0,0,izmir mustafa kemal lisesi,Null,izmir,duz lise,fen bilimleri,Null,3.0-3.5,Null,Null,Null
mimarlik,4,2.5-3.0,0,guzelbahce 60.yil anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
psikoloji,4,2.5-3.0,0,eti lisesi,Null,corum,duz lise,sayisal,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler psikoloji bolumu ile cift anadal,4,3.0-3.5,0,m.e.v. ozel avni akyol lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme enformatigi,3,2.5-3.0,0,bafra anadolu lisesi,Null,samsun,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
muhendislik ve doga bilimleri fakultesi,1,Null,0,ozel erkul tunagur fen lisesi,Null,kocaeli,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
malzeme bilimi ve muhendisligi,1,Null,0,kemer fatma turgut sen anadolu lisesi,Null,antalya,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,ahmet yesevi,Null,ankara,duz lise,fen bilimleri,Null,3.0-3.5,Null,Null,Null
psikoloji,2,0.0-2.5,0,namik kemal anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
mutercim tercumanlik,3,0.0-2.5,0,glendale high school,Null,Null,duz lise,Null,Null,3.0-3.5,Null,Null,Null
hukuk,1,2.5-3.0,0,izmir fen lisesi,Null,izmir,fen lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
yonetim bilisim sistemleri ve yazilim muhendisligi,4,3.0-3.5,0,bakirkoy lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme-ekonomi,1,Null,0,karadeniz eregli anadolu lisesi,Null,zonguldak,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
iktisat,4,3.0-4.0,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme. uluslararasi ticaret ve lojistik cap,3,3.0-4.0,0,75. yil anadolu lisesi,Null,adana,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme bilgi yonetimi,3,3.0-4.0,0,sincan fatih anadolu lisesi,Null,ankara,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
uluslararasi girisimcilik,3,2.5-3.0,0,mustafa hakan guvencer anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,1,Null,0,adem tolunay anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve isletmecilik,3,3.0-3.5,0,figen sakallioglu anadolu lisesi,Null,sakarya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,hazirlik,Null,0,ataturk anadolu lisesi,Null,aydin,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
tip,3,3.0-3.5,0,sehzade mehmet koleji,Null,manisa,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
