Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?
1,dogu bati fikir ve dusunce klubu,1,bireysel,1,henuz bir projede yer alma sansim olmadi.,0,1,cocuklugumdan itibaren ufak tefek fikirlerle ufak tefek girisimcilik hikayelerim var.
0,Null,0,yok,0,Null,0,0,Null
1,dogu- bati fikir ve kultur toplulugu,0,yok,0,Null,0,0,Null
1,koc universitesi marketing klubu,1,kaptan,0,Null,0,1,suanda da aktif halde yurutmeye calistigim kendi girisimim
1,gorsel iletisim tasarimi kulubu,0,yok,1,"barinak gonulluleri projesi, bizim cocuklar, sokaktaki canlar",1,1,"2012 agustos ayinda tekstil sektorunde fason uretim gerceklestiren 50+ istihdam kapasiteli, yuzde 90 teknolojik altyapiya sahip bir tekstil atolyesi kurdum. diger atolyelere nazaran en buyuk farki iso-9001-2008 kalite yonetim belgesine sahip olmasi. sanirim bu acidan turkiyenin ilk tekstil atolyesi diyebilirim. ayni zamanda 2013 subat ayinda kendimize ait olan teeotto markasini yarattik ve ozellikle bati avrupa ulkelerine yuzde yuz kendi tasarimimiz olan ust giyim penye urunleri tisort, elbise vs. ihrac ettik. 2014 yilinin subat ayinda dis borclanma sebebiyle cironun tamamini net kar+ sermaye borclarin buyuk cogunlugunu kapamak icin kullandik. tekstil sektorunun en buyuk sorunu olan kalifiye personel yetersizligi yuzunden atolye suan %70 daha az istihdamla sadece kendini cevirebilecek derecede uretim yapma imkanina sahip. diger bir deyisle suan ne borc odeyebiliyor ne de kara gecirebiliyoruz. gercekten ilginc bir durum ancak bu durum yaklasik dort aydir devam ediyor. bir digeri ise solem pet market. bu girisim dogrudan evcil hayvan urunlerini piyasada yer alan urun segmentinin tamamini yuzde 80 stoklu bir sekilde internet uzerinden sattigimiz acik kaynak bir altyapi kullanan, gelistirme ekibi olan, tasarim, konsept, icerik ve projeleri olarak diger rakiplerinden siyrilmaya baslayan bir girisim. ileride bitcoinle odeme kabul etmeye yonelik calismalara basladik bile."
1,bilkent universitesi muhendislik toplulugu,0,yok,0,Null,0,0,Null
1,"cu halk danslari toplulugu , cu amator fotografcilik ve film toplulugu",0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,1,2013 yilinda bahcesehir destekli olarak kendi yaz kampi projemi gelistirdim. bu proje icin basta bahcesehir olmak uzere cesitli kurum ve kuruluslardan destek aldim
0,Null,0,yok,0,Null,0,0,Null
1,medya kulubu,0,yok,0,Null,1,1,universite bitirme projem icin bir dergi yarattim. dergi izmirdeki etkinlikleri iceren ve ucretsiz dagitila bir cep dergisi. iki haftada bir cikan derginin tum editoryal kismi ve tasarimi bana ait. tarziyla kisa surede insanlarin begenisini toplayan dergim finansal sorunlar nedeniyle artik cikmiyor.
1,felsefe klubu,1,bireysel,0,Null,1,0,Null
1,bahcesehir universitesi isletme kulubu,0,yok,0,Null,0,0,Null
1,"koc universitesi isletme kulubu, koc universitesi ekonomi kulubu, istanbul rotaract kulubu, koc universitesi gonulluleri",0,yok,0,Null,1,0,Null
1,bogazici universitesi muzik kulubu/ kultur universitesi hukuk kulubu- ataturkcu dusunce kulubu,0,yok,0,Null,1,1,2010-2011 yillari arasinda istanbul il ogrenci meclis baskanligini yuruttum ve her sene tbmm ve meb ortakligi ile yurutulen demokrasi ve okul meclisleri projesinde istanbul ilindeki tum ogrencileri tbmmde temsil ettim.ayni zamanda hukuk kulubundeki pozisyonum nedeniyle surekli olarak hukuk cevreleri arasinda calismalarimizi surdurmekteyiz.
0,Null,0,yok,0,Null,1,0,Null
1,beykent ieee,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,bau hukuk kulubu,0,yok,1,duzenli olarak buten takibinde bulunuyorum.,0,0,Null
1,"tarih kulubu,erasmus kulubu",0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,1,2238 tubitak2. asamave tusiad bu genclikte is var yarismalarina katildim
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,atilim universitesi iesc kulubu,1,bireysel,0,Null,1,1,girisimcilik seminerleri ve egitimleri organize ettim
0,Null,0,yok,1,lets do it;cevre temizligi,1,0,Null
1,toplumsal duyarlilik projeleri klubu tdp,0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,uskudar universitesi psikoloji kulubu/ uu girisimcilik ve ab kulubu/ uu mentorluk kulubu/,0,yok,1,oyun benim ilacim projesi,1,1,kuruculugunu yaptigim girisimcilik ve ab kulubu ve psikoloji kulubunde aktif rol almaktayim.
1,"turkiye psikologlar dernegi, izmir ekonomi universitesi isletme klubu, izmir ekonomi universitesi halkla iliskiler klubu",0,yok,1,dernege katilimim yeni gerceklestigi icin bir projeye katilma firsatim bulunmamistir.,1,0,Null
1,insaat muhendisligi kulubu,0,yok,1,"future talks, young futurist shuffle ve bu sene ilk kez duzenlenen her 1 mayisi gelecek gunu ilan eden 1 mayis gelecek gunu.",1,1,"turkiyede bulunmayan bazi farkli urunlerin bavul ticareti yapanlarla anlasarak, turkiyeye donerken getirip musteriye ulasmasini sagladigim bir proje yapmistik."
1,beykent universitesi endustri muhendisligi klubu,0,yok,0,Null,0,0,Null
1,istanbul kultur universitesi ieee ogrenci kulubu,0,kaptan,0,Null,1,0,Null
0,Null,0,yok,1,doga ve cevre ile ilgili bircok kamp ve calisma,0,1,"toptan olarak aldigim dilek balonlarini, arkadaslarima satis primi vererek toplu etkinliklerde satisini organize ediyorum."
0,Null,0,yok,0,Null,1,1,snitchmobil uygulama adinda bir girisimimiz var. tamami ogrenci yada yeni mezunlardan olusan bir ekibiz.
0,"uluslararasi iliskiler calistayi, siyaset klubu",0,yok,0,Null,0,0,Null
1,"make a wish turkiye, yeditepe universitesi ieee, edebiyat, biyoteknoloji topluluklari.",0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,iau genc liderler kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,universiteli bursasporlular dernegi,0,bireysel,1,"kan bagisi ile ilgili proje ve etkinliklerde, katilimci, donor ve gozlemci olarak rol almaktayim.",1,0,Null
1,kariyer kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,1,"1-izmir balgoc facebook grubunda dernek uyelerini balkanbulgaristan,yunanistan,makedonya,kosova,bosna hersek,sirbistan haberleri paylasimigonullu olarak 2-izmir balgoc uyesi birlik beraberlik yemegi,konser,1989 bulgaristan buyuk gocunu anma torenlerine katilim 3-izmir balgoc izmir disindaki kardes derneklerin faliyetlerine katilim",0,0,Null
0,Null,0,yok,1,"1-izmir balgoc facebook grubunda dernek uyelerini balkanbulgaristan,yunanistan,makedonya,kosova,bosna hersek,sirbistan haberleri paylasimigonullu olarak 2-izmir balgoc uyesi birlik beraberlik yemegi,konser,1989 bulgaristan buyuk gocunu anma torenlerine katilim 3-izmir balgoc izmir disindaki kardes derneklerin faliyetlerine katilim",0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,1,bireysel,0,Null,0,0,Null
1,kutuphanecilik kulubu,0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,1,tanitim faaliyetlerinde on siralarda bulunarak organizasyonu saglamak
1,finans toplulugu,0,yok,0,Null,0,0,Null
1,psikoloji klubu,0,yok,0,Null,0,1,jci derneginin bir projesine katildim.gelecegin lider kadinlari projesi ve bu projede liderlik girisimcilikle ilgili egitimler aldim
1,sabanci universitesi munazara kulubu ile sabanci universitesi ies kulubu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,tegv,0,yok,1,hayal et projesi,1,0,Null
0,Null,0,yok,1,yuzyuze projesi,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,yonetisim ve liderlik toplulugu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"bilkent tanitim ofisi, bilkent ieee ogrenci kulubu, bilkent toplumsal duyarlilik projeleri",0,yok,1,oku dusun paylas projesi yildizlar liderlik okulu projesi,1,1,"ebru sanatiyla yakindan ilgileniyorum, 2 yil once kendimi gelistirebilmek icin ebru kursuna gidiyordum. her hafta ogrenmek uzere yaptigimiz calismalar donem sonunda birikti. bir arkadasimla birlikte bunlari degerlendirebilecegimizi dusunduk. okulun bahar senliginde ogrencilere stant acma hakki taniniyordu, biz de yaptigimiz calismalari ufak degisikliklerle orada sattik. cince bilen bir arkadasimizdan calismalarin uzerine yazi yazmasini istedik, bazi ebru calismalarini kitap ayraci haline getirdik ve stantta insanlara ebru sanatini deneme firsati sunduk. farkli urunler sundugumuz icin, bahar senliginin en ilgi cekici stantlarindan biri olduk. para kazanmanin otesinde, kendi kendine sifirdan bir fikir yaratmanin bunu uygulamaya koymanin hazzini yasama firsati buldum."
1,yeditepe universitesi halkla iliskiler vetanitim kulubu,0,yok,1,morcatida gonulluolarak staj yapiyorum.,0,0,Null
1,"uluslararasi ticaret klubu , amator film ve fotografcilik kulubu",0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,young ceo club,0,yok,0,Null,1,1,daha once organik cilek uretimi ve pazarlanmasiyla alakali 3 yil surdurdugum bir girisimcilik deneyimim oldu. startupweekend antalyada ise sanal is kurma fikriyle bir internet sitesi hazirliyoruz: e-mentee.co
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,1,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,girisimci inovatif liderler takimi,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,bireysel,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,ogrenci bilisel arastirma ve saglik kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"bilkent hukuk calismalari kulubunde baskan yardimciligi, bilkent toplumsal duyarlilik projelerinde kulup uyeligi, losev gonullulugu",0,yok,1,"korkmuyorum basaracagiz, haydi bir tugla da sen koy",1,1,bir arkadasimla ortak olarak bahcelievlerde bir cupcake firmasinin franchisei olduk. hesaplayamadigimiz dis dinamikler sonucu yeterince kar birakmadigini anladigimizda devrettik.
1,yasar universitesi lojistik klubu,0,yok,0,Null,1,1,universite arkadasim ile birlikte bir organizasyon sirketi kurmayi amacladik. hali hazirda bulunmaktadir
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
1,koc universitesi dagcilik kulubu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,1,girisimcilik ile ilgili bir cok degisik egitim kurumunda almis oldugum egitimler var
1,bahcesehir universitesi ceit kulubu,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,okan universitesi sosyal farkindalik toplulugu,0,yok,1,kan bagisi,1,1,okan universitesi sosyal girisimcilik ve microfinans merkezinde calisan ogrenci olarak bulunmaktayim
1,"girisimcilik, isletme",0,yok,0,Null,1,1,girisimci yonum sayesinde ve calismalarim sonucu gecen sene almanya bremen sehrinde 3 aylik ersmus staj programina katildim.
0,Null,1,bireysel,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,1,okulumun tanitim ekibinde aktif olarak gorev almaktayim.
1,tuzla rotaract klubu,0,yok,1,kelebek festivali kimsesiz cocuklar icin fotografcilik egitimi tuzla rotaractin ramazan paketi,1,1,girisimcilik ve liderdik egitimine katildim. cesitli seminer ve konferanslarda bulundum
0,Null,0,yok,0,Null,1,1,ozel egitimler
1,iaeste yediepe baskan yardimciligi ve mimarlik toplulugu etkinlik yoneticisi,0,yok,0,Null,1,1,"sosyal girisimcilik olarak cok kucuk ya da kendime gore cok buyuk diyebilecegim girisimlerim oldu. bunlarin en onemlisi yeditepe iaeste toplulugunun 2012 senesinde kapanmak uzere bir kulupken yeni bir yonetim kurup kulubu devralmak ve sonucunda da 2 sene icerinde yeditepe universitesi aktif kulupleri arasinda girmek ve artik neredeyse butcesi en fazla kuluplerden biri olmak ve iki senedir de bu kulubun baskan yardimciligini yurutmek. onun disinda okuldan bagimsiz olarak katilim ucretini karsilayamayacagim kadar yuksek olan swiss otelde uluslararasi bir konferansa ucret odemeden katilmak icin ugrastim ve katildim. orada sans eseri tanistigim bir insaat muhendisi sayesinde kendime dunyanin en buyuk muhendislik sirketlerinden birinde staj ayarlama olanagi buldum cok sansli biri olduguma her zaman inanirim ve gene sayesinde rotaract ve cedbik dernegine dahil oldum. surekli aktif degilim ama baglarim hala devam ediyor. hatta bu sayede rotaract atasehir, jsi atasehir ve iaeste yeditepe ortakligiyla basarili bir konferans duzenledik."
0,Null,0,yok,0,Null,0,0,Null
1,yeditepe universitesi uluslararasi iliskiler kulubu,0,yok,0,Null,0,0,Null
1,halic universitesi isletme enformatigi kulubu,0,yok,0,Null,1,0,Null
1,"munazara klubu, endustri muhendisleri toplulugu, fotografcilik klubu",0,yok,1,ezber bozanlar konferansi,1,0,Null
1,cankaya universitesi ekonomi toplulugu,0,yok,1,programlama cocuk oyuncagi,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,1,bu projede yer almak cok isterim.
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,1,"etkinlikler, organizasyonlar",1,0,Null
1,istanbul bilgi universitesi dans klubu,0,yok,0,Null,0,0,Null
1,"estiem, operational research kulubu, bilkent resim kulubu, bilkent cevre ve ekoloji toplulugu",0,yok,0,Null,1,0,Null
1,fotografcilik kulubu ve adana sualti sporlari ihtisas,1,kaptan,0,Null,0,1,cevremde gizli ihtiyac olarak gordugum bazi seyleri uretildikleri yerden ya da toptancisindan alarak al sat yaptim. kazandigim parayla profesyonel fotograf makinesi edindim.
1,bilkentli kartallar,0,yok,0,Null,0,0,Null
1,uluslararasi girisimciler toplulugu ugit,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,yeditepe university management club,1,kaptan,0,Null,1,1,girisimcilikte fark yaratanlar konferansina katilmistim.
1,aydin genclik spor,1,bireysel,0,Null,0,0,Null
1,bilimsel arastirmalar toplulugu,0,yok,0,Null,1,1,klup olarak yaptigimiz faliyetler dogrultusunda liseli ogrencilere universite icinde 1 aylik tip egitimi sunduk.bunun neticesi olarak onlara sertifika verdik.boylece onlarin dogru karar verebilmesi adina tip fakultesinde zaman gecirme imkani sagladik.
1,"turkiye ieee elektrik-elektronik muhendisligi enstitusu , emo elektrik muhendisleri odasi",1,bireysel,0,Null,1,1,ogrenci-sanayi isbirligi cercevesinde gelistirilen robot tasarimi
0,Null,0,yok,0,Null,0,0,Null
1,"yeditepe universitesi dogal afetlerde arama kurtarma klubu, yeditepe universitesi su alti toplulugu, izmir su alti toplulugu",1,bireysel,1,2011 van depreminde aktif gorev aldim ve iki kisiyi enkaz altindan kurtardik.,1,1,"bir organizasyon sitesi kurdum ve bazi turnuvalar duzenledim go-kart,paintball,vs.."
1,radyo kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,izmir ekonomi universitesi uluslararasi iliskiler ve ab klubu,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,toplumsal duyarlilik projesi,0,yok,0,Null,1,0,Null
1,"genc zihinler fikir atolyesi, izmir gencli diyalogu dernegi izmir ekonomi universitesi okul baskanlgi",0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,gedintrade gediz international trade,0,yok,0,Null,0,0,Null
1,"uluslararasi ticaret kulubu,girisimcilik kulubu",0,yok,0,Null,1,0,Null
0,Null,1,bireysel,0,Null,0,0,Null
1,bilkent universitesi operational research kulubu,1,bireysel,1,"yga atolyelerinde, dezavantajli bolge okullarinda okuyan ilkogretim ogrencilerine liderlik yaptigimiz bir projede yer aldim.",1,0,Null
0,Null,1,bireysel,0,Null,1,0,Null
1,"kimya muhendisligi kulubu, bric kulubu, dagcilik kulubu",0,yok,0,Null,1,1,kardesimle beraber yurt disindan ozellikle uzak dogu bolgesinden cesitli urunler getirtip dukkanlara satma gibi girisimlerimiz oldu. ayrica internetteki firsat sitelerinden yararlanip bunlar para kazanmak gibi organizasyonlarda bulunduk.
0,Null,1,bireysel,0,Null,1,1,kayseride bulunmayan yeni bir urunu istanbul ve cinden getirtip pazarladim
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,1,incik boncuk satmaya calismak
1,munazara kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"bisiklet kulubu, bilim toplulugu",0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,1,kan verme etkinlilleri,1,1,kucuk capli alim satim
1,koc universitesi girisimcilik kulubu baskani,0,yok,1,"degisimin genclerden, genclerin icinden de yeni nesil liderlik anlayisiyla yetisen liderlerle mumkun olabilecegi anlayisina sahip dernegin projelerinin hepsinin hazirlanis, kurgu execution her bolumunde rol alinmistir. yenibirlider dernegi gelisen turkiyenin liderleri ve gencleri projesiyle cikis yapmistir. universite ogrencilerini hedefleyen cikis projesinde 12 onemli is insani ve onlarin sirketleriyle isbirligi yapilmistir. hurriyet gazetesinde yayinlanan roportajlar, universitelerde konferanslar mustafa koc, ali sabanci, 3000 basvuru arasindan 125 ogrenciye 12 kurumda staj yurticiyurtdisi, capital dergisiyle ortak kitapcik etaplariyla proje tamamlanmistir. gectigimiz yaz yeni donem kurgulanma donemine girilmistir, 3 ayin sonunda surdurulebilir bir liderlik ekosistemi ortaya cikmistir. universite ogrencileri ve genc profesyoneller olarak kitle ikiye ayrilmis, ikisine de ozgun programlar tasarlanmistir. su anda bu projeler hayata gecmistir, surdurulmektedir. senior leaders development program, turkiyenin onde gelen kurumsal firmalarindan ileride yonetici olma potansiyeline sahip 25-35 yas arasi genc profesyoneller icin hazirlanmis icinde mentorluk, kocluk, egitimler, grup calismalari bulunduran bir programdir. programda koc holding, sabanci holding, ernstyoung, esas holding, alarko holding, odebank, isbankasi, abdiibrahim gibi 20 kurumsal uyenin temsilcileri bulunmaktadir. young leaders development program yuksek potansiyelli universite ogrencilerini, mentorluk, liderlik kampi, staj programi, proje calismalari gibi aktiviteler sundugu bir programda bir araya getirir. cikis projemiz, sldp, yldp programlarimiz medyada ses getirmistir hurriyet, haberturk, dunya gazetesi, fortune capital ekonomist platin dergilerinde yer almistir. suradan ulasabilirsiniz: http://www.yenibirlider.com/medya-basin.aspx",1,1,"yenibirlider derneginin bir sosyal girisim ornegidir. kurulus oncesi kurulusu isleyisi bir girisimcilik deneyimi olmustur, dogru takimi kurma, temel ihtiyaclari dogru tespit etme, sorunlara doyurucu,yerinde cozumler gelistirme ve bunlari hayata gecirme, sahaya inme urunu musteriye satma, herseyiyle tecrube olmustur, olmaya devam etmektedir. 6 aydir bir ticari girisim projesi uzerine calisilmaktadir. turkiyenin onemli gruplarindan birinin destegi alinmistir, televizyon, dijital pazarlama, kisisellestirme ve musteri engagementi, interaksiyonu uzerinedir. isbirligi yapilan gruplarin hassasiyeti sebebiyle bu kadar bilgi verilebilinmektedir."
1,"denizlik kulubu,boru trampet kulubu,yelken kulubu,maket kulubu",0,yok,0,Null,1,1,yukarida belirttigim gibi ogrenci konsey baskanligi yaptim ve bircok girisimde bulunarak okulumuzdaki bazi seyleri degistirdik bu okulumuza bir takim kulubler kazandirkik ve olumlu ilerlemeler kaydettik.
1,bilgili girisimciler,1,kaptan,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,young ceo club - kurucu baskan,0,yok,1,kardesimin dilegi - mardin kardesimin dilegi - van dun ile bugun elele,1,1,"aktif olarak girisimcilik ile ilgili organizasyonlara katilmanin yaninda, universitemizde iki arkadasim ile beraber kendi sirketimizi kurup bir magaza acmaktayiz. bunun yaninda universitemiz ogrencilerine hazirlamakta oldugumuz bir indirim karti projemizde bulunmaktadir. bunlarin yaninda lise hayatimda da degisik girisimcilik faaliyetlerinde bulundum."
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,ieee,1,bireysel,0,Null,1,1,okulumda bir klube uyeyim ve bu klubun ana uyelerinden biriyim bugune kadarda girisimcilik adina bir cok fikir sundum okuluma ve hepside gerceklestirildi. kendime guveniyorum.
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
