index2,Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Kardes Sayisi
146,2014,57.0,erkek,1993/06/06,ankara,ankara,Null
147,2014,28.0,erkek,1995/10/01,aydin,istanbul,1
148,2014,28.0,kadin,1989/02/20,bursa,ankara,1
149,2014,63.0,kadin,1995/03/02,erzurum,istanbul,Null
150,2014,36.0,erkek,1991/06/05,antalya,Null,2
151,2014,53.0,kadin,1993/07/20,manisa,istanbul,0
152,2014,37.0,kadin,1993/09/18,elazig,antalya,1
153,2014,54.0,kadin,1994/09/15,sivas,istanbul,4
154,2014,34.0,kadin,1991/03/02,izmir,izmir,2
155,2014,50.0,kadin,1992/02/16,izmir,istanbul,1
156,2014,14.0,erkek,1992/12/11,corum,istanbul,2
157,2014,41.0,kadin,1992/06/08,izmir,istanbul,1
158,2014,49.0,kadin,1993/07/01,Null,Null,2
159,2014,44.0,erkek,1995/06/03,sakarya,kocaeli,2
160,2014,50.0,kadin,1995/07/17,antalya,antalya,1
161,2014,44.0,kadin,1993/06/28,ankara,ankara,Null
162,2014,22.0,kadin,1991/08/21,ankara,Null,1
163,2014,22.0,kadin,1991/05/25,Null,izmir,1
164,2014,58.0,kadin,1995/01/01,mugla,izmir,Null
165,2014,46.0,kadin,1991/01/06,Null,istanbul,2
166,2014,33.0,kadin,1995/07/29,zonguldak,istanbul,1
167,2014,53.0,kadin,1992/09/09,kocaeli,istanbul,1
168,2014,50.0,kadin,1994/07/20,adana,istanbul,2
169,2014,43.0,kadin,1993/01/14,balikesir,istanbul,1
170,2014,48.0,kadin,1991/01/30,usak,istanbul,1
171,2014,23.0,kadin,1995/06/28,izmir,Null,1
172,2014,71.0,kadin,1993/09/03,sakarya,Null,3
173,2014,42.0,kadin,1995/04/13,Null,aydin,2
174,2014,52.0,kadin,1993/08/18,izmir,manisa,0
175,2014,48.0,kadin,1970/09/20,giresun,mugla,4
176,2014,26.0,erkek,1993/02/20,Null,Null,1
177,2014,63.0,erkek,1992/09/11,izmir,istanbul,1
178,2014,26.0,erkek,1995/02/15,Null,antalya,0
179,2014,8.0,erkek,1993/03/19,malatya,istanbul,1
180,2014,30.0,erkek,1994/03/06,izmir,izmir,1
181,2014,24.0,erkek,1994/01/22,istanbul,istanbul,Null
182,2014,46.0,kadin,1992/09/28,Null,istanbul,1
183,2014,36.0,kadin,1994/11/18,tekirdag,Null,0
184,2014,51.0,kadin,1992/12/21,istanbul,istanbul,Null
185,2014,40.0,kadin,1994/04/08,tokat,izmir,2
186,2014,43.0,kadin,1993/08/04,zonguldak,zonguldak,2
187,2014,36.0,kadin,1994/05/22,mugla,erzurum,1
188,2014,98.0,kadin,1994/06/13,ankara,ankara,1
189,2014,36.0,erkek,1995/07/03,canakkale,mersin,1
190,2014,42.0,erkek,1991/11/28,Null,Null,3
191,2014,28.0,erkek,1995/08/10,kayseri,Null,1
192,2014,12.0,erkek,1991/10/20,bursa,ankara,2
193,2014,26.0,erkek,1994/02/10,eskisehir,istanbul,3
194,2014,24.0,erkek,1994/03/22,tokat,istanbul,1
195,2014,18.0,erkek,1993/12/30,istanbul,Null,3
196,2014,20.0,erkek,1993/01/01,istanbul,istanbul,5
197,2014,58.0,erkek,1993/05/26,ankara,istanbul,2
198,2014,23.0,erkek,1993/02/05,sanliurfa,istanbul,Null
199,2014,28.0,erkek,1994/09/25,Null,Null,4
200,2014,50.0,erkek,1992/08/05,Null,istanbul,1
201,2014,42.0,erkek,1993/05/14,kastamonu,istanbul,3
202,2014,48.0,erkek,1970/01/01,mersin,Null,1
203,2014,31.0,kadin,1992/10/08,diyarbakir,ankara,1
204,2014,16.0,erkek,1991/03/21,karabuk,istanbul,3
205,2014,21.0,erkek,1992/10/05,istanbul,istanbul,4
206,2014,26.0,erkek,1992/02/11,adana,istanbul,Null
207,2014,58.0,erkek,1994/01/28,istanbul,istanbul,2
208,2014,34.0,kadin,1995/11/24,ankara,ankara,3
209,2014,29.0,kadin,1992/01/30,ankara,ankara,3
210,2014,52.0,kadin,1993/08/29,kayseri,kayseri,2
211,2014,22.0,kadin,1992/09/11,Null,istanbul,1
212,2014,22.0,kadin,1993/09/19,antalya,antalya,Null
213,2014,66.0,kadin,1993/08/24,mersin,Null,1
214,2014,42.0,kadin,1994/10/12,antalya,istanbul,1
215,2014,23.0,kadin,1995/12/22,malatya,istanbul,5
216,2014,71.0,kadin,1994/03/21,Null,Null,Null
217,2014,54.0,kadin,1994/09/08,konya,istanbul,3
218,2014,43.0,kadin,1993/09/17,ankara,istanbul,1
219,2014,31.0,erkek,1994/04/27,istanbul,Null,1
220,2014,27.0,erkek,1994/12/19,Null,istanbul,2
221,2014,44.0,kadin,1991/10/28,Null,istanbul,1
222,2014,58.0,kadin,1993/06/11,edirne,istanbul,1
223,2014,36.0,erkek,1990/08/02,Null,Null,2
224,2014,18.0,erkek,1992/07/10,malatya,bursa,8
225,2014,22.0,erkek,1994/06/27,Null,istanbul,1
226,2014,34.0,erkek,1994/10/01,adana,Null,3
227,2014,51.0,erkek,1992/07/07,ankara,ankara,Null
228,2014,42.0,erkek,1990/09/02,Null,istanbul,1
229,2014,28.0,kadin,1993/12/21,Null,istanbul,Null
230,2014,28.0,kadin,1991/04/18,Null,istanbul,3
231,2014,28.0,erkek,1993/07/26,istanbul,istanbul,2
232,2014,50.0,erkek,1991/11/20,hakkari,Null,6
233,2014,16.0,erkek,1992/03/14,Null,Null,2
234,2014,20.0,erkek,1994/06/09,sanliurfa,bursa,6
235,2014,33.0,kadin,1992/02/09,istanbul,istanbul,3
236,2014,43.0,kadin,1992/09/27,denizli,denizli,3
237,2014,30.0,erkek,1994/02/02,agri,istanbul,2
238,2014,21.0,erkek,1994/06/01,Null,batman,11
239,2014,52.0,kadin,1993/02/05,istanbul,istanbul,1
240,2014,10.0,erkek,1995/07/24,malatya,istanbul,2
241,2014,44.0,erkek,1992/01/22,Null,gaziantep,2
242,2014,34.0,erkek,1993/04/13,karabuk,istanbul,2
243,2014,39.0,kadin,1991/10/28,ankara,ankara,1
244,2014,68.0,kadin,1992/07/27,trabzon,istanbul,3
245,2014,24.0,kadin,1994/11/25,kocaeli,istanbul,2
246,2014,54.0,kadin,1993/04/23,Null,istanbul,2
247,2014,61.0,kadin,1993/08/11,mersin,istanbul,1
248,2014,30.0,kadin,1994/08/01,Null,Null,0
249,2014,30.0,kadin,1993/03/28,kirikkale,Null,2
250,2014,28.0,kadin,1995/04/25,malatya,istanbul,2
251,2014,62.0,kadin,1991/01/09,Null,izmir,2
252,2014,46.0,kadin,1992/08/21,kayseri,istanbul,1
253,2014,22.0,erkek,1992/11/21,izmir,Null,1
254,2014,44.0,kadin,1992/09/05,izmir,izmir,0
255,2014,14.0,erkek,1992/04/21,kirklareli,kirklareli,1
256,2014,27.0,erkek,1991/02/21,Null,istanbul,4
257,2014,32.0,erkek,1993/07/23,balikesir,Null,3
258,2014,24.0,erkek,1992/08/24,konya,istanbul,2
259,2014,36.0,erkek,1990/06/25,istanbul,Null,1
260,2014,51.0,kadin,1993/08/28,izmir,aydin,2
261,2014,34.0,kadin,1991/06/17,ankara,istanbul,2
262,2014,44.0,kadin,1993/07/18,Null,istanbul,1
263,2014,85.0,kadin,1993/02/21,Null,ankara,1
264,2014,54.0,kadin,1992/10/07,izmir,izmir,2
265,2014,42.0,kadin,1992/08/20,izmir,Null,0
266,2014,59.0,kadin,1992/09/19,istanbul,istanbul,Null
267,2014,45.0,kadin,1992/06/20,bursa,istanbul,2
268,2014,36.0,kadin,1994/11/23,karabuk,istanbul,3
269,2014,26.0,kadin,1993/05/21,Null,istanbul,2
270,2014,43.0,kadin,1995/05/20,kocaeli,kocaeli,1
271,2014,67.0,kadin,1992/08/30,istanbul,istanbul,1
272,2014,56.0,kadin,1990/11/16,samsun,mersin,3
273,2014,62.0,kadin,1992/07/07,bursa,istanbul,2
274,2014,47.0,kadin,1994/02/05,zonguldak,istanbul,1
275,2014,78.0,kadin,1993/01/07,konya,istanbul,2
276,2014,47.0,kadin,1991/01/01,mugla,istanbul,1
277,2014,28.0,kadin,1994/03/19,kayseri,kayseri,3
278,2014,54.0,kadin,1991/05/19,sivas,istanbul,1
279,2014,34.0,erkek,1991/07/01,Null,istanbul,Null
280,2014,22.0,erkek,1990/01/05,Null,Null,Null
281,2014,22.0,kadin,1993/09/05,Null,Null,2
282,2014,19.0,erkek,1993/01/23,manisa,istanbul,2
283,2014,32.0,erkek,1992/06/20,sakarya,istanbul,3
284,2014,42.0,erkek,1986/11/30,Null,kocaeli,2
285,2014,50.0,erkek,1992/02/14,eskisehir,istanbul,Null
286,2014,24.0,erkek,1995/09/10,adana,adana,Null
287,2014,46.0,kadin,1993/01/22,Null,Null,1
288,2014,41.0,erkek,1992/07/21,kahramanmaras,Null,4
289,2014,34.0,kadin,1994/11/15,istanbul,istanbul,4
290,2014,24.0,erkek,1992/03/13,istanbul,istanbul,0
291,2014,33.0,erkek,1991/02/25,ankara,istanbul,1
292,2014,12.0,erkek,1991/03/03,ankara,ankara,2
293,2014,34.0,erkek,1991/06/27,nevsehir,Null,0
294,2014,34.0,erkek,1995/08/24,kirikkale,istanbul,1
295,2014,40.0,kadin,1993/04/17,kayseri,kayseri,2
296,2014,30.0,kadin,1992/10/07,balikesir,balikesir,1
297,2014,18.0,kadin,1994/04/07,mugla,istanbul,1
298,2014,41.0,kadin,1994/01/15,Null,Null,Null
299,2014,44.0,kadin,1993/03/21,antalya,antalya,1
300,2014,43.0,erkek,1992/06/09,isparta,Null,Null
301,2014,18.0,erkek,1995/10/25,istanbul,istanbul,1
302,2014,52.0,erkek,1994/10/12,ankara,antalya,2
303,2014,13.0,erkek,1994/06/18,istanbul,istanbul,6
304,2014,20.0,erkek,1994/07/10,sanliurfa,sanliurfa,4
305,2014,26.0,erkek,1995/10/27,Null,istanbul,1
306,2014,32.0,erkek,1992/01/21,istanbul,Null,Null
307,2014,54.0,erkek,1992/03/03,karaman,Null,1
308,2014,40.0,kadin,1995/04/05,edirne,istanbul,1
309,2014,34.0,kadin,1994/06/07,erzincan,Null,2
310,2014,50.0,kadin,1993/04/13,ankara,Null,4
311,2014,38.0,kadin,1995/08/05,kilis,izmir,2
312,2014,40.0,kadin,1993/09/19,Null,istanbul,2
313,2014,48.0,kadin,1995/12/28,Null,aydin,1
314,2014,21.0,erkek,1993/10/06,ankara,istanbul,4
315,2014,28.0,erkek,1994/01/01,antalya,antalya,1
316,2014,40.0,erkek,1992/01/01,diyarbakir,izmir,3
317,2014,18.0,erkek,1988/08/06,Null,Null,1
318,2014,44.0,erkek,1991/10/07,mersin,istanbul,2
319,2014,26.0,erkek,1994/10/25,istanbul,ankara,1
320,2014,52.0,erkek,1993/11/23,sakarya,sakarya,1
321,2014,38.0,erkek,1992/01/05,kirikkale,istanbul,2
322,2014,28.0,erkek,1993/09/16,usak,Null,1
323,2014,26.0,erkek,1990/06/26,izmir,Null,3
324,2014,13.0,erkek,1995/04/14,mersin,mersin,1
325,2014,32.0,erkek,1994/08/02,Null,antalya,5
326,2014,20.0,kadin,1994/02/05,Null,Null,3
327,2014,12.0,erkek,1992/01/28,batman,istanbul,6
328,2014,40.0,erkek,1992/06/13,kayseri,kayseri,Null
329,2014,28.0,kadin,1994/08/01,istanbul,istanbul,1
330,2014,71.0,erkek,1991/01/04,istanbul,istanbul,2
331,2014,14.0,erkek,1993/10/09,istanbul,istanbul,1
332,2014,41.0,erkek,1991/02/05,Null,istanbul,3
333,2014,30.0,erkek,1992/08/18,mersin,istanbul,Null
334,2014,48.0,erkek,1993/10/27,kayseri,Null,2
335,2014,38.0,erkek,1992/09/12,izmir,izmir,0
336,2014,50.0,erkek,1992/07/23,osmaniye,ankara,2
337,2014,20.0,erkek,1994/08/14,nevsehir,Null,3
338,2014,48.0,erkek,1994/08/12,manisa,istanbul,3
339,2014,70.0,erkek,1986/01/19,kayseri,istanbul,2
340,2014,34.0,erkek,1993/06/10,tokat,istanbul,1
341,2014,33.0,erkek,1993/08/14,diyarbakir,istanbul,9
342,2014,24.0,erkek,1994/10/09,ankara,Null,1
343,2014,43.0,erkek,1991/06/22,Null,istanbul,1
344,2014,53.0,erkek,1994/09/17,antalya,antalya,2
345,2014,27.0,erkek,1994/10/24,malatya,istanbul,2
346,2014,42.0,kadin,1993/09/07,gaziantep,Null,2
347,2014,52.0,kadin,1993/08/01,Null,Null,0
348,2014,33.0,kadin,1995/03/03,bursa,istanbul,Null
349,2014,18.0,erkek,1995/08/16,Null,Null,4
350,2014,24.0,erkek,1991/10/12,istanbul,istanbul,1
351,2014,41.0,kadin,1992/01/05,sivas,izmir,3
352,2014,20.0,kadin,1995/11/12,istanbul,istanbul,2
353,2014,44.0,kadin,1995/07/20,balikesir,balikesir,3
354,2014,22.0,kadin,1993/07/16,Null,izmir,0
355,2014,40.0,kadin,1992/02/01,denizli,istanbul,4
356,2014,60.0,kadin,1993/11/29,konya,konya,3
357,2014,26.0,kadin,1994/09/13,istanbul,istanbul,2
358,2014,26.0,kadin,1992/06/16,Null,antalya,2
359,2014,26.0,kadin,1994/12/20,izmir,izmir,2
360,2014,32.0,kadin,1994/01/08,sakarya,istanbul,Null
361,2014,18.0,kadin,1994/01/17,adana,adana,1
362,2014,38.0,kadin,1992/01/07,istanbul,Null,0
363,2014,90.0,kadin,1993/08/01,denizli,Null,0
364,2014,42.0,erkek,1992/01/13,Null,istanbul,2
365,2014,24.0,erkek,1994/03/18,nevsehir,nevsehir,Null
366,2014,8.0,erkek,1986/01/13,corum,istanbul,Null
367,2014,36.0,erkek,1987/01/12,mardin,istanbul,3
368,2014,34.0,kadin,1995/08/20,kayseri,istanbul,2
369,2014,47.0,erkek,1992/07/13,adana,Null,1
370,2014,26.0,erkek,1994/10/06,Null,konya,1
371,2014,40.0,erkek,1995/03/01,konya,istanbul,Null
372,2014,52.0,erkek,1992/05/11,balikesir,izmir,1
373,2014,38.0,kadin,1991/10/19,erzincan,izmir,1
374,2014,36.0,kadin,1992/10/13,bolu,istanbul,1
375,2014,42.0,erkek,1994/11/13,Null,ankara,2
376,2014,30.0,erkek,1993/06/13,agri,bursa,3
377,2014,20.0,erkek,1992/06/15,gaziantep,istanbul,6
378,2014,22.0,erkek,1989/05/26,Null,istanbul,1
379,2014,12.0,erkek,1993/04/23,tokat,istanbul,5
380,2014,8.0,erkek,1995/12/18,Null,gaziantep,7
381,2014,50.0,erkek,1992/09/01,konya,ankara,1
382,2014,20.0,erkek,1994/07/12,malatya,Null,2
383,2014,8.0,erkek,1987/11/15,osmaniye,konya,10
384,2014,31.0,erkek,1992/11/11,istanbul,Null,1
385,2014,22.0,erkek,1993/06/25,Null,istanbul,3
386,2014,72.0,kadin,1993/05/28,adana,istanbul,1
387,2014,26.0,erkek,1992/03/20,Null,kayseri,6
388,2014,38.0,erkek,1992/09/24,istanbul,istanbul,1
389,2014,39.0,erkek,1993/05/17,adana,istanbul,1
390,2014,24.0,erkek,1992/03/08,sanliurfa,gaziantep,1
391,2014,44.0,erkek,1993/01/12,Null,istanbul,6
392,2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara,0
393,2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara,0
394,2014,36.0,erkek,1993/09/16,Null,istanbul,3
395,2014,12.0,erkek,1991/01/17,bursa,istanbul,1
396,2014,32.0,erkek,1990/01/08,istanbul,istanbul,3
397,2014,43.0,erkek,1991/05/20,nigde,nigde,1
398,2014,38.0,erkek,1994/06/20,elazig,istanbul,2
399,2014,38.0,erkek,1993/08/22,malatya,istanbul,2
400,2014,43.0,erkek,1995/04/05,eskisehir,ankara,1
401,2014,22.0,erkek,1991/06/06,ankara,ankara,2
402,2014,22.0,erkek,1992/04/02,ankara,istanbul,0
403,2014,38.0,kadin,1995/07/12,rize,Null,1
404,2014,30.0,kadin,1992/04/05,ankara,istanbul,1
405,2014,22.0,erkek,1994/10/04,bursa,ankara,4
406,2014,12.0,erkek,1992/01/04,malatya,ankara,2
407,2014,30.0,kadin,1994/04/25,bursa,istanbul,3
408,2014,48.0,kadin,1994/10/27,Null,kocaeli,2
409,2014,50.0,kadin,1994/09/17,kirklareli,Null,1
410,2014,62.0,kadin,1994/04/12,ankara,ankara,1
411,2014,38.0,erkek,1993/07/02,adana,Null,3
412,2014,34.0,erkek,1993/12/14,Null,istanbul,3
413,2014,27.0,kadin,1995/06/23,kocaeli,izmir,1
414,2014,18.0,erkek,1992/10/15,Null,istanbul,3
415,2014,56.0,erkek,1994/10/01,mersin,Null,2
416,2014,18.0,erkek,1992/03/22,Null,istanbul,1
417,2014,32.0,erkek,1993/12/05,kutahya,istanbul,1
418,2014,47.0,erkek,1994/04/01,bursa,istanbul,0
419,2014,34.0,erkek,1993/02/03,istanbul,Null,3
420,2014,10.0,erkek,1994/07/22,istanbul,Null,1
421,2014,22.0,erkek,1990/01/20,kayseri,istanbul,1
422,2014,40.0,erkek,1995/03/21,nevsehir,Null,Null
423,2014,20.0,erkek,1995/06/27,kocaeli,istanbul,Null
424,2014,52.0,erkek,1992/01/16,amasya,bursa,1
425,2014,24.0,erkek,1994/10/09,manisa,manisa,5
426,2014,18.0,erkek,1995/02/23,izmir,izmir,2
427,2014,22.0,erkek,1991/12/18,Null,izmir,1
428,2014,18.0,erkek,1994/12/11,Null,Null,1
429,2014,16.0,erkek,1992/06/07,Null,istanbul,1
430,2014,34.0,erkek,1992/04/03,izmir,Null,2
431,2014,43.0,erkek,1993/10/11,Null,istanbul,1
432,2014,24.0,erkek,1995/06/11,adana,istanbul,2
433,2014,32.0,erkek,1992/08/18,aydin,istanbul,1
434,2014,77.0,kadin,1992/06/03,Null,istanbul,Null
435,2014,72.0,kadin,1992/03/08,ankara,istanbul,1
436,2014,36.0,erkek,1991/11/21,bursa,istanbul,0
437,2014,24.0,erkek,1992/06/10,malatya,gaziantep,1
438,2014,40.0,erkek,1993/02/02,samsun,istanbul,1
439,2014,41.0,kadin,1992/04/15,rize,Null,1
440,2014,48.0,kadin,1992/09/02,istanbul,istanbul,1
441,2014,33.0,kadin,1992/08/05,istanbul,istanbul,1
442,2014,50.0,kadin,1992/05/28,izmir,Null,1
443,2014,41.0,kadin,1993/01/04,Null,izmir,2
444,2014,39.0,kadin,1995/07/08,adana,istanbul,Null
445,2014,44.0,erkek,1993/04/02,mersin,Null,1
446,2014,30.0,erkek,1993/09/16,diyarbakir,istanbul,Null
447,2014,8.0,erkek,1991/03/11,istanbul,istanbul,0
448,2014,22.0,kadin,1995/04/20,ankara,izmir,0
449,2014,44.0,kadin,1995/05/22,malatya,Null,5
450,2014,58.0,kadin,1990/06/21,bursa,istanbul,1
451,2014,18.0,kadin,1992/01/01,mardin,izmir,5
