index1,index2,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
344,344,100.0,1,0,Null,Null
345,345,100.0,1,0,Null,Null
346,346,100.0,1,0,Null,Null
347,347,100.0,1,1,kordsa,200
348,348,100.0,1,0,Null,Null
349,349,100.0,0,0,Null,Null
350,350,100.0,1,0,Null,Null
351,351,100.0,0,0,Null,Null
352,352,100.0,1,0,Null,Null
353,353,100.0,1,1,koc universitesi,430
354,354,100.0,0,0,Null,Null
355,355,100.0,1,0,Null,Null
356,356,100.0,1,0,Null,Null
357,357,100.0,0,0,Null,Null
358,358,100.0,1,0,Null,Null
359,359,100.0,0,0,Null,Null
360,360,100.0,1,0,Null,Null
361,361,100.0,1,0,Null,Null
362,362,100.0,1,0,Null,Null
363,363,100.0,1,0,Null,Null
364,364,100.0,1,1,kyk,300
365,365,100.0,1,1,bilkent universitesi bursu- kyk bursu,800
366,366,100.0,1,0,Null,Null
367,367,100.0,1,0,Null,Null
368,368,100.0,1,0,Null,Null
369,369,100.0,1,0,Null,Null
370,370,100.0,1,0,Null,Null
371,371,100.0,1,0,Null,Null
372,372,100.0,1,0,Null,Null
373,373,100.0,0,0,Null,Null
374,374,100.0,1,1,kyk,300
375,375,100.0,1,1,kyk,300
376,376,100.0,1,0,Null,Null
377,377,100.0,1,0,Null,Null
378,378,100.0,1,0,Null,Null
379,379,100.0,1,0,Null,Null
380,380,100.0,1,0,Null,Null
381,381,100.0,1,0,Null,Null
382,382,100.0,1,1,sinpas gyo,250
383,383,100.0,0,0,Null,Null
384,384,100.0,1,0,Null,Null
385,385,100.0,1,1,tobb ekonomi ve teknoloji universitesi,400
386,386,100.0,1,1,tobb ekonomi ve teknoloji universitesi,400
387,387,100.0,1,0,Null,Null
388,388,100.0,1,0,Null,Null
389,389,100.0,1,0,Null,Null
390,390,100.0,1,1,kredi yutrlar krumundan geri odemesiz burs aliyorum,300
391,391,100.0,1,0,Null,Null
392,392,100.0,1,0,Null,Null
393,393,100.0,1,0,Null,Null
394,394,100.0,1,0,Null,Null
395,395,100.0,1,0,Null,Null
396,396,100.0,0,0,Null,Null
397,397,100.0,1,0,Null,Null
398,398,100.0,1,0,Null,Null
399,399,100.0,1,0,Null,Null
400,400,100.0,1,0,eti,325
401,401,100.0,1,0,Null,Null
402,402,100.0,0,0,Null,Null
403,403,100.0,1,0,Null,Null
404,404,100.0,1,0,Null,Null
405,405,100.0,1,1,kyk ustun basari bursu,900
406,406,100.0,0,0,Null,Null
407,407,100.0,1,0,Null,Null
408,408,100.0,1,1,kyk,300
409,409,100.0,1,0,Null,Null
410,410,100.0,1,0,Null,Null
411,411,100.0,1,0,Null,Null
412,412,100.0,1,1,kredi yurtlar kurumu basbakanlik kurumu,300
413,413,100.0,1,0,Null,Null
414,414,100.0,0,0,Null,Null
415,415,100.0,1,1,izmir ekonomi universitesi izmir ekonomi universitesinde tam burslu olarak okuyan tum ogrencilere verilen burs,400
416,416,100.0,1,0,Null,Null
417,417,100.0,1,0,Null,Null
418,418,100.0,1,1,istek vakfi,275
419,419,100.0,0,0,Null,Null
420,420,100.0,1,0,Null,Null
421,421,100.0,0,0,Null,Null
422,422,100.0,1,0,Null,Null
423,423,100.0,1,0,Null,Null
424,424,100.0,1,0,Null,Null
425,425,100.0,1,1,basbakanlik bursu,300
426,426,100.0,1,0,Null,Null
427,427,100.0,1,0,Null,Null
428,428,100.0,1,0,Null,Null
429,429,100.0,1,0,Null,Null
430,430,100.0,1,0,Null,Null
431,431,100.0,1,1,kyk,300
432,432,100.0,1,1,koc universitesi,600
433,433,100.0,1,1,kyk,300
434,434,100.0,1,0,Null,Null
435,435,100.0,0,0,Null,Null
436,436,100.0,1,0,Null,Null
437,437,100.0,0,0,Null,Null
438,438,100.0,1,0,Null,Null
439,439,100.0,1,0,Null,Null
440,440,100.0,1,0,Null,Null
441,441,100.0,1,0,Null,Null
442,442,100.0,1,0,Null,Null
443,443,100.0,1,0,Null,Null
444,444,100.0,1,0,Null,Null
445,445,100.0,1,0,Null,Null
446,446,100.0,1,0,Null,Null
447,447,100.0,1,0,Null,Null
448,448,100.0,0,1,isik universitesi ve kyk,800
449,449,100.0,1,1,sabanci universitesinin osym ile okula yerlesen her tam burslu ogrencisine verdigi basari bursunu aliyorum.,500
450,450,100.0,1,0,Null,Null
451,451,100.0,1,1,t.c kredi ve yurtlar kurumu,300
452,452,100.0,1,0,Null,Null
453,453,100.0,1,0,Null,Null
454,454,100.0,1,0,Null,Null
455,455,100.0,1,1,kyk,300
456,456,100.0,1,1,tobb etu,1000
457,457,100.0,1,1,basbakanlik,300
458,458,100.0,1,0,Null,Null
459,459,100.0,0,0,Null,Null
460,460,100.0,1,0,Null,Null
461,461,100.0,1,0,Null,Null
462,462,100.0,1,0,Null,Null
463,463,100.0,1,0,Null,Null
464,464,100.0,1,0,Null,Null
465,465,100.0,1,1,kyk,300
466,466,100.0,1,0,Null,Null
467,467,100.0,1,1,kyk,365
468,468,100.0,1,0,Null,Null
469,469,100.0,1,0,Null,Null
470,470,100.0,0,0,Null,Null
471,471,100.0,1,0,Null,Null
472,472,100.0,1,1,kyk,300
473,473,100.0,1,0,Null,Null
474,474,100.0,1,1,kyk ogrenim kredisi,300
475,475,100.0,1,0,Null,Null
476,476,100.0,1,0,Null,Null
477,477,100.0,1,1,kyk,300
478,478,100.0,0,0,Null,Null
479,479,100.0,1,0,Null,Null
480,480,100.0,0,0,Null,Null
481,481,100.0,0,0,Null,Null
482,482,100.0,1,0,Null,Null
483,483,100.0,0,0,Null,Null
484,484,100.0,1,0,Null,Null
485,485,100.0,1,0,Null,Null
486,486,100.0,1,0,Null,Null
487,487,100.0,1,0,Null,Null
488,488,100.0,1,0,Null,Null
489,489,100.0,0,0,Null,Null
490,490,100.0,0,0,Null,Null
491,491,100.0,1,0,Null,Null
492,492,100.0,1,1,kredili yurtlar kurumu kyk,300
493,493,100.0,1,0,Null,Null
494,494,100.0,1,0,Null,Null
495,495,100.0,1,1,ihsan dogramaci bilkent universitesi kapsamli burs,475
496,496,100.0,1,0,Null,Null
497,497,100.0,1,0,Null,Null
498,498,100.0,1,0,Null,Null
499,499,100.0,1,0,Null,Null
500,500,100.0,1,0,Null,Null
501,501,100.0,1,0,Null,Null
502,502,100.0,1,0,Null,Null
503,503,100.0,1,0,Null,Null
504,504,100.0,1,0,Null,Null
505,505,100.0,1,0,Null,Null
506,506,100.0,1,1,kendi universitemdentobb etu yasam katki payi adi altinda,400
507,507,100.0,1,0,Null,Null
508,508,100.0,1,0,Null,Null
509,509,100.0,1,0,Null,Null
510,510,100.0,1,0,Null,Null
511,511,100.0,1,1,basbakanlik bursu,300
512,512,100.0,1,0,Null,Null
513,513,100.0,0,0,Null,Null
514,514,100.0,1,0,Null,Null
515,515,100.0,1,1,basbakanlik bursu -devlet,300
516,516,100.0,1,0,Null,Null
517,517,100.0,1,0,Null,Null
518,518,100.0,1,0,Null,Null
519,519,100.0,1,0,Null,Null
520,520,100.0,0,0,Null,Null
521,521,100.0,1,1,bilkent universitesi,675
522,522,100.0,1,0,Null,Null
523,523,100.0,1,1,kyk,300
524,524,100.0,1,0,Null,Null
525,525,100.0,0,0,Null,Null
526,526,100.0,1,0,Null,Null
527,527,100.0,0,0,Null,Null
528,528,100.0,0,0,Null,Null
529,529,100.0,1,0,Null,Null
530,530,100.0,1,0,Null,Null
531,531,100.0,1,1,kredili yurtlar kurumukyk,300
532,532,100.0,1,0,Null,Null
533,533,100.0,1,0,Null,Null
534,534,100.0,1,0,Null,Null
535,535,100.0,1,0,Null,Null
536,536,100.0,1,0,Null,Null
537,537,100.0,1,0,Null,Null
538,538,100.0,1,1,kyk,300
539,539,100.0,1,1,kyk,300
540,540,100.0,1,0,Null,Null
541,541,100.0,1,0,Null,Null
542,542,100.0,1,0,Null,Null
543,543,100.0,0,0,Null,Null
544,544,100.0,1,0,Null,Null
545,545,100.0,0,0,Null,Null
546,546,100.0,1,0,Null,Null
547,547,100.0,1,0,Null,Null
548,548,100.0,1,0,Null,Null
549,549,100.0,1,0,Null,Null
550,550,100.0,1,1,kyk,300
551,551,100.0,1,1,devlet,300
552,552,100.0,0,0,Null,Null
553,553,100.0,0,0,Null,Null
554,554,100.0,1,0,Null,Null
555,555,100.0,1,0,Null,Null
556,556,100.0,1,0,Null,Null
557,557,100.0,1,0,Null,Null
558,558,100.0,1,0,Null,Null
559,559,100.0,1,0,Null,Null
560,560,100.0,0,0,Null,Null
561,561,100.0,1,1,obss,300
562,562,100.0,1,0,Null,Null
563,563,100.0,1,0,Null,Null
564,564,100.0,0,0,Null,Null
565,565,100.0,0,0,Null,Null
566,566,100.0,1,1,kyk,300
567,567,100.0,0,0,Null,Null
568,568,100.0,1,0,Null,Null
569,569,100.0,1,0,Null,Null
570,570,100.0,1,0,Null,Null
571,571,100.0,1,0,Null,Null
572,572,100.0,1,0,Null,Null
573,573,100.0,1,0,Null,Null
574,574,100.0,1,0,Null,Null
575,575,100.0,1,0,Null,Null
576,576,100.0,0,0,Null,Null
577,577,100.0,0,0,Null,Null
578,578,100.0,0,0,Null,Null
579,579,100.0,1,1,kyk,300
580,580,100.0,1,0,Null,Null
581,581,100.0,1,0,Null,Null
582,582,100.0,1,0,Null,Null
583,583,100.0,1,1,metin - nuran cakallikli kultu ve egitim vakfi,200
584,584,100.0,1,1,kyk kredi aliyorum.,300
585,585,100.0,0,0,Null,Null
586,586,100.0,1,0,Null,Null
587,587,100.0,1,0,Null,Null
588,588,100.0,1,1,kyk,300
589,589,100.0,1,0,Null,Null
590,590,100.0,1,0,Null,Null
591,591,100.0,1,1,kyk basari bursu ve sabanci universitesi onur bursu,700
592,592,100.0,1,0,Null,Null
593,593,100.0,1,0,Null,Null
594,594,100.0,1,0,Null,Null
595,595,100.0,0,0,Null,Null
596,596,100.0,1,0,Null,Null
597,597,100.0,1,1,yok bursu,750
598,598,100.0,0,0,Null,Null
599,599,100.0,1,0,Null,Null
600,600,100.0,0,0,Null,Null
601,601,100.0,0,0,Null,Null
602,602,100.0,1,1,devlet,300
603,603,100.0,0,0,Null,Null
604,604,100.0,1,0,Null,Null
605,605,100.0,1,0,Null,Null
606,606,100.0,1,0,Null,Null
607,607,100.0,1,1,kyk,330
608,608,100.0,1,0,Null,Null
609,609,100.0,1,0,Null,Null
610,610,100.0,0,0,Null,Null
611,611,100.0,1,1,kyk,330
612,612,100.0,1,0,Null,Null
613,613,100.0,1,0,Null,Null
614,614,100.0,1,0,Null,Null
615,615,100.0,0,0,Null,Null
616,616,100.0,0,0,Null,Null
617,617,100.0,1,0,Null,Null
618,618,100.0,1,0,Null,Null
619,619,100.0,1,0,Null,Null
620,620,100.0,1,0,Null,Null
621,621,100.0,0,0,Null,Null
622,622,100.0,1,0,Null,Null
623,623,100.0,1,0,Null,Null
624,624,100.0,1,0,Null,Null
625,625,100.0,0,0,Null,Null
626,626,100.0,1,0,Null,Null
627,627,100.0,1,0,Null,Null
628,628,100.0,1,0,Null,Null
629,629,100.0,1,0,Null,Null
630,630,100.0,1,1,universite,490
631,631,100.0,1,1,basbakanlik kredi,320
632,632,100.0,1,1,bilkent universitesi,560
633,633,100.0,1,0,Null,Null
634,634,100.0,0,0,Null,Null
635,635,100.0,1,0,Null,Null
636,636,100.0,1,0,Null,Null
637,637,100.0,1,0,Null,Null
638,638,100.0,1,0,Null,Null
639,639,100.0,1,0,Null,Null
640,640,100.0,1,0,Null,Null
641,641,100.0,1,0,Null,Null
642,642,100.0,1,0,Null,Null
643,643,100.0,1,1,uluslararasi antalya universitesi,Null
644,644,100.0,1,1,bilkent universitesiilk 500 de oldugum icin,500
645,645,100.0,1,0,Null,Null
646,646,100.0,1,0,Null,Null
647,647,100.0,1,0,Null,Null
648,648,100.0,1,1,koc universitesi anadolu bursiyerleri programi,600
649,649,100.0,1,0,Null,Null
650,650,100.0,1,0,Null,Null
651,651,100.0,1,1,kendi okulumdan egitim bursu aliyorum,430
652,652,100.0,1,0,Null,Null
653,653,100.0,1,0,bilkent universitesi,560
654,654,100.0,1,0,Null,Null
655,655,100.0,0,0,Null,Null
656,656,100.0,1,0,Null,Null
657,657,100.0,1,0,Null,Null
658,658,100.0,1,0,Null,Null
659,659,100.0,1,1,cagdas yasami destekleme dernegi,150
660,660,100.0,1,0,Null,Null
661,661,100.0,1,0,Null,Null
662,662,100.0,0,0,Null,Null
663,663,100.0,1,0,Null,Null
664,664,100.0,1,0,Null,Null
665,665,100.0,1,0,Null,Null
666,666,100.0,1,0,Null,Null
667,667,100.0,1,0,Null,Null
668,668,100.0,1,1,turkiye olimpik hazirlik merkezi universiteyide milli sporcu bursuyla tam burslu okuyorum,350
669,669,100.0,0,0,Null,Null
670,670,100.0,1,0,Null,Null
671,671,100.0,1,0,Null,Null
672,672,100.0,1,0,Null,Null
673,673,100.0,1,0,Null,Null
674,674,100.0,1,0,Null,Null
675,675,100.0,1,1,tobb ekonomi ve teknoloji universitesi,850
676,676,100.0,1,1,koc universitesinden ilk 300 bursu,600
677,677,100.0,1,0,Null,Null
678,678,100.0,1,1,istanbul ticaret odasi,300
679,679,100.0,1,1,t.c. ihsan dogramaci bilkent universitesi,720
680,680,100.0,1,0,Null,Null
681,681,100.0,1,0,Null,Null
682,682,100.0,1,0,Null,Null
683,683,100.0,1,0,Null,Null
684,684,100.0,1,0,Null,Null
685,685,100.0,1,0,Null,Null
686,686,100.0,0,0,Null,Null
687,687,100.0,1,1,kendi okulumdan basari bursu aliyorum.,400
688,688,100.0,1,0,Null,Null
689,689,100.0,1,1,sabanci universitesi,500
690,690,100.0,1,0,Null,Null
691,691,100.0,1,0,Null,Null
692,692,100.0,1,0,Null,Null
693,693,100.0,1,1,koc universitesi,475
694,694,100.0,1,0,Null,Null
695,695,100.0,0,0,Null,Null
696,696,100.0,0,0,Null,Null
697,697,100.0,1,0,Null,Null
698,698,100.0,1,0,Null,Null
699,699,100.0,1,0,Null,Null
700,700,100.0,1,0,Null,Null
701,701,100.0,1,0,Null,Null
702,702,100.0,1,0,Null,Null
703,703,100.0,1,0,Null,Null
704,704,100.0,1,0,Null,Null
705,705,100.0,0,0,Null,Null
706,706,100.0,1,0,Null,Null
