index2,Universite Adi,Universite Turu
233,istanbul sehir universitesi,ozel
234,bursa orhangazi universitesi,ozel
235,istanbul aydin universitesi,ozel
236,halic universitesi,ozel
237,istanbul aydin universitesi,ozel
238,giresun universitesi,devlet
239,kadir has universitesi,ozel
240,dogus universitesi,ozel
241,zirve universitesi,ozel
242,ihsan dogramaci bilkent,ozel
243,atilim universitesi,ozel
244,ozyegin universitesi,ozel
245,beykoz lojistik meslek,ozel
246,istanbul aydin universitesi,ozel
247,turk hava kurumu universitesi,ozel
248,yeditepe universitesi,ozel
249,okan universitesi,ozel
250,okan universitesi,ozel
251,izmir universitesi,ozel
252,tobb ekonomi ve teknoloji,ozel
253,istanbul bilgi universitesi,ozel
254,izmir ekonomi universitesi,ozel
255,bahcesehir universitesi,ozel
256,fatih universitesi,ozel
257,okan universitesi,ozel
258,uluslararasi kibris universitesi,ozel
259,ozyegin universitesi,ozel
260,izmir ekonomi universitesi,ozel
261,baskent universitesi,ozel
262,okan universitesi,ozel
263,tobb ekonomi ve teknoloji,ozel
264,izmir ekonomi universitesi,ozel
265,izmir universitesi,ozel
266,ozyegin universitesi,ozel
267,yeditepe universitesi,ozel
268,bursa orhangazi universitesi,ozel
269,isik universitesi,ozel
270,yeditepe universitesi,ozel
271,istanbul medipol universitesi,ozel
272,toros universitesi,ozel
273,istanbul bilgi universitesi,ozel
274,yeditepe universitesi,ozel
275,ihsan dogramaci bilkent,ozel
276,kadir has universitesi,ozel
277,meliksah universitesi,ozel
278,istanbul aydin universitesi,ozel
279,istanbul bilgi universitesi,ozel
280,istanbul 29 mayis universitesi,ozel
281,dogu akdeniz universitesi,ozel
282,tobb ekonomi ve teknoloji,ozel
283,ihsan dogramaci bilkent,ozel
284,istanbul aydin universitesi,ozel
285,koc universitesi,ozel
286,okan universitesi,ozel
287,ihsan dogramaci bilkent,ozel
288,ihsan dogramaci bilkent,ozel
289,yeni yuzyil universitesi,ozel
290,bahcesehir universitesi,ozel
291,istanbul kultur universitesi,ozel
292,tobb ekonomi ve teknoloji,ozel
293,cankaya universitesi,ozel
294,tobb ekonomi ve teknoloji,ozel
295,hacettepe universitesi,ozel
296,istanbul kultur universitesi,ozel
297,yeditepe universitesi,ozel
298,istanbul kemerburgaz universitesi,ozel
299,ihsan dogramaci bilkent,ozel
300,ihsan dogramaci bilkent,ozel
301,istanbul bilgi universitesi,ozel
302,uluslararasi antalya universitesi,ozel
303,bahcesehir universitesi,ozel
304,uluslararasi kibris universitesi,ozel
305,nisantasi universitesi,ozel
306,bahcesehir universitesi,ozel
307,zirve universitesi,ozel
308,yeditepe universitesi,ozel
309,yeni yuzyil universitesi,ozel
310,istanbul sehir universitesi,ozel
311,bahcesehir universitesi,ozel
312,maltepe universitesi,ozel
313,maltepe universitesi,ozel
314,tobb ekonomi ve teknoloji,ozel
315,uluslararasi antalya universitesi,ozel
316,izmir ekonomi universitesi,ozel
317,tobb ekonomi ve teknoloji,ozel
318,istanbul bilgi universitesi,ozel
319,cankaya universitesi,ozel
320,koc universitesi,ozel
321,tobb ekonomi ve teknoloji,ozel
322,ozyegin universitesi,ozel
323,dogu akdeniz universitesi,ozel
324,istanbul bilgi universitesi,ozel
325,uskudar universitesi,ozel
326,okan universitesi,ozel
327,baskent universitesi,ozel
328,nuh naci yazgan universitesi,ozel
329,atilim universitesi,ozel
330,ozyegin universitesi,ozel
331,istanbul sabahattin zaim,ozel
332,yeditepe universitesi,ozel
333,bahcesehir universitesi,ozel
334,istanbul gelisim universitesi,ozel
335,izmir ekonomi universitesi,ozel
336,ihsan dogramaci bilkent,ozel
337,istanbul arel universitesi,ozel
338,sifa universitesi,ozel
339,ozyegin universitesi,ozel
340,sabanci universitesi,ozel
341,fatih universitesi,ozel
342,turk hava kurumu universitesi,ozel
343,yeditepe universitesi,ozel
344,ozyegin universitesi,ozel
345,istanbul ticaret universitesi,ozel
346,hasan kalyoncu universitesi,ozel
347,yeni yuzyil universitesi,ozel
348,istanbul bilgi universitesi,ozel
349,istanbul kemerburgaz universitesi,ozel
350,bahcesehir universitesi,ozel
351,gediz universitesi,ozel
352,istanbul kemerburgaz universitesi,ozel
353,koc universitesi,ozel
354,izmir universitesi,ozel
355,yasar universitesi,ozel
356,fatih universitesi,ozel
357,bahcesehir universitesi,ozel
358,cankaya universitesi,ozel
359,gediz universitesi,ozel
360,gedik universitesi,ozel
361,okan universitesi,ozel
362,yeditepe universitesi,ozel
363,bogazici universitesi,ozel
364,kadir has universitesi,ozel
365,ihsan dogramaci bilkent,ozel
366,turgut ozal universitesi,ozel
367,istanbul 29 mayis universitesi,ozel
368,uskudar universitesi,ozel
369,isik universitesi,ozel
370,mevlana universitesi,ozel
371,uskudar universitesi,ozel
372,izmir universitesi,ozel
373,izmir ekonomi universitesi,ozel
374,isik universitesi,ozel
375,ihsan dogramaci bilkent,ozel
376,turgut ozal universitesi,ozel
377,isik universitesi,ozel
378,ozyegin universitesi,ozel
379,yasar universitesi,ozel
380,hasan kalyoncu universitesi,ozel
381,ihsan dogramaci bilkent,ozel
382,dogus universitesi,ozel
383,osmaniye korkut ata universitesi,devlet
384,beykent universitesi,ozel
385,tobb ekonomi ve teknoloji,ozel
386,tobb ekonomi ve teknoloji,ozel
387,meliksah universitesi,ozel
388,ihsan dogramaci bilkent,ozel
389,okan universitesi,ozel
390,hasan kalyoncu universitesi,ozel
391,istanbul aydin universitesi,ozel
392,ihsan dogramaci bilkent,ozel
393,ihsan dogramaci bilkent,ozel
394,istanbul bilgi universitesi,ozel
395,bahcesehir universitesi,ozel
396,ihsan dogramaci bilkent,ozel
397,zirve universitesi,ozel
398,tobb ekonomi ve teknoloji,ozel
399,halic universitesi,ozel
400,tobb ekonomi ve teknoloji,ozel
401,lefke avrupa universitesi,ozel
402,yeditepe universitesi,ozel
403,istanbul aydin universitesi,ozel
404,baskent universitesi,ozel
405,tobb ekonomi ve teknoloji,ozel
406,tobb ekonomi ve teknoloji,ozel
407,yeni yuzyil universitesi,ozel
408,maltepe universitesi,ozel
409,istanbul aydin universitesi,ozel
410,tobb ekonomi ve teknoloji,ozel
411,dogus universitesi,ozel
412,tobb ekonomi ve teknoloji,ozel
413,ted universitesi,ozel
414,ozyegin universitesi,ozel
415,izmir ekonomi universitesi,ozel
416,halic universitesi,ozel
417,okan universitesi,ozel
418,yeditepe universitesi,ozel
419,istanbul ticaret universitesi,ozel
420,uskudar universitesi,ozel
421,ihsan dogramaci bilkent,ozel
422,yeditepe universitesi,ozel
423,dogus universitesi,ozel
424,yeditepe universitesi,ozel
425,koc universitesi,ozel
426,izmir ekonomi universitesi,ozel
427,baskent universitesi,ozel
428,bahcesehir universitesi,ozel
429,dogu akdeniz universitesi,ozel
430,izmir ekonomi universitesi,ozel
431,istanbul sabahattin zaim,ozel
432,koc universitesi,ozel
433,bahcesehir universitesi,ozel
434,ihsan dogramaci bilkent,ozel
435,ihsan dogramaci bilkent,ozel
436,istanbul bilgi universitesi,ozel
437,hasan kalyoncu universitesi,ozel
438,istanbul sehir universitesi,ozel
439,istanbul kemerburgaz universitesi,ozel
440,dogus universitesi,ozel
441,isik universitesi,ozel
442,izmir universitesi,ozel
443,gediz universitesi,ozel
444,bahcesehir universitesi,ozel
445,ihsan dogramaci bilkent,ozel
446,kadir has universitesi,ozel
447,sabanci universitesi,ozel
448,isik universitesi,ozel
449,sabanci universitesi,ozel
450,istanbul bilgi universitesi,ozel
451,izmir universitesi,ozel
452,ihsan dogramaci bilkent,ozel
453,fatih universitesi,ozel
454,istanbul aydin universitesi,ozel
455,izmir universitesi,ozel
456,tobb ekonomi ve teknoloji,ozel
457,beykent universitesi,ozel
458,uluslararasi kibris universitesi,ozel
459,kadir has universitesi,ozel
460,orta dogu teknik universitesi,ozel
461,hasan kalyoncu universitesi,ozel
462,avrasya universitesi,ozel
463,okan universitesi,ozel
464,yeni yuzyil universitesi,ozel
465,beykent universitesi,ozel
466,istanbul kultur universitesi,ozel
467,girne amerikan universitesi,ozel
468,istanbul kemerburgaz universitesi,ozel
469,maltepe universitesi,ozel
470,izmir ekonomi universitesi,ozel
471,okan universitesi,ozel
472,baskent universitesi,ozel
473,izmir universitesi,ozel
474,yeditepe universitesi,ozel
475,ihsan dogramaci bilkent,ozel
476,yeni yuzyil universitesi,ozel
477,istanbul bilgi universitesi,ozel
478,amasya universitesi,devlet
479,kadir has universitesi,ozel
480,izmir ekonomi universitesi,ozel
481,istanbul ticaret universitesi,ozel
482,bahcesehir universitesi,ozel
483,okan universitesi,ozel
484,beykent universitesi,ozel
485,yeditepe universitesi,ozel
486,ihsan dogramaci bilkent,ozel
487,tobb ekonomi ve teknoloji,ozel
488,tobb ekonomi ve teknoloji,ozel
489,gediz universitesi,ozel
490,sabanci universitesi,ozel
491,ihsan dogramaci bilkent,ozel
492,yeni yuzyil universitesi,ozel
493,beykent universitesi,ozel
494,istanbul kultur universitesi,ozel
495,ihsan dogramaci bilkent,ozel
496,izmir ekonomi universitesi,ozel
497,bahcesehir universitesi,ozel
498,zirve universitesi,ozel
499,okan universitesi,ozel
500,sabanci universitesi,ozel
501,istanbul kultur universitesi,ozel
502,yasar universitesi,ozel
503,fatih universitesi,ozel
504,uluslararasi kibris universitesi,ozel
505,toros universitesi,ozel
506,tobb ekonomi ve teknoloji,ozel
507,meliksah universitesi,ozel
508,bahcesehir universitesi,ozel
509,cankaya universitesi,ozel
510,ihsan dogramaci bilkent,ozel
511,kadir has universitesi,ozel
512,istanbul aydin universitesi,ozel
513,uluslararasi antalya universitesi,ozel
514,istanbul sehir universitesi,ozel
515,dogus universitesi,ozel
516,istanbul bilgi universitesi,ozel
517,maltepe universitesi,ozel
518,cankaya universitesi,ozel
519,ozyegin universitesi,ozel
520,sabanci universitesi,ozel
521,ihsan dogramaci bilkent,ozel
522,okan universitesi,ozel
523,tobb ekonomi ve teknoloji,ozel
524,uluslararasi antalya universitesi,ozel
525,istanbul sabahattin zaim,ozel
526,tobb ekonomi ve teknoloji,ozel
527,tobb ekonomi ve teknoloji,ozel
528,izmir ekonomi universitesi,ozel
529,bahcesehir universitesi,ozel
530,fatih universitesi,ozel
531,istanbul bilgi universitesi,ozel
532,maltepe universitesi,ozel
533,yasar universitesi,ozel
534,yeni yuzyil universitesi,ozel
535,yeditepe universitesi,ozel
536,tobb ekonomi ve teknoloji,ozel
537,zirve universitesi,ozel
538,istanbul ticaret universitesi,ozel
539,istanbul bilgi universitesi,ozel
540,avrasya universitesi,ozel
541,istanbul aydin universitesi,ozel
542,dogus universitesi,ozel
543,tobb ekonomi ve teknoloji,ozel
544,avrasya universitesi,ozel
545,kocaeli universitesi,devlet
546,tobb ekonomi ve teknoloji,ozel
547,istanbul kemerburgaz universitesi,ozel
548,yeditepe universitesi,ozel
549,halic universitesi,ozel
550,istanbul gelisim universitesi,ozel
551,yeditepe universitesi,ozel
552,ihsan dogramaci bilkent,ozel
553,istanbul kemerburgaz universitesi,ozel
554,izmir ekonomi universitesi,ozel
555,istanbul aydin universitesi,ozel
556,yeditepe universitesi,ozel
557,isik universitesi,ozel
558,sabanci universitesi,ozel
559,ozyegin universitesi,ozel
560,yeditepe universitesi,ozel
561,ihsan dogramaci bilkent,ozel
562,istanbul arel universitesi,ozel
563,okan universitesi,ozel
564,atilim universitesi,ozel
565,izmir ekonomi universitesi,ozel
566,yeditepe universitesi,ozel
567,firat universitesi,ozel
568,tobb ekonomi ve teknoloji,ozel
569,izmir universitesi,ozel
570,zirve universitesi,ozel
571,avrasya universitesi,ozel
572,gediz universitesi,ozel
573,beykent universitesi,ozel
574,istanbul bilgi universitesi,ozel
575,yasar universitesi,ozel
576,yasar universitesi,ozel
577,beykent universitesi,ozel
578,izmir ekonomi universitesi,ozel
579,beykent universitesi,ozel
580,acibadem universitesi,ozel
581,istanbul medipol universitesi,ozel
582,ihsan dogramaci bilkent,ozel
583,yeditepe universitesi,ozel
584,istanbul sehir universitesi,ozel
585,baskent universitesi,ozel
586,tobb ekonomi ve teknoloji,ozel
587,fatih sultan mehmet vakif,ozel
588,tobb ekonomi ve teknoloji,ozel
589,gedik universitesi,ozel
590,dogu akdeniz universitesi,ozel
591,sabanci universitesi,ozel
592,turk hava kurumu universitesi,ozel
593,istanbul medipol universitesi,ozel
594,turgut ozal universitesi,ozel
595,istanbul arel universitesi,ozel
596,istanbul aydin universitesi,ozel
597,yeditepe universitesi,ozel
598,zirve universitesi,ozel
599,yeditepe universitesi,ozel
600,izmir ekonomi universitesi,ozel
601,atilim universitesi,ozel
602,istanbul arel universitesi,ozel
603,halic universitesi,ozel
604,koc universitesi,ozel
605,sifa universitesi,ozel
606,yeditepe universitesi,ozel
607,ihsan dogramaci bilkent,ozel
608,hasan kalyoncu universitesi,ozel
609,sabanci universitesi,ozel
610,tobb ekonomi ve teknoloji,ozel
611,koc universitesi,ozel
612,ozyegin universitesi,ozel
613,ozyegin universitesi,ozel
614,ozyegin universitesi,ozel
615,yeditepe universitesi,ozel
616,yasar universitesi,ozel
617,ihsan dogramaci bilkent,ozel
618,istanbul kultur universitesi,ozel
619,gediz universitesi,ozel
620,bahcesehir universitesi,ozel
621,istanbul ticaret universitesi,ozel
622,yeditepe universitesi,ozel
623,kadir has universitesi,ozel
624,beykent universitesi,ozel
625,tobb ekonomi ve teknoloji,ozel
626,bahcesehir universitesi,ozel
627,yasar universitesi,ozel
628,ihsan dogramaci bilkent,ozel
629,bahcesehir universitesi,ozel
630,ihsan dogramaci bilkent,ozel
631,zirve universitesi,ozel
632,ihsan dogramaci bilkent,ozel
633,dogus universitesi,ozel
634,ihsan dogramaci bilkent,ozel
635,ihsan dogramaci bilkent,ozel
636,sabanci universitesi,ozel
637,ozyegin universitesi,ozel
638,yeditepe universitesi,ozel
639,ozyegin universitesi,ozel
640,istanbul ticaret universitesi,ozel
641,sabanci universitesi,ozel
642,tobb ekonomi ve teknoloji,ozel
643,uluslararasi antalya universitesi,ozel
644,ihsan dogramaci bilkent,ozel
645,okan universitesi,ozel
646,suleyman sah universitesi,ozel
647,bahcesehir universitesi,ozel
648,koc universitesi,ozel
649,fatih universitesi,ozel
650,maltepe universitesi,ozel
651,izmir ekonomi universitesi,ozel
652,ted universitesi,ozel
653,ihsan dogramaci bilkent,ozel
654,yeditepe universitesi,ozel
655,acibadem universitesi,ozel
656,fatih sultan mehmet vakif,ozel
657,yeditepe universitesi,ozel
658,gediz universitesi,ozel
659,ihsan dogramaci bilkent,ozel
660,uluslararasi antalya universitesi,ozel
661,koc universitesi,ozel
662,sabanci universitesi,ozel
663,ozyegin universitesi,ozel
664,uskudar universitesi,ozel
665,istanbul bilim universitesi,ozel
666,meliksah universitesi,ozel
667,koc universitesi,ozel
668,zirve universitesi,ozel
669,yeditepe universitesi,ozel
670,zirve universitesi,ozel
671,istanbul ticaret universitesi,ozel
672,ozyegin universitesi,ozel
673,istanbul kemerburgaz universitesi,ozel
674,beykent universitesi,ozel
675,tobb ekonomi ve teknoloji,ozel
676,koc universitesi,ozel
677,istanbul ticaret universitesi,ozel
678,nisantasi universitesi,ozel
679,ihsan dogramaci bilkent,ozel
680,ozyegin universitesi,ozel
681,koc universitesi,ozel
682,nisantasi universitesi,ozel
683,bahcesehir universitesi,ozel
684,istanbul ticaret universitesi,ozel
685,hasan kalyoncu universitesi,ozel
686,cankaya universitesi,ozel
687,tobb ekonomi ve teknoloji,ozel
688,maltepe universitesi,ozel
689,sabanci universitesi,ozel
690,isik universitesi,ozel
691,okan universitesi,ozel
692,halic universitesi,ozel
693,koc universitesi,ozel
694,cankaya universitesi,ozel
695,tobb ekonomi ve teknoloji,ozel
696,tobb ekonomi ve teknoloji,ozel
697,izmir ekonomi universitesi,ozel
698,istanbul ticaret universitesi,ozel
699,tobb ekonomi ve teknoloji,ozel
700,koc universitesi,ozel
701,koc universitesi,ozel
702,ihsan dogramaci bilkent,ozel
703,ihsan dogramaci bilkent,ozel
704,avrasya universitesi,ozel
705,ihsan dogramaci bilkent,ozel
706,ozyegin universitesi,ozel
707,ihsan dogramaci bilkent,ozel
708,fatih universitesi,ozel
709,bahcesehir universitesi,ozel
710,ihsan dogramaci bilkent,ozel
711,sabanci universitesi,ozel
712,koc universitesi,ozel
713,yeditepe universitesi,ozel
714,izmir ekonomi universitesi,ozel
715,gedik universitesi,ozel
716,hasan kalyoncu universitesi,ozel
717,fatih universitesi,ozel
718,isik universitesi,ozel
719,istanbul ticaret universitesi,ozel
720,izmir ekonomi universitesi,ozel
721,ozyegin universitesi,ozel
722,istanbul aydin universitesi,ozel
723,mef universitesi,ozel
724,yeditepe universitesi,ozel
725,ihsan dogramaci bilkent,ozel
726,mef universitesi,ozel
727,uskudar universitesi,ozel
728,tobb ekonomi ve teknoloji,ozel
729,ihsan dogramaci bilkent,ozel
730,istanbul kultur universitesi,ozel
731,ihsan dogramaci bilkent,ozel
732,yasar universitesi,ozel
733,koc universitesi,ozel
734,istanbul gelisim universitesi,ozel
735,koc universitesi,ozel
736,uluslararasi antalya universitesi,ozel
737,uluslararasi antalya universitesi,ozel
738,atilim universitesi,ozel
739,fatih universitesi,ozel
740,zirve universitesi,ozel
741,ihsan dogramaci bilkent,ozel
742,ihsan dogramaci bilkent,ozel
743,izmir universitesi,ozel
744,beykent universitesi,ozel
745,bahcesehir universitesi,ozel
746,izmir ekonomi universitesi,ozel
747,istanbul kemerburgaz universitesi,ozel
748,istanbul sehir universitesi,ozel
749,ozyegin universitesi,ozel
750,bahcesehir universitesi,ozel
751,istanbul kultur universitesi,ozel
752,sabanci universitesi,ozel
753,ihsan dogramaci bilkent,ozel
754,sabanci universitesi,ozel
755,ihsan dogramaci bilkent,ozel
756,okan universitesi,ozel
757,koc universitesi,ozel
758,sabanci universitesi,ozel
759,uskudar universitesi,ozel
760,ihsan dogramaci bilkent,ozel
761,istanbul kultur universitesi,ozel
762,baskent universitesi,ozel
763,gediz universitesi,ozel
764,istanbul bilgi universitesi,ozel
765,ihsan dogramaci bilkent,ozel
766,ozyegin universitesi,ozel
767,cag universitesi,ozel
768,ted universitesi,ozel
769,dogus universitesi,ozel
770,istanbul bilgi universitesi,ozel
771,turk hava kurumu universitesi,ozel
772,bahcesehir universitesi,ozel
773,uluslararasi antalya universitesi,ozel
774,tobb ekonomi ve teknoloji,ozel
775,yasar universitesi,ozel
776,istanbul aydin universitesi,ozel
777,bahcesehir universitesi,ozel
778,nuh naci yazgan universitesi,ozel
779,ufuk universitesi,ozel
780,toros universitesi,ozel
781,okan universitesi,ozel
782,bahcesehir universitesi,ozel
783,dogus universitesi,ozel
784,plato meslek yuksekokulu,ozel
785,izmir ekonomi universitesi,ozel
786,yeditepe universitesi,ozel
787,ihsan dogramaci bilkent,ozel
788,atilim universitesi,ozel
789,koc universitesi,ozel
790,yeditepe universitesi,ozel
791,turk hava kurumu universitesi,ozel
792,istanbul ticaret universitesi,ozel
793,ihsan dogramaci bilkent,ozel
794,izmir universitesi,ozel
795,atilim universitesi,ozel
796,ihsan dogramaci bilkent,ozel
797,uluslararasi antalya universitesi,ozel
798,istanbul kultur universitesi,ozel
799,ozyegin universitesi,ozel
800,istanbul bilgi universitesi,ozel
801,sabanci universitesi,ozel
802,beykent universitesi,ozel
803,yeditepe universitesi,ozel
804,tobb ekonomi ve teknoloji,ozel
805,istanbul ticaret universitesi,ozel
806,isik universitesi,ozel
807,koc universitesi,ozel
808,isik universitesi,ozel
809,istanbul arel universitesi,ozel
810,anadolu universitesi,devlet
811,koc universitesi,ozel
812,istanbul bilgi universitesi,ozel
813,ihsan dogramaci bilkent,ozel
814,koc universitesi,ozel
815,ihsan dogramaci bilkent,ozel
816,avrasya universitesi,ozel
817,sabanci universitesi,ozel
818,koc universitesi,ozel
819,istanbul bilgi universitesi,ozel
820,halic universitesi,ozel
821,ihsan dogramaci bilkent,ozel
822,yeditepe universitesi,ozel
823,dogus universitesi,ozel
824,ihsan dogramaci bilkent,ozel
825,yeditepe universitesi,ozel
826,izmir ekonomi universitesi,ozel
827,yeditepe universitesi,ozel
