index,index1,index2,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
357,357,357,endustri muhendisligi,2,0.0-2.5,0,Null
358,358,358,ic mimarlik,3,2.5-3.0,0,Null
359,359,359,hukuk,3,0.0-2.5,0,Null
360,360,360,mekatronik muhendisligi,2,3.0-4.0,0,Null
361,361,361,beslenme ve diyetetik,hazirlik,Null,0,Null
362,362,362,uluslararasi isletme yonetimi almanca,4,2.5-3.0,0,Null
363,363,363,matematik ve almanca cift anadali,3,3.0-4.0,0,Null
364,364,364,enformasyon teknolojileriit/endustri muhendisligicap,3,3.0-3.5,0,Null
365,365,365,bilgisayar muhendisligi,2,3.0-4.0,0,Null
366,366,366,optisyenlik,1,Null,1,Null
367,367,367,felsefe,2,3.0-3.5,1,Null
368,368,368,hemsirelik,1,2.5-3.0,0,Null
369,369,369,biyomedikal muhendisligi,4,0.0-2.5,0,Null
370,370,370,bilgisayar muhendisligi,4,3.0-3.5,0,Null
371,371,371,ergoterapi,2,3.0-3.5,0,Null
372,372,372,elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,Null
373,373,373,psikoloji,4,3.0-4.0,0,Null
374,374,374,matematik muhendisligi,3,2.5-3.0,0,Null
375,375,375,endustri muhendisligi,2,3.0-3.5,0,Null
376,376,376,insaat muhendisligi,2,2.5-3.0,0,Null
377,377,377,mimarlik,2,3.0-3.5,0,Null
378,378,378,isletme ingilizce,4,0.0-2.5,0,Null
379,379,379,uluslararasi ticaret ve finansman,1,Null,0,Null
380,380,380,insaat muhendisligi,1,Null,0,Null
381,381,381,endustri muhendisligi,3,2.5-3.0,0,Null
382,382,382,uluslararasi ticaret ve isletmecilik,1,Null,0,Null
383,383,383,universite okumadim sistem istedigi icin yazim,Null,Null,0,Null
384,384,384,ingilizce isletme,4,3.0-3.5,0,Null
385,385,385,uluslararasi girisimcilik,2,3.0-3.5,0,Null
386,386,386,uluslararasi iliskiler- iktisat cift anadal,3,3.0-3.5,0,Null
387,387,387,elektrk ve elektonik muh. ingilice % 100,2,3.0-3.5,0,Null
388,388,388,uluslararasi iliskiler,1,Null,0,Null
389,389,389,endustri muhendisligi %100 ingilizce,3,2.5-3.0,0,Null
390,390,390,elektrik elektronik muhendisligi,4,0.0-2.5,0,Null
391,391,391,bilgisayar muhendisligi ingilizce,3,2.5-3.0,0,Null
392,392,392,endustri muhendisligi,2,0.0-2.5,0,Null
393,393,393,endustri muhendisligi,2,0.0-2.5,0,Null
394,394,394,hukuk,3,3.0-3.5,0,Null
395,395,395,yazilim muhendisligi,4,0.0-2.5,0,Null
396,396,396,elektrik elektronik muhendisligi,4,0.0-2.5,0,Null
397,397,397,endustri muhendisligi,mezun,0.0-2.5,1,Null
398,398,398,endustri muhendisligi,2,0.0-2.5,0,Null
399,399,399,bilgisayar muhendisligi,2,2.5-3.0,0,Null
400,400,400,makine muhendisligi,2,0.0-2.5,0,Null
401,401,401,turizm isletmeciligi,3,0.0-2.5,0,Null
402,402,402,gastronomi ve mutfak sanatlari,4,0.0-2.5,0,Null
403,403,403,isletmelisans,2,3.0-4.0,0,Null
404,404,404,bankacilik ve finans,4,3.0-3.5,0,Null
405,405,405,hukuk,2,2.5-3.0,0,Null
406,406,406,uluslararasi iliskiler,4,0.0-2.5,0,Null
407,407,407,saglik yonetimi,3,3.0-3.5,0,Null
408,408,408,hukuk %30 ingilizce,2,2.5-3.0,0,Null
409,409,409,reklamcilik,2,3.0-3.5,0,Null
410,410,410,uluslararasi iliskiler,2,3.0-3.5,0,Null
411,411,411,isletme,4,2.5-3.0,0,Null
412,412,412,uluslararasi iliskiler,3,3.0-4.0,0,Null
413,413,413,rehberlik ve psikolojik danismanlik,1,Null,0,Null
414,414,414,isletme,4,3.0-4.0,0,Null
415,415,415,yazilim muhendisligi,1,3.0-3.5,0,Null
416,416,416,isletme,mezun,2.5-3.0,0,Null
417,417,417,mekatronik muhendisligi,3,3.0-3.5,0,Null
418,418,418,endustri muhendisligi,2,0.0-2.5,0,Null
419,419,419,uluslararasi ticaret,3,2.5-3.0,0,Null
420,420,420,iletisim,Null,Null,0,Null
421,421,421,endustri muhendisligi,4,0.0-2.5,0,Null
422,422,422,isletmeingilizce,hazirlik,Null,0,Null
423,423,423,bilgisayar muhendisligi,1,Null,0,Null
424,424,424,genetik ve biyomuhendislik,3,3.0-3.5,0,Null
425,425,425,isletme,1,Null,0,Null
426,426,426,bilgisayar programciligi - myo,2,3.0-4.0,0,Null
427,427,427,management information systems,4,3.0-4.0,0,Null
428,428,428,bilgisayar veya yazilim muh. olacak,1,Null,0,Null
429,429,429,bilgisayar teknolojisi ve bilisim sistemleri,2,3.0-3.5,0,Null
