index1,index,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?
567,567,Null,Null
568,568,Null,Null
569,569,Null,Null
570,570,Null,Null
571,571,Null,Null
572,572,Null,Null
573,573,Null,Null
574,574,Null,Null
575,575,Null,Null
576,576,Null,Null
577,577,Null,Null
578,578,Null,Null
579,579,Null,Null
580,580,Null,Null
581,581,Null,Null
582,582,Null,Null
583,583,Null,Null
584,584,Null,Null
585,585,Null,Null
586,586,Null,Null
587,587,Null,Null
588,588,Null,Null
589,589,Null,Null
590,590,Null,Null
591,591,Null,Null
592,592,Null,Null
593,593,Null,Null
594,594,Null,Null
595,595,Null,Null
596,596,Null,Null
597,597,Null,Null
598,598,Null,Null
599,599,Null,Null
600,600,Null,Null
601,601,Null,Null
602,602,Null,Null
603,603,Null,Null
604,604,1,ileri
605,605,1,ileri
606,606,1,ileri
607,607,1,ileri
608,608,1,orta
609,609,1,ileri
610,610,1,ileri
611,611,1,ileri
612,612,1,ileri
613,613,1,ileri
614,614,1,ileri
615,615,1,ileri
616,616,1,orta
617,617,1,ileri
618,618,1,orta
619,619,1,ileri
620,620,1,ileri
621,621,0,Null
622,622,1,ileri
623,623,1,orta
624,624,1,orta
625,625,1,ileri
626,626,1,ileri
627,627,1,orta
628,628,1,ileri
629,629,1,ileri
630,630,1,ileri
631,631,1,ileri
632,632,1,ileri
633,633,1,orta
634,634,1,ileri
635,635,1,ileri
636,636,1,Null
637,637,1,ileri
638,638,1,ileri
639,639,1,ileri
640,640,1,ileri
641,641,1,ileri
642,642,1,ileri
643,643,1,ileri
644,644,1,ileri
645,645,1,orta
646,646,1,ileri
647,647,1,ileri
648,648,1,ileri
649,649,1,orta
650,650,0,Null
651,651,1,ileri
652,652,1,ileri
653,653,1,ileri
654,654,1,ileri
655,655,1,ileri
656,656,1,ileri
657,657,0,Null
658,658,1,ileri
659,659,1,ileri
660,660,1,ileri
661,661,1,ileri
662,662,0,Null
663,663,1,orta
664,664,1,ileri
665,665,1,baslangic
666,666,1,ileri
667,667,1,ileri
668,668,1,ileri
669,669,1,orta
670,670,1,ileri
671,671,0,Null
672,672,1,ileri
673,673,1,Null
674,674,1,orta
675,675,1,orta
676,676,1,ileri
677,677,1,ileri
678,678,1,baslangic
679,679,1,ileri
680,680,1,ileri
681,681,1,orta
682,682,1,Null
683,683,0,Null
684,684,1,orta
685,685,1,ileri
686,686,1,orta
687,687,1,orta
688,688,1,orta
689,689,1,ileri
690,690,1,ileri
691,691,1,orta
692,692,1,orta
693,693,1,ileri
694,694,1,ileri
695,695,1,ileri
696,696,1,ileri
697,697,1,ileri
698,698,1,orta
699,699,1,ileri
700,700,1,ileri
701,701,1,ileri
702,702,1,ileri
703,703,1,ileri
704,704,1,orta
705,705,1,ileri
706,706,1,ileri
707,707,1,ileri
708,708,1,Null
709,709,0,Null
710,710,1,ileri
711,711,1,orta
712,712,1,ileri
713,713,1,ileri
714,714,1,ileri
715,715,0,Null
716,716,1,Null
717,717,1,orta
718,718,1,Null
719,719,1,orta
720,720,1,ileri
721,721,1,ileri
722,722,0,Null
723,723,1,ileri
724,724,1,ileri
725,725,1,ileri
726,726,1,ileri
727,727,1,ileri
728,728,1,ileri
729,729,1,ileri
730,730,0,Null
731,731,1,Null
732,732,1,orta
733,733,1,orta
734,734,0,Null
735,735,1,ileri
736,736,1,ileri
737,737,1,ileri
738,738,1,ileri
739,739,1,ileri
740,740,1,orta
741,741,1,ileri
742,742,1,ileri
743,743,1,ileri
744,744,1,ileri
745,745,1,ileri
746,746,1,ileri
747,747,1,ileri
748,748,1,ileri
749,749,1,ileri
750,750,1,orta
751,751,1,ileri
752,752,1,ileri
753,753,1,ileri
754,754,1,ileri
755,755,1,ileri
756,756,1,orta
757,757,1,ileri
758,758,1,orta
759,759,1,orta
760,760,1,ileri
761,761,1,orta
762,762,1,ileri
763,763,1,ileri
764,764,1,orta
765,765,1,ileri
766,766,1,ileri
767,767,1,ileri
768,768,1,ileri
769,769,1,ileri
770,770,1,ileri
771,771,1,ileri
772,772,1,ileri
773,773,1,ileri
774,774,1,ileri
775,775,1,ileri
776,776,1,ileri
777,777,1,orta
778,778,1,orta
779,779,1,ileri
780,780,1,ileri
781,781,1,orta
782,782,1,baslangic
783,783,1,ileri
784,784,1,orta
785,785,1,ileri
786,786,1,Null
787,787,1,ileri
788,788,1,orta
789,789,1,ileri
790,790,1,ileri
791,791,1,ileri
792,792,1,orta
793,793,1,ileri
794,794,1,ileri
795,795,1,ileri
796,796,1,ileri
797,797,1,Null
798,798,1,orta
799,799,1,ileri
800,800,1,ileri
801,801,1,ileri
802,802,1,orta
803,803,1,ileri
804,804,1,ileri
805,805,1,orta
806,806,1,orta
807,807,1,ileri
808,808,1,ileri
809,809,1,orta
810,810,1,orta
811,811,1,ileri
812,812,1,ileri
813,813,1,ileri
814,814,1,ileri
815,815,1,ileri
816,816,1,orta
817,817,1,ileri
818,818,1,orta
819,819,1,ileri
820,820,0,Null
821,821,1,ileri
822,822,1,ileri
823,823,1,ileri
824,824,1,ileri
825,825,1,Null
826,826,1,orta
827,827,1,ileri
828,828,1,ileri
829,829,1,ileri
830,830,1,ileri
831,831,1,ileri
832,832,1,ileri
833,833,1,ileri
834,834,1,orta
835,835,1,orta
836,836,1,ileri
837,837,1,orta
838,838,1,ileri
839,839,1,ileri
840,840,1,orta
841,841,1,ileri
842,842,1,ileri
843,843,1,ileri
844,844,1,ileri
845,845,1,orta
846,846,1,orta
847,847,1,ileri
848,848,1,orta
849,849,1,ileri
850,850,1,ileri
851,851,1,orta
852,852,1,ileri
853,853,1,ileri
854,854,1,ileri
855,855,1,ileri
856,856,0,Null
857,857,1,ileri
858,858,1,ileri
859,859,1,orta
860,860,1,baslangic
861,861,1,orta
862,862,1,ileri
863,863,1,ileri
864,864,1,ileri
865,865,1,Null
866,866,1,ileri
867,867,1,orta
868,868,1,orta
869,869,1,ileri
870,870,1,ileri
871,871,1,ileri
872,872,1,ileri
873,873,1,ileri
874,874,1,orta
875,875,1,orta
876,876,1,ileri
877,877,1,ileri
878,878,1,Null
879,879,1,ileri
880,880,1,ileri
881,881,1,ileri
882,882,1,ileri
883,883,1,orta
884,884,0,Null
885,885,1,ileri
886,886,1,ileri
887,887,1,ileri
888,888,1,ileri
889,889,1,ileri
890,890,0,Null
891,891,1,orta
892,892,1,ileri
893,893,1,ileri
894,894,1,orta
895,895,1,ileri
896,896,1,ileri
897,897,1,ileri
898,898,1,ileri
899,899,1,orta
900,900,1,ileri
901,901,1,ileri
902,902,1,baslangic
903,903,1,ileri
904,904,1,orta
905,905,1,orta
906,906,1,orta
907,907,1,orta
908,908,1,orta
909,909,1,orta
910,910,1,ileri
911,911,1,orta
912,912,1,orta
913,913,1,orta
914,914,0,Null
915,915,1,ileri
916,916,1,ileri
917,917,1,orta
918,918,1,orta
919,919,1,ileri
920,920,1,orta
921,921,1,ileri
922,922,1,orta
923,923,1,ileri
924,924,1,orta
925,925,1,ileri
926,926,1,orta
927,927,1,orta
928,928,1,Null
929,929,0,Null
930,930,1,ileri
931,931,1,ileri
932,932,1,orta
933,933,1,orta
934,934,1,ileri
935,935,1,ileri
936,936,1,orta
937,937,1,Null
938,938,1,ileri
939,939,1,ileri
940,940,1,ileri
941,941,1,orta
942,942,0,Null
943,943,0,Null
944,944,1,orta
945,945,1,orta
946,946,1,orta
947,947,1,ileri
948,948,1,orta
949,949,1,ileri
950,950,1,ileri
951,951,1,ileri
952,952,1,orta
953,953,1,ileri
954,954,1,ileri
955,955,1,Null
956,956,1,ileri
957,957,1,ileri
958,958,1,ileri
959,959,1,ileri
960,960,1,orta
961,961,1,orta
962,962,1,ileri
963,963,1,orta
964,964,1,orta
965,965,1,ileri
966,966,1,orta
967,967,1,orta
968,968,1,Null
969,969,1,orta
970,970,1,ileri
971,971,1,ileri
972,972,1,orta
973,973,1,orta
974,974,1,orta
975,975,1,orta
976,976,1,orta
977,977,1,ileri
978,978,1,orta
979,979,1,orta
980,980,1,orta
981,981,1,baslangic
982,982,1,ileri
983,983,1,ileri
984,984,1,ileri
985,985,1,Null
986,986,1,ileri
987,987,1,Null
988,988,1,ileri
989,989,1,ileri
990,990,1,ileri
991,991,1,ileri
992,992,1,ileri
993,993,1,ileri
994,994,1,ileri
995,995,1,ileri
996,996,1,orta
997,997,1,ileri
998,998,1,ileri
999,999,1,orta
1000,1000,1,ileri
