index1,index,Basvuru Yili,Degerlendirme Puani
308,308,2014,40.0
309,309,2014,34.0
310,310,2014,50.0
311,311,2014,38.0
312,312,2014,40.0
313,313,2014,48.0
314,314,2014,21.0
315,315,2014,28.0
316,316,2014,40.0
317,317,2014,18.0
318,318,2014,44.0
319,319,2014,26.0
320,320,2014,52.0
321,321,2014,38.0
322,322,2014,28.0
323,323,2014,26.0
324,324,2014,13.0
325,325,2014,32.0
326,326,2014,20.0
327,327,2014,12.0
328,328,2014,40.0
329,329,2014,28.0
330,330,2014,71.0
331,331,2014,14.0
332,332,2014,41.0
333,333,2014,30.0
334,334,2014,48.0
335,335,2014,38.0
336,336,2014,50.0
337,337,2014,20.0
338,338,2014,48.0
339,339,2014,70.0
340,340,2014,34.0
341,341,2014,33.0
342,342,2014,24.0
343,343,2014,43.0
344,344,2014,53.0
345,345,2014,27.0
346,346,2014,42.0
347,347,2014,52.0
348,348,2014,33.0
349,349,2014,18.0
350,350,2014,24.0
351,351,2014,41.0
352,352,2014,20.0
353,353,2014,44.0
354,354,2014,22.0
355,355,2014,40.0
356,356,2014,60.0
357,357,2014,26.0
358,358,2014,26.0
359,359,2014,26.0
360,360,2014,32.0
361,361,2014,18.0
362,362,2014,38.0
363,363,2014,90.0
364,364,2014,42.0
365,365,2014,24.0
366,366,2014,8.0
367,367,2014,36.0
368,368,2014,34.0
369,369,2014,47.0
370,370,2014,26.0
371,371,2014,40.0
372,372,2014,52.0
373,373,2014,38.0
374,374,2014,36.0
375,375,2014,42.0
376,376,2014,30.0
377,377,2014,20.0
378,378,2014,22.0
379,379,2014,12.0
380,380,2014,8.0
381,381,2014,50.0
382,382,2014,20.0
383,383,2014,8.0
384,384,2014,31.0
385,385,2014,22.0
386,386,2014,72.0
387,387,2014,26.0
388,388,2014,38.0
389,389,2014,39.0
390,390,2014,24.0
391,391,2014,44.0
392,392,2014,40.0
393,393,2014,40.0
394,394,2014,36.0
395,395,2014,12.0
396,396,2014,32.0
397,397,2014,43.0
398,398,2014,38.0
399,399,2014,38.0
400,400,2014,43.0
401,401,2014,22.0
402,402,2014,22.0
403,403,2014,38.0
404,404,2014,30.0
405,405,2014,22.0
406,406,2014,12.0
407,407,2014,30.0
408,408,2014,48.0
409,409,2014,50.0
410,410,2014,62.0
411,411,2014,38.0
412,412,2014,34.0
413,413,2014,27.0
414,414,2014,18.0
415,415,2014,56.0
416,416,2014,18.0
417,417,2014,32.0
418,418,2014,47.0
419,419,2014,34.0
420,420,2014,10.0
421,421,2014,22.0
422,422,2014,40.0
423,423,2014,20.0
424,424,2014,52.0
425,425,2014,24.0
426,426,2014,18.0
427,427,2014,22.0
428,428,2014,18.0
429,429,2014,16.0
430,430,2014,34.0
431,431,2014,43.0
432,432,2014,24.0
433,433,2014,32.0
434,434,2014,77.0
435,435,2014,72.0
436,436,2014,36.0
437,437,2014,24.0
438,438,2014,40.0
439,439,2014,41.0
440,440,2014,48.0
441,441,2014,33.0
442,442,2014,50.0
443,443,2014,41.0
444,444,2014,39.0
445,445,2014,44.0
446,446,2014,30.0
447,447,2014,8.0
448,448,2014,22.0
449,449,2014,44.0
450,450,2014,58.0
451,451,2014,18.0
452,452,2014,50.0
453,453,2014,32.0
454,454,2014,29.0
455,455,2014,32.0
456,456,2014,34.0
457,457,2014,41.0
458,458,2014,16.0
459,459,2014,12.0
460,460,2014,37.0
461,461,2014,48.0
462,462,2014,18.0
463,463,2014,28.0
464,464,2014,31.0
465,465,2014,56.0
466,466,2014,41.0
467,467,2014,18.0
468,468,2014,50.0
469,469,2014,30.0
470,470,2014,12.0
471,471,2014,28.0
472,472,2014,36.0
473,473,2014,48.0
474,474,2014,12.0
475,475,2014,44.0
476,476,2014,40.0
477,477,2014,38.0
478,478,2014,8.0
479,479,2014,32.0
480,480,2014,26.0
481,481,2014,26.0
482,482,2014,23.0
483,483,2014,16.0
484,484,2014,32.0
485,485,2014,41.0
486,486,2014,64.0
487,487,2014,18.0
488,488,2014,14.0
489,489,2014,28.0
490,490,2014,57.0
491,491,2014,52.0
492,492,2014,28.0
493,493,2014,28.0
494,494,2014,32.0
495,495,2014,42.0
496,496,2014,40.0
497,497,2014,22.0
498,498,2014,48.0
499,499,2014,53.0
500,500,2014,52.0
501,501,2014,49.0
502,502,2014,36.0
503,503,2014,32.0
504,504,2014,26.0
505,505,2014,34.0
506,506,2014,38.0
507,507,2014,50.0
508,508,2014,28.0
509,509,2014,62.0
510,510,2014,51.0
511,511,2014,42.0
512,512,2014,18.0
513,513,2014,44.0
514,514,2014,36.0
515,515,2014,21.0
516,516,2014,42.0
517,517,2014,60.0
518,518,2014,26.0
519,519,2014,66.0
520,520,2014,38.0
521,521,2014,44.0
522,522,2014,54.0
523,523,2014,42.0
524,524,2014,38.0
525,525,2014,18.0
526,526,2014,36.0
527,527,2014,24.0
528,528,2014,18.0
529,529,2014,46.0
530,530,2014,34.0
531,531,2014,28.0
532,532,2014,34.0
533,533,2014,23.0
534,534,2014,14.0
535,535,2014,22.0
536,536,2014,41.0
537,537,2014,28.0
538,538,2014,40.0
539,539,2014,38.0
540,540,2014,46.0
541,541,2014,33.0
542,542,2014,28.0
543,543,2014,28.0
544,544,2014,36.0
545,545,2014,14.0
546,546,2014,40.0
547,547,2014,36.0
548,548,2014,48.0
549,549,2014,30.0
550,550,2014,26.0
551,551,2014,28.0
552,552,2014,55.0
553,553,2014,22.0
554,554,2014,18.0
555,555,2014,34.0
556,556,2014,58.0
557,557,2014,26.0
558,558,2014,48.0
559,559,2014,48.0
560,560,2014,42.0
561,561,2014,34.0
562,562,2014,46.0
563,563,2014,18.0
564,564,2014,52.0
565,565,2014,34.0
566,566,2014,29.0
567,567,2014,26.0
568,568,2014,28.0
569,569,2014,20.0
570,570,2014,28.0
571,571,2014,28.0
572,572,2014,34.0
573,573,2014,8.0
574,574,2014,44.0
575,575,2014,48.0
576,576,2014,28.0
577,577,2014,34.0
578,578,2014,54.0
579,579,2014,30.0
580,580,2014,46.0
581,581,2014,50.0
582,582,2014,33.0
583,583,2014,30.0
584,584,2014,44.0
585,585,2014,12.0
586,586,2014,16.0
587,587,2014,23.0
588,588,2014,24.0
589,589,2014,6.0
590,590,2014,24.0
591,591,2014,48.0
592,592,2014,22.0
593,593,2014,13.0
594,594,2014,28.0
595,595,2014,12.0
596,596,2014,26.0
597,597,2014,63.0
598,598,2014,52.0
599,599,2014,28.0
600,600,2014,32.0
601,601,2014,22.0
602,602,2014,34.0
603,603,2014,32.0
604,604,2015,79.0
605,605,2015,78.0
606,606,2015,77.0
607,607,2015,76.0
608,608,2015,76.0
609,609,2015,75.0
610,610,2015,74.0
611,611,2015,74.0
612,612,2015,73.0
613,613,2015,73.0
614,614,2015,72.0
615,615,2015,72.0
616,616,2015,72.0
617,617,2015,70.0
618,618,2015,70.0
619,619,2015,68.0
620,620,2015,68.0
621,621,2015,68.0
622,622,2015,67.0
623,623,2015,66.0
624,624,2015,66.0
625,625,2015,65.0
626,626,2015,64.0
627,627,2015,64.0
628,628,2015,64.0
629,629,2015,64.0
630,630,2015,64.0
631,631,2015,64.0
632,632,2015,64.0
633,633,2015,64.0
634,634,2015,64.0
635,635,2015,63.0
636,636,2015,63.0
637,637,2015,63.0
638,638,2015,63.0
639,639,2015,63.0
640,640,2015,62.0
641,641,2015,62.0
642,642,2015,62.0
643,643,2015,62.0
644,644,2015,62.0
645,645,2015,62.0
646,646,2015,62.0
647,647,2015,61.0
648,648,2015,61.0
649,649,2015,60.0
650,650,2015,60.0
651,651,2015,60.0
652,652,2015,60.0
653,653,2015,60.0
654,654,2015,60.0
655,655,2015,60.0
656,656,2015,60.0
657,657,2015,59.0
658,658,2015,59.0
659,659,2015,59.0
660,660,2015,58.0
661,661,2015,58.0
662,662,2015,58.0
663,663,2015,58.0
664,664,2015,58.0
665,665,2015,58.0
666,666,2015,58.0
667,667,2015,58.0
668,668,2015,58.0
669,669,2015,58.0
670,670,2015,58.0
671,671,2015,58.0
672,672,2015,58.0
673,673,2015,58.0
674,674,2015,58.0
675,675,2015,58.0
676,676,2015,58.0
677,677,2015,58.0
678,678,2015,58.0
679,679,2015,58.0
680,680,2015,57.0
681,681,2015,56.0
682,682,2015,56.0
683,683,2015,56.0
684,684,2015,56.0
685,685,2015,56.0
686,686,2015,56.0
687,687,2015,56.0
688,688,2015,56.0
689,689,2015,55.0
690,690,2015,55.0
691,691,2015,55.0
692,692,2015,55.0
693,693,2015,55.0
694,694,2015,54.0
695,695,2015,54.0
696,696,2015,54.0
697,697,2015,54.0
698,698,2015,54.0
699,699,2015,54.0
700,700,2015,54.0
701,701,2015,54.0
702,702,2015,54.0
703,703,2015,54.0
704,704,2015,54.0
705,705,2015,54.0
706,706,2015,54.0
707,707,2015,54.0
708,708,2015,54.0
709,709,2015,54.0
710,710,2015,54.0
711,711,2015,54.0
712,712,2015,54.0
713,713,2015,54.0
714,714,2015,54.0
715,715,2015,54.0
716,716,2015,53.0
717,717,2015,53.0
718,718,2015,53.0
719,719,2015,53.0
720,720,2015,53.0
721,721,2015,53.0
722,722,2015,53.0
723,723,2015,53.0
724,724,2015,53.0
725,725,2015,52.0
726,726,2015,52.0
727,727,2015,52.0
728,728,2015,52.0
729,729,2015,52.0
730,730,2015,52.0
731,731,2015,52.0
732,732,2015,52.0
733,733,2015,52.0
734,734,2015,52.0
735,735,2015,52.0
736,736,2015,52.0
737,737,2015,52.0
738,738,2015,52.0
739,739,2015,52.0
740,740,2015,52.0
741,741,2015,52.0
742,742,2015,52.0
743,743,2015,51.0
744,744,2015,51.0
745,745,2015,51.0
746,746,2015,51.0
747,747,2015,51.0
748,748,2015,51.0
749,749,2015,51.0
750,750,2015,51.0
751,751,2015,51.0
752,752,2015,51.0
753,753,2015,50.0
754,754,2015,50.0
755,755,2015,50.0
756,756,2015,50.0
757,757,2015,50.0
758,758,2015,50.0
759,759,2015,50.0
760,760,2015,50.0
761,761,2015,50.0
762,762,2015,50.0
763,763,2015,50.0
764,764,2015,50.0
765,765,2015,50.0
766,766,2015,50.0
767,767,2015,50.0
768,768,2015,49.0
769,769,2015,49.0
770,770,2015,49.0
771,771,2015,49.0
772,772,2015,49.0
773,773,2015,49.0
774,774,2015,48.0
775,775,2015,48.0
776,776,2015,48.0
777,777,2015,48.0
778,778,2015,48.0
779,779,2015,48.0
780,780,2015,48.0
781,781,2015,48.0
782,782,2015,48.0
783,783,2015,48.0
784,784,2015,48.0
785,785,2015,48.0
786,786,2015,48.0
787,787,2015,48.0
788,788,2015,48.0
789,789,2015,48.0
790,790,2015,47.0
791,791,2015,47.0
792,792,2015,47.0
793,793,2015,47.0
794,794,2015,47.0
795,795,2015,47.0
796,796,2015,47.0
797,797,2015,46.0
798,798,2015,46.0
799,799,2015,46.0
800,800,2015,46.0
801,801,2015,46.0
802,802,2015,46.0
803,803,2015,46.0
804,804,2015,46.0
805,805,2015,46.0
806,806,2015,46.0
807,807,2015,46.0
808,808,2015,46.0
809,809,2015,46.0
810,810,2015,46.0
811,811,2015,45.0
812,812,2015,45.0
813,813,2015,44.0
814,814,2015,44.0
815,815,2015,44.0
816,816,2015,44.0
817,817,2015,44.0
818,818,2015,44.0
819,819,2015,44.0
820,820,2015,44.0
821,821,2015,44.0
822,822,2015,44.0
823,823,2015,44.0
824,824,2015,44.0
825,825,2015,44.0
826,826,2015,44.0
827,827,2015,43.0
828,828,2015,43.0
829,829,2015,43.0
830,830,2015,43.0
831,831,2015,43.0
832,832,2015,43.0
833,833,2015,43.0
834,834,2015,43.0
835,835,2015,43.0
836,836,2015,43.0
837,837,2015,43.0
838,838,2015,42.0
839,839,2015,42.0
840,840,2015,42.0
841,841,2015,42.0
842,842,2015,42.0
843,843,2015,42.0
844,844,2015,42.0
845,845,2015,42.0
846,846,2015,42.0
847,847,2015,42.0
848,848,2015,42.0
849,849,2015,42.0
850,850,2015,42.0
851,851,2015,42.0
852,852,2015,42.0
853,853,2015,42.0
854,854,2015,42.0
855,855,2015,42.0
856,856,2015,42.0
857,857,2015,42.0
858,858,2015,42.0
859,859,2015,42.0
860,860,2015,42.0
861,861,2015,41.0
862,862,2015,41.0
863,863,2015,41.0
864,864,2015,41.0
865,865,2015,41.0
866,866,2015,41.0
867,867,2015,41.0
868,868,2015,41.0
869,869,2015,41.0
870,870,2015,41.0
871,871,2015,40.0
872,872,2015,40.0
873,873,2015,40.0
874,874,2015,40.0
875,875,2015,40.0
876,876,2015,40.0
877,877,2015,40.0
878,878,2015,40.0
879,879,2015,40.0
880,880,2015,40.0
881,881,2015,40.0
882,882,2015,40.0
883,883,2015,40.0
884,884,2015,40.0
885,885,2015,40.0
886,886,2015,40.0
887,887,2015,40.0
888,888,2015,39.0
889,889,2015,39.0
890,890,2015,39.0
891,891,2015,39.0
892,892,2015,39.0
893,893,2015,38.0
894,894,2015,38.0
895,895,2015,38.0
896,896,2015,38.0
897,897,2015,38.0
898,898,2015,38.0
899,899,2015,38.0
900,900,2015,38.0
901,901,2015,38.0
902,902,2015,38.0
903,903,2015,38.0
904,904,2015,38.0
905,905,2015,38.0
906,906,2015,38.0
907,907,2015,38.0
908,908,2015,38.0
909,909,2015,38.0
910,910,2015,38.0
911,911,2015,38.0
912,912,2015,38.0
913,913,2015,38.0
914,914,2015,38.0
915,915,2015,38.0
916,916,2015,37.0
917,917,2015,37.0
918,918,2015,37.0
919,919,2015,37.0
920,920,2015,37.0
921,921,2015,37.0
922,922,2015,37.0
923,923,2015,37.0
924,924,2015,36.0
925,925,2015,36.0
926,926,2015,36.0
927,927,2015,36.0
928,928,2015,36.0
929,929,2015,36.0
930,930,2015,36.0
931,931,2015,36.0
932,932,2015,36.0
933,933,2015,36.0
934,934,2015,36.0
935,935,2015,36.0
936,936,2015,36.0
937,937,2015,36.0
938,938,2015,36.0
939,939,2015,36.0
940,940,2015,36.0
941,941,2015,36.0
942,942,2015,36.0
943,943,2015,36.0
944,944,2015,36.0
945,945,2015,34.0
946,946,2015,34.0
947,947,2015,34.0
948,948,2015,34.0
949,949,2015,34.0
950,950,2015,34.0
951,951,2015,34.0
952,952,2015,34.0
953,953,2015,34.0
954,954,2015,34.0
955,955,2015,34.0
956,956,2015,34.0
957,957,2015,34.0
958,958,2015,34.0
959,959,2015,34.0
960,960,2015,34.0
961,961,2015,34.0
962,962,2015,34.0
963,963,2015,34.0
964,964,2015,34.0
965,965,2015,34.0
966,966,2015,34.0
967,967,2015,34.0
968,968,2015,34.0
969,969,2015,34.0
970,970,2015,34.0
971,971,2015,34.0
972,972,2015,34.0
973,973,2015,34.0
974,974,2015,34.0
975,975,2015,33.0
976,976,2015,33.0
977,977,2015,33.0
978,978,2015,33.0
979,979,2015,33.0
980,980,2015,33.0
981,981,2015,33.0
982,982,2015,33.0
983,983,2015,33.0
984,984,2015,33.0
985,985,2015,33.0
986,986,2015,33.0
987,987,2015,33.0
988,988,2015,33.0
989,989,2015,32.0
990,990,2015,32.0
991,991,2015,32.0
992,992,2015,32.0
993,993,2015,32.0
994,994,2015,32.0
995,995,2015,32.0
996,996,2015,32.0
997,997,2015,32.0
998,998,2015,32.0
999,999,2015,32.0
1000,1000,2015,32.0
