index2,index,Burs Aliyor mu?,Burslu ise Burs Yuzdesi,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
360,360,1,100.0,0,Null,Null
361,361,1,100.0,0,Null,Null
362,362,1,100.0,0,Null,Null
363,363,1,100.0,0,Null,Null
364,364,1,100.0,1,kyk,300
365,365,1,100.0,1,bilkent universitesi bursu- kyk bursu,800
366,366,1,100.0,0,Null,Null
367,367,1,100.0,0,Null,Null
368,368,1,100.0,0,Null,Null
369,369,1,100.0,0,Null,Null
370,370,1,100.0,0,Null,Null
371,371,1,100.0,0,Null,Null
372,372,1,100.0,0,Null,Null
373,373,0,100.0,0,Null,Null
374,374,1,100.0,1,kyk,300
375,375,1,100.0,1,kyk,300
376,376,1,100.0,0,Null,Null
377,377,1,100.0,0,Null,Null
378,378,1,100.0,0,Null,Null
379,379,1,100.0,0,Null,Null
380,380,1,100.0,0,Null,Null
381,381,1,100.0,0,Null,Null
382,382,1,100.0,1,sinpas gyo,250
383,383,0,100.0,0,Null,Null
384,384,1,100.0,0,Null,Null
385,385,1,100.0,1,tobb ekonomi ve teknoloji universitesi,400
386,386,1,100.0,1,tobb ekonomi ve teknoloji universitesi,400
387,387,1,100.0,0,Null,Null
388,388,1,100.0,0,Null,Null
389,389,1,100.0,0,Null,Null
390,390,1,100.0,1,kredi yutrlar krumundan geri odemesiz burs aliyorum,300
391,391,1,100.0,0,Null,Null
392,392,1,100.0,0,Null,Null
393,393,1,100.0,0,Null,Null
394,394,1,100.0,0,Null,Null
395,395,1,100.0,0,Null,Null
396,396,0,100.0,0,Null,Null
397,397,1,100.0,0,Null,Null
398,398,1,100.0,0,Null,Null
399,399,1,100.0,0,Null,Null
400,400,1,100.0,0,eti,325
401,401,1,100.0,0,Null,Null
402,402,0,100.0,0,Null,Null
403,403,1,100.0,0,Null,Null
404,404,1,100.0,0,Null,Null
405,405,1,100.0,1,kyk ustun basari bursu,900
406,406,0,100.0,0,Null,Null
407,407,1,100.0,0,Null,Null
408,408,1,100.0,1,kyk,300
409,409,1,100.0,0,Null,Null
410,410,1,100.0,0,Null,Null
411,411,1,100.0,0,Null,Null
412,412,1,100.0,1,kredi yurtlar kurumu basbakanlik kurumu,300
413,413,1,100.0,0,Null,Null
414,414,0,100.0,0,Null,Null
415,415,1,100.0,1,izmir ekonomi universitesi izmir ekonomi universitesinde tam burslu olarak okuyan tum ogrencilere verilen burs,400
416,416,1,100.0,0,Null,Null
417,417,1,100.0,0,Null,Null
418,418,1,100.0,1,istek vakfi,275
419,419,0,100.0,0,Null,Null
420,420,1,100.0,0,Null,Null
421,421,0,100.0,0,Null,Null
422,422,1,100.0,0,Null,Null
423,423,1,100.0,0,Null,Null
424,424,1,100.0,0,Null,Null
425,425,1,100.0,1,basbakanlik bursu,300
426,426,1,100.0,0,Null,Null
427,427,1,100.0,0,Null,Null
428,428,1,100.0,0,Null,Null
429,429,1,100.0,0,Null,Null
430,430,1,100.0,0,Null,Null
431,431,1,100.0,1,kyk,300
432,432,1,100.0,1,koc universitesi,600
433,433,1,100.0,1,kyk,300
434,434,1,100.0,0,Null,Null
435,435,0,100.0,0,Null,Null
436,436,1,100.0,0,Null,Null
437,437,0,100.0,0,Null,Null
438,438,1,100.0,0,Null,Null
439,439,1,100.0,0,Null,Null
440,440,1,100.0,0,Null,Null
441,441,1,100.0,0,Null,Null
442,442,1,100.0,0,Null,Null
443,443,1,100.0,0,Null,Null
444,444,1,100.0,0,Null,Null
445,445,1,100.0,0,Null,Null
446,446,1,100.0,0,Null,Null
447,447,1,100.0,0,Null,Null
448,448,0,100.0,1,isik universitesi ve kyk,800
449,449,1,100.0,1,sabanci universitesinin osym ile okula yerlesen her tam burslu ogrencisine verdigi basari bursunu aliyorum.,500
450,450,1,100.0,0,Null,Null
451,451,1,100.0,1,t.c kredi ve yurtlar kurumu,300
452,452,1,100.0,0,Null,Null
453,453,1,100.0,0,Null,Null
454,454,1,100.0,0,Null,Null
455,455,1,100.0,1,kyk,300
456,456,1,100.0,1,tobb etu,1000
457,457,1,100.0,1,basbakanlik,300
458,458,1,100.0,0,Null,Null
459,459,0,100.0,0,Null,Null
460,460,1,100.0,0,Null,Null
461,461,1,100.0,0,Null,Null
462,462,1,100.0,0,Null,Null
463,463,1,100.0,0,Null,Null
464,464,1,100.0,0,Null,Null
465,465,1,100.0,1,kyk,300
466,466,1,100.0,0,Null,Null
467,467,1,100.0,1,kyk,365
468,468,1,100.0,0,Null,Null
469,469,1,100.0,0,Null,Null
470,470,0,100.0,0,Null,Null
471,471,1,100.0,0,Null,Null
472,472,1,100.0,1,kyk,300
473,473,1,100.0,0,Null,Null
474,474,1,100.0,1,kyk ogrenim kredisi,300
475,475,1,100.0,0,Null,Null
476,476,1,100.0,0,Null,Null
477,477,1,100.0,1,kyk,300
478,478,0,100.0,0,Null,Null
479,479,1,100.0,0,Null,Null
480,480,0,100.0,0,Null,Null
481,481,0,100.0,0,Null,Null
482,482,1,100.0,0,Null,Null
483,483,0,100.0,0,Null,Null
484,484,1,100.0,0,Null,Null
485,485,1,100.0,0,Null,Null
486,486,1,100.0,0,Null,Null
487,487,1,100.0,0,Null,Null
488,488,1,100.0,0,Null,Null
489,489,0,100.0,0,Null,Null
490,490,0,100.0,0,Null,Null
491,491,1,100.0,0,Null,Null
492,492,1,100.0,1,kredili yurtlar kurumu kyk,300
493,493,1,100.0,0,Null,Null
494,494,1,100.0,0,Null,Null
495,495,1,100.0,1,ihsan dogramaci bilkent universitesi kapsamli burs,475
496,496,1,100.0,0,Null,Null
497,497,1,100.0,0,Null,Null
498,498,1,100.0,0,Null,Null
499,499,1,100.0,0,Null,Null
500,500,1,100.0,0,Null,Null
501,501,1,100.0,0,Null,Null
502,502,1,100.0,0,Null,Null
503,503,1,100.0,0,Null,Null
504,504,1,100.0,0,Null,Null
505,505,1,100.0,0,Null,Null
506,506,1,100.0,1,kendi universitemdentobb etu yasam katki payi adi altinda,400
507,507,1,100.0,0,Null,Null
508,508,1,100.0,0,Null,Null
509,509,1,100.0,0,Null,Null
510,510,1,100.0,0,Null,Null
511,511,1,100.0,1,basbakanlik bursu,300
512,512,1,100.0,0,Null,Null
513,513,0,100.0,0,Null,Null
514,514,1,100.0,0,Null,Null
515,515,1,100.0,1,basbakanlik bursu -devlet,300
516,516,1,100.0,0,Null,Null
517,517,1,100.0,0,Null,Null
518,518,1,100.0,0,Null,Null
519,519,1,100.0,0,Null,Null
520,520,0,100.0,0,Null,Null
521,521,1,100.0,1,bilkent universitesi,675
522,522,1,100.0,0,Null,Null
523,523,1,100.0,1,kyk,300
524,524,1,100.0,0,Null,Null
525,525,0,100.0,0,Null,Null
526,526,1,100.0,0,Null,Null
527,527,0,100.0,0,Null,Null
528,528,0,100.0,0,Null,Null
529,529,1,100.0,0,Null,Null
530,530,1,100.0,0,Null,Null
531,531,1,100.0,1,kredili yurtlar kurumukyk,300
532,532,1,100.0,0,Null,Null
533,533,1,100.0,0,Null,Null
534,534,1,100.0,0,Null,Null
535,535,1,100.0,0,Null,Null
536,536,1,100.0,0,Null,Null
537,537,1,100.0,0,Null,Null
538,538,1,100.0,1,kyk,300
539,539,1,100.0,1,kyk,300
540,540,1,100.0,0,Null,Null
541,541,1,100.0,0,Null,Null
542,542,1,100.0,0,Null,Null
543,543,0,100.0,0,Null,Null
544,544,1,100.0,0,Null,Null
545,545,0,100.0,0,Null,Null
546,546,1,100.0,0,Null,Null
547,547,1,100.0,0,Null,Null
548,548,1,100.0,0,Null,Null
549,549,1,100.0,0,Null,Null
550,550,1,100.0,1,kyk,300
551,551,1,100.0,1,devlet,300
552,552,0,100.0,0,Null,Null
553,553,0,100.0,0,Null,Null
554,554,1,100.0,0,Null,Null
555,555,1,100.0,0,Null,Null
556,556,1,100.0,0,Null,Null
557,557,1,100.0,0,Null,Null
558,558,1,100.0,0,Null,Null
559,559,1,100.0,0,Null,Null
560,560,0,100.0,0,Null,Null
561,561,1,100.0,1,obss,300
562,562,1,100.0,0,Null,Null
563,563,1,100.0,0,Null,Null
564,564,0,100.0,0,Null,Null
565,565,0,100.0,0,Null,Null
566,566,1,100.0,1,kyk,300
567,567,0,100.0,0,Null,Null
568,568,1,100.0,0,Null,Null
569,569,1,100.0,0,Null,Null
570,570,1,100.0,0,Null,Null
571,571,1,100.0,0,Null,Null
572,572,1,100.0,0,Null,Null
573,573,1,100.0,0,Null,Null
574,574,1,100.0,0,Null,Null
575,575,1,100.0,0,Null,Null
576,576,0,100.0,0,Null,Null
577,577,0,100.0,0,Null,Null
578,578,0,100.0,0,Null,Null
579,579,1,100.0,1,kyk,300
580,580,1,100.0,0,Null,Null
581,581,1,100.0,0,Null,Null
582,582,1,100.0,0,Null,Null
583,583,1,100.0,1,metin - nuran cakallikli kultu ve egitim vakfi,200
584,584,1,100.0,1,kyk kredi aliyorum.,300
585,585,0,100.0,0,Null,Null
586,586,1,100.0,0,Null,Null
587,587,1,100.0,0,Null,Null
588,588,1,100.0,1,kyk,300
589,589,1,100.0,0,Null,Null
590,590,1,100.0,0,Null,Null
591,591,1,100.0,1,kyk basari bursu ve sabanci universitesi onur bursu,700
592,592,1,100.0,0,Null,Null
593,593,1,100.0,0,Null,Null
594,594,1,100.0,0,Null,Null
595,595,0,100.0,0,Null,Null
596,596,1,100.0,0,Null,Null
597,597,1,100.0,1,yok bursu,750
598,598,0,100.0,0,Null,Null
599,599,1,100.0,0,Null,Null
600,600,0,100.0,0,Null,Null
601,601,0,100.0,0,Null,Null
602,602,1,100.0,1,devlet,300
603,603,0,100.0,0,Null,Null
604,604,1,100.0,0,Null,Null
605,605,1,100.0,0,Null,Null
606,606,1,100.0,0,Null,Null
607,607,1,100.0,1,kyk,330
608,608,1,100.0,0,Null,Null
609,609,1,100.0,0,Null,Null
610,610,0,100.0,0,Null,Null
611,611,1,100.0,1,kyk,330
612,612,1,100.0,0,Null,Null
613,613,1,100.0,0,Null,Null
614,614,1,100.0,0,Null,Null
615,615,0,100.0,0,Null,Null
616,616,0,100.0,0,Null,Null
617,617,1,100.0,0,Null,Null
618,618,1,100.0,0,Null,Null
619,619,1,100.0,0,Null,Null
620,620,1,100.0,0,Null,Null
621,621,0,100.0,0,Null,Null
622,622,1,100.0,0,Null,Null
623,623,1,100.0,0,Null,Null
624,624,1,100.0,0,Null,Null
625,625,0,100.0,0,Null,Null
626,626,1,100.0,0,Null,Null
627,627,1,100.0,0,Null,Null
628,628,1,100.0,0,Null,Null
629,629,1,100.0,0,Null,Null
630,630,1,100.0,1,universite,490
631,631,1,100.0,1,basbakanlik kredi,320
632,632,1,100.0,1,bilkent universitesi,560
633,633,1,100.0,0,Null,Null
634,634,0,100.0,0,Null,Null
635,635,1,100.0,0,Null,Null
636,636,1,100.0,0,Null,Null
637,637,1,100.0,0,Null,Null
638,638,1,100.0,0,Null,Null
639,639,1,100.0,0,Null,Null
640,640,1,100.0,0,Null,Null
641,641,1,100.0,0,Null,Null
642,642,1,100.0,0,Null,Null
643,643,1,100.0,1,uluslararasi antalya universitesi,Null
644,644,1,100.0,1,bilkent universitesiilk 500 de oldugum icin,500
645,645,1,100.0,0,Null,Null
646,646,1,100.0,0,Null,Null
647,647,1,100.0,0,Null,Null
648,648,1,100.0,1,koc universitesi anadolu bursiyerleri programi,600
649,649,1,100.0,0,Null,Null
650,650,1,100.0,0,Null,Null
651,651,1,100.0,1,kendi okulumdan egitim bursu aliyorum,430
652,652,1,100.0,0,Null,Null
653,653,1,100.0,0,bilkent universitesi,560
654,654,1,100.0,0,Null,Null
655,655,0,100.0,0,Null,Null
656,656,1,100.0,0,Null,Null
657,657,1,100.0,0,Null,Null
658,658,1,100.0,0,Null,Null
659,659,1,100.0,1,cagdas yasami destekleme dernegi,150
660,660,1,100.0,0,Null,Null
661,661,1,100.0,0,Null,Null
662,662,0,100.0,0,Null,Null
663,663,1,100.0,0,Null,Null
664,664,1,100.0,0,Null,Null
665,665,1,100.0,0,Null,Null
666,666,1,100.0,0,Null,Null
667,667,1,100.0,0,Null,Null
668,668,1,100.0,1,turkiye olimpik hazirlik merkezi universiteyide milli sporcu bursuyla tam burslu okuyorum,350
669,669,0,100.0,0,Null,Null
670,670,1,100.0,0,Null,Null
671,671,1,100.0,0,Null,Null
672,672,1,100.0,0,Null,Null
673,673,1,100.0,0,Null,Null
674,674,1,100.0,0,Null,Null
675,675,1,100.0,1,tobb ekonomi ve teknoloji universitesi,850
676,676,1,100.0,1,koc universitesinden ilk 300 bursu,600
677,677,1,100.0,0,Null,Null
678,678,1,100.0,1,istanbul ticaret odasi,300
679,679,1,100.0,1,t.c. ihsan dogramaci bilkent universitesi,720
680,680,1,100.0,0,Null,Null
681,681,1,100.0,0,Null,Null
682,682,1,100.0,0,Null,Null
683,683,1,100.0,0,Null,Null
684,684,1,100.0,0,Null,Null
685,685,1,100.0,0,Null,Null
686,686,0,100.0,0,Null,Null
687,687,1,100.0,1,kendi okulumdan basari bursu aliyorum.,400
688,688,1,100.0,0,Null,Null
689,689,1,100.0,1,sabanci universitesi,500
690,690,1,100.0,0,Null,Null
691,691,1,100.0,0,Null,Null
692,692,1,100.0,0,Null,Null
693,693,1,100.0,1,koc universitesi,475
694,694,1,100.0,0,Null,Null
695,695,0,100.0,0,Null,Null
696,696,0,100.0,0,Null,Null
697,697,1,100.0,0,Null,Null
698,698,1,100.0,0,Null,Null
699,699,1,100.0,0,Null,Null
700,700,1,100.0,0,Null,Null
701,701,1,100.0,0,Null,Null
702,702,1,100.0,0,Null,Null
703,703,1,100.0,0,Null,Null
704,704,1,100.0,0,Null,Null
705,705,0,100.0,0,Null,Null
706,706,1,100.0,0,Null,Null
