Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Kardes Sayisi
2014,46.0,kadin,1992/09/28,Null,istanbul,1
2014,36.0,kadin,1994/11/18,tekirdag,Null,0
2014,51.0,kadin,1992/12/21,istanbul,istanbul,Null
2014,40.0,kadin,1994/04/08,tokat,izmir,2
2014,43.0,kadin,1993/08/04,zonguldak,zonguldak,2
2014,36.0,kadin,1994/05/22,mugla,erzurum,1
2014,98.0,kadin,1994/06/13,ankara,ankara,1
2014,36.0,erkek,1995/07/03,canakkale,mersin,1
2014,42.0,erkek,1991/11/28,Null,Null,3
2014,28.0,erkek,1995/08/10,kayseri,Null,1
2014,12.0,erkek,1991/10/20,bursa,ankara,2
2014,26.0,erkek,1994/02/10,eskisehir,istanbul,3
2014,24.0,erkek,1994/03/22,tokat,istanbul,1
2014,18.0,erkek,1993/12/30,istanbul,Null,3
2014,20.0,erkek,1993/01/01,istanbul,istanbul,5
2014,58.0,erkek,1993/05/26,ankara,istanbul,2
2014,23.0,erkek,1993/02/05,sanliurfa,istanbul,Null
2014,28.0,erkek,1994/09/25,Null,Null,4
2014,50.0,erkek,1992/08/05,Null,istanbul,1
2014,42.0,erkek,1993/05/14,kastamonu,istanbul,3
2014,48.0,erkek,1970/01/01,mersin,Null,1
2014,31.0,kadin,1992/10/08,diyarbakir,ankara,1
2014,16.0,erkek,1991/03/21,karabuk,istanbul,3
2014,21.0,erkek,1992/10/05,istanbul,istanbul,4
2014,26.0,erkek,1992/02/11,adana,istanbul,Null
2014,58.0,erkek,1994/01/28,istanbul,istanbul,2
2014,34.0,kadin,1995/11/24,ankara,ankara,3
2014,29.0,kadin,1992/01/30,ankara,ankara,3
2014,52.0,kadin,1993/08/29,kayseri,kayseri,2
2014,22.0,kadin,1992/09/11,Null,istanbul,1
2014,22.0,kadin,1993/09/19,antalya,antalya,Null
2014,66.0,kadin,1993/08/24,mersin,Null,1
2014,42.0,kadin,1994/10/12,antalya,istanbul,1
2014,23.0,kadin,1995/12/22,malatya,istanbul,5
2014,71.0,kadin,1994/03/21,Null,Null,Null
2014,54.0,kadin,1994/09/08,konya,istanbul,3
2014,43.0,kadin,1993/09/17,ankara,istanbul,1
2014,31.0,erkek,1994/04/27,istanbul,Null,1
2014,27.0,erkek,1994/12/19,Null,istanbul,2
2014,44.0,kadin,1991/10/28,Null,istanbul,1
2014,58.0,kadin,1993/06/11,edirne,istanbul,1
2014,36.0,erkek,1990/08/02,Null,Null,2
2014,18.0,erkek,1992/07/10,malatya,bursa,8
2014,22.0,erkek,1994/06/27,Null,istanbul,1
2014,34.0,erkek,1994/10/01,adana,Null,3
2014,51.0,erkek,1992/07/07,ankara,ankara,Null
2014,42.0,erkek,1990/09/02,Null,istanbul,1
2014,28.0,kadin,1993/12/21,Null,istanbul,Null
2014,28.0,kadin,1991/04/18,Null,istanbul,3
2014,28.0,erkek,1993/07/26,istanbul,istanbul,2
2014,50.0,erkek,1991/11/20,hakkari,Null,6
2014,16.0,erkek,1992/03/14,Null,Null,2
2014,20.0,erkek,1994/06/09,sanliurfa,bursa,6
2014,33.0,kadin,1992/02/09,istanbul,istanbul,3
2014,43.0,kadin,1992/09/27,denizli,denizli,3
2014,30.0,erkek,1994/02/02,agri,istanbul,2
2014,21.0,erkek,1994/06/01,Null,batman,11
2014,52.0,kadin,1993/02/05,istanbul,istanbul,1
2014,10.0,erkek,1995/07/24,malatya,istanbul,2
2014,44.0,erkek,1992/01/22,Null,gaziantep,2
2014,34.0,erkek,1993/04/13,karabuk,istanbul,2
2014,39.0,kadin,1991/10/28,ankara,ankara,1
2014,68.0,kadin,1992/07/27,trabzon,istanbul,3
2014,24.0,kadin,1994/11/25,kocaeli,istanbul,2
2014,54.0,kadin,1993/04/23,Null,istanbul,2
2014,61.0,kadin,1993/08/11,mersin,istanbul,1
2014,30.0,kadin,1994/08/01,Null,Null,0
2014,30.0,kadin,1993/03/28,kirikkale,Null,2
2014,28.0,kadin,1995/04/25,malatya,istanbul,2
2014,62.0,kadin,1991/01/09,Null,izmir,2
2014,46.0,kadin,1992/08/21,kayseri,istanbul,1
2014,22.0,erkek,1992/11/21,izmir,Null,1
2014,44.0,kadin,1992/09/05,izmir,izmir,0
2014,14.0,erkek,1992/04/21,kirklareli,kirklareli,1
2014,27.0,erkek,1991/02/21,Null,istanbul,4
2014,32.0,erkek,1993/07/23,balikesir,Null,3
2014,24.0,erkek,1992/08/24,konya,istanbul,2
2014,36.0,erkek,1990/06/25,istanbul,Null,1
2014,51.0,kadin,1993/08/28,izmir,aydin,2
2014,34.0,kadin,1991/06/17,ankara,istanbul,2
2014,44.0,kadin,1993/07/18,Null,istanbul,1
2014,85.0,kadin,1993/02/21,Null,ankara,1
2014,54.0,kadin,1992/10/07,izmir,izmir,2
2014,42.0,kadin,1992/08/20,izmir,Null,0
2014,59.0,kadin,1992/09/19,istanbul,istanbul,Null
2014,45.0,kadin,1992/06/20,bursa,istanbul,2
2014,36.0,kadin,1994/11/23,karabuk,istanbul,3
2014,26.0,kadin,1993/05/21,Null,istanbul,2
2014,43.0,kadin,1995/05/20,kocaeli,kocaeli,1
2014,67.0,kadin,1992/08/30,istanbul,istanbul,1
2014,56.0,kadin,1990/11/16,samsun,mersin,3
2014,62.0,kadin,1992/07/07,bursa,istanbul,2
2014,47.0,kadin,1994/02/05,zonguldak,istanbul,1
2014,78.0,kadin,1993/01/07,konya,istanbul,2
2014,47.0,kadin,1991/01/01,mugla,istanbul,1
2014,28.0,kadin,1994/03/19,kayseri,kayseri,3
2014,54.0,kadin,1991/05/19,sivas,istanbul,1
2014,34.0,erkek,1991/07/01,Null,istanbul,Null
2014,22.0,erkek,1990/01/05,Null,Null,Null
2014,22.0,kadin,1993/09/05,Null,Null,2
2014,19.0,erkek,1993/01/23,manisa,istanbul,2
2014,32.0,erkek,1992/06/20,sakarya,istanbul,3
2014,42.0,erkek,1986/11/30,Null,kocaeli,2
2014,50.0,erkek,1992/02/14,eskisehir,istanbul,Null
2014,24.0,erkek,1995/09/10,adana,adana,Null
2014,46.0,kadin,1993/01/22,Null,Null,1
2014,41.0,erkek,1992/07/21,kahramanmaras,Null,4
2014,34.0,kadin,1994/11/15,istanbul,istanbul,4
2014,24.0,erkek,1992/03/13,istanbul,istanbul,0
2014,33.0,erkek,1991/02/25,ankara,istanbul,1
2014,12.0,erkek,1991/03/03,ankara,ankara,2
2014,34.0,erkek,1991/06/27,nevsehir,Null,0
2014,34.0,erkek,1995/08/24,kirikkale,istanbul,1
2014,40.0,kadin,1993/04/17,kayseri,kayseri,2
2014,30.0,kadin,1992/10/07,balikesir,balikesir,1
2014,18.0,kadin,1994/04/07,mugla,istanbul,1
2014,41.0,kadin,1994/01/15,Null,Null,Null
2014,44.0,kadin,1993/03/21,antalya,antalya,1
2014,43.0,erkek,1992/06/09,isparta,Null,Null
2014,18.0,erkek,1995/10/25,istanbul,istanbul,1
2014,52.0,erkek,1994/10/12,ankara,antalya,2
2014,13.0,erkek,1994/06/18,istanbul,istanbul,6
2014,20.0,erkek,1994/07/10,sanliurfa,sanliurfa,4
2014,26.0,erkek,1995/10/27,Null,istanbul,1
2014,32.0,erkek,1992/01/21,istanbul,Null,Null
2014,54.0,erkek,1992/03/03,karaman,Null,1
2014,40.0,kadin,1995/04/05,edirne,istanbul,1
2014,34.0,kadin,1994/06/07,erzincan,Null,2
2014,50.0,kadin,1993/04/13,ankara,Null,4
2014,38.0,kadin,1995/08/05,kilis,izmir,2
2014,40.0,kadin,1993/09/19,Null,istanbul,2
2014,48.0,kadin,1995/12/28,Null,aydin,1
2014,21.0,erkek,1993/10/06,ankara,istanbul,4
2014,28.0,erkek,1994/01/01,antalya,antalya,1
2014,40.0,erkek,1992/01/01,diyarbakir,izmir,3
2014,18.0,erkek,1988/08/06,Null,Null,1
2014,44.0,erkek,1991/10/07,mersin,istanbul,2
2014,26.0,erkek,1994/10/25,istanbul,ankara,1
2014,52.0,erkek,1993/11/23,sakarya,sakarya,1
2014,38.0,erkek,1992/01/05,kirikkale,istanbul,2
2014,28.0,erkek,1993/09/16,usak,Null,1
2014,26.0,erkek,1990/06/26,izmir,Null,3
2014,13.0,erkek,1995/04/14,mersin,mersin,1
2014,32.0,erkek,1994/08/02,Null,antalya,5
2014,20.0,kadin,1994/02/05,Null,Null,3
2014,12.0,erkek,1992/01/28,batman,istanbul,6
2014,40.0,erkek,1992/06/13,kayseri,kayseri,Null
2014,28.0,kadin,1994/08/01,istanbul,istanbul,1
2014,71.0,erkek,1991/01/04,istanbul,istanbul,2
2014,14.0,erkek,1993/10/09,istanbul,istanbul,1
2014,41.0,erkek,1991/02/05,Null,istanbul,3
2014,30.0,erkek,1992/08/18,mersin,istanbul,Null
2014,48.0,erkek,1993/10/27,kayseri,Null,2
2014,38.0,erkek,1992/09/12,izmir,izmir,0
2014,50.0,erkek,1992/07/23,osmaniye,ankara,2
2014,20.0,erkek,1994/08/14,nevsehir,Null,3
2014,48.0,erkek,1994/08/12,manisa,istanbul,3
2014,70.0,erkek,1986/01/19,kayseri,istanbul,2
2014,34.0,erkek,1993/06/10,tokat,istanbul,1
2014,33.0,erkek,1993/08/14,diyarbakir,istanbul,9
2014,24.0,erkek,1994/10/09,ankara,Null,1
2014,43.0,erkek,1991/06/22,Null,istanbul,1
2014,53.0,erkek,1994/09/17,antalya,antalya,2
2014,27.0,erkek,1994/10/24,malatya,istanbul,2
2014,42.0,kadin,1993/09/07,gaziantep,Null,2
2014,52.0,kadin,1993/08/01,Null,Null,0
2014,33.0,kadin,1995/03/03,bursa,istanbul,Null
2014,18.0,erkek,1995/08/16,Null,Null,4
2014,24.0,erkek,1991/10/12,istanbul,istanbul,1
2014,41.0,kadin,1992/01/05,sivas,izmir,3
2014,20.0,kadin,1995/11/12,istanbul,istanbul,2
2014,44.0,kadin,1995/07/20,balikesir,balikesir,3
2014,22.0,kadin,1993/07/16,Null,izmir,0
2014,40.0,kadin,1992/02/01,denizli,istanbul,4
2014,60.0,kadin,1993/11/29,konya,konya,3
2014,26.0,kadin,1994/09/13,istanbul,istanbul,2
2014,26.0,kadin,1992/06/16,Null,antalya,2
2014,26.0,kadin,1994/12/20,izmir,izmir,2
2014,32.0,kadin,1994/01/08,sakarya,istanbul,Null
2014,18.0,kadin,1994/01/17,adana,adana,1
2014,38.0,kadin,1992/01/07,istanbul,Null,0
2014,90.0,kadin,1993/08/01,denizli,Null,0
2014,42.0,erkek,1992/01/13,Null,istanbul,2
2014,24.0,erkek,1994/03/18,nevsehir,nevsehir,Null
2014,8.0,erkek,1986/01/13,corum,istanbul,Null
2014,36.0,erkek,1987/01/12,mardin,istanbul,3
2014,34.0,kadin,1995/08/20,kayseri,istanbul,2
2014,47.0,erkek,1992/07/13,adana,Null,1
2014,26.0,erkek,1994/10/06,Null,konya,1
2014,40.0,erkek,1995/03/01,konya,istanbul,Null
2014,52.0,erkek,1992/05/11,balikesir,izmir,1
2014,38.0,kadin,1991/10/19,erzincan,izmir,1
2014,36.0,kadin,1992/10/13,bolu,istanbul,1
2014,42.0,erkek,1994/11/13,Null,ankara,2
2014,30.0,erkek,1993/06/13,agri,bursa,3
2014,20.0,erkek,1992/06/15,gaziantep,istanbul,6
2014,22.0,erkek,1989/05/26,Null,istanbul,1
2014,12.0,erkek,1993/04/23,tokat,istanbul,5
2014,8.0,erkek,1995/12/18,Null,gaziantep,7
2014,50.0,erkek,1992/09/01,konya,ankara,1
2014,20.0,erkek,1994/07/12,malatya,Null,2
2014,8.0,erkek,1987/11/15,osmaniye,konya,10
2014,31.0,erkek,1992/11/11,istanbul,Null,1
2014,22.0,erkek,1993/06/25,Null,istanbul,3
2014,72.0,kadin,1993/05/28,adana,istanbul,1
2014,26.0,erkek,1992/03/20,Null,kayseri,6
2014,38.0,erkek,1992/09/24,istanbul,istanbul,1
2014,39.0,erkek,1993/05/17,adana,istanbul,1
2014,24.0,erkek,1992/03/08,sanliurfa,gaziantep,1
2014,44.0,erkek,1993/01/12,Null,istanbul,6
2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara,0
2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara,0
2014,36.0,erkek,1993/09/16,Null,istanbul,3
2014,12.0,erkek,1991/01/17,bursa,istanbul,1
2014,32.0,erkek,1990/01/08,istanbul,istanbul,3
2014,43.0,erkek,1991/05/20,nigde,nigde,1
2014,38.0,erkek,1994/06/20,elazig,istanbul,2
2014,38.0,erkek,1993/08/22,malatya,istanbul,2
2014,43.0,erkek,1995/04/05,eskisehir,ankara,1
2014,22.0,erkek,1991/06/06,ankara,ankara,2
2014,22.0,erkek,1992/04/02,ankara,istanbul,0
2014,38.0,kadin,1995/07/12,rize,Null,1
2014,30.0,kadin,1992/04/05,ankara,istanbul,1
2014,22.0,erkek,1994/10/04,bursa,ankara,4
2014,12.0,erkek,1992/01/04,malatya,ankara,2
2014,30.0,kadin,1994/04/25,bursa,istanbul,3
2014,48.0,kadin,1994/10/27,Null,kocaeli,2
2014,50.0,kadin,1994/09/17,kirklareli,Null,1
2014,62.0,kadin,1994/04/12,ankara,ankara,1
2014,38.0,erkek,1993/07/02,adana,Null,3
2014,34.0,erkek,1993/12/14,Null,istanbul,3
2014,27.0,kadin,1995/06/23,kocaeli,izmir,1
2014,18.0,erkek,1992/10/15,Null,istanbul,3
2014,56.0,erkek,1994/10/01,mersin,Null,2
2014,18.0,erkek,1992/03/22,Null,istanbul,1
2014,32.0,erkek,1993/12/05,kutahya,istanbul,1
2014,47.0,erkek,1994/04/01,bursa,istanbul,0
2014,34.0,erkek,1993/02/03,istanbul,Null,3
2014,10.0,erkek,1994/07/22,istanbul,Null,1
2014,22.0,erkek,1990/01/20,kayseri,istanbul,1
2014,40.0,erkek,1995/03/21,nevsehir,Null,Null
2014,20.0,erkek,1995/06/27,kocaeli,istanbul,Null
2014,52.0,erkek,1992/01/16,amasya,bursa,1
2014,24.0,erkek,1994/10/09,manisa,manisa,5
2014,18.0,erkek,1995/02/23,izmir,izmir,2
2014,22.0,erkek,1991/12/18,Null,izmir,1
2014,18.0,erkek,1994/12/11,Null,Null,1
2014,16.0,erkek,1992/06/07,Null,istanbul,1
2014,34.0,erkek,1992/04/03,izmir,Null,2
2014,43.0,erkek,1993/10/11,Null,istanbul,1
2014,24.0,erkek,1995/06/11,adana,istanbul,2
2014,32.0,erkek,1992/08/18,aydin,istanbul,1
2014,77.0,kadin,1992/06/03,Null,istanbul,Null
2014,72.0,kadin,1992/03/08,ankara,istanbul,1
2014,36.0,erkek,1991/11/21,bursa,istanbul,0
2014,24.0,erkek,1992/06/10,malatya,gaziantep,1
2014,40.0,erkek,1993/02/02,samsun,istanbul,1
2014,41.0,kadin,1992/04/15,rize,Null,1
2014,48.0,kadin,1992/09/02,istanbul,istanbul,1
2014,33.0,kadin,1992/08/05,istanbul,istanbul,1
2014,50.0,kadin,1992/05/28,izmir,Null,1
2014,41.0,kadin,1993/01/04,Null,izmir,2
2014,39.0,kadin,1995/07/08,adana,istanbul,Null
2014,44.0,erkek,1993/04/02,mersin,Null,1
2014,30.0,erkek,1993/09/16,diyarbakir,istanbul,Null
2014,8.0,erkek,1991/03/11,istanbul,istanbul,0
2014,22.0,kadin,1995/04/20,ankara,izmir,0
2014,44.0,kadin,1995/05/22,malatya,Null,5
2014,58.0,kadin,1990/06/21,bursa,istanbul,1
2014,18.0,kadin,1992/01/01,mardin,izmir,5
2014,50.0,kadin,1995/01/25,aksaray,aksaray,3
2014,32.0,kadin,1994/04/06,istanbul,Null,4
2014,29.0,kadin,1992/01/10,istanbul,istanbul,4
2014,32.0,kadin,1994/01/01,izmir,izmir,3
2014,34.0,kadin,1995/04/23,istanbul,Null,1
2014,41.0,erkek,1991/01/09,Null,Null,11
2014,16.0,erkek,1990/01/28,Null,Null,8
2014,12.0,erkek,1991/01/01,mugla,ankara,1
2014,37.0,erkek,1992/10/12,Null,Null,Null
2014,48.0,kadin,1991/01/07,batman,gaziantep,3
2014,18.0,kadin,1995/03/29,kirikkale,istanbul,Null
2014,28.0,erkek,1993/01/24,mersin,Null,0
2014,31.0,erkek,1993/07/22,trabzon,istanbul,4
2014,56.0,erkek,1992/09/20,nigde,istanbul,4
2014,41.0,erkek,1994/10/05,Null,istanbul,1
2014,18.0,erkek,1991/07/31,Null,Null,1
2014,50.0,erkek,1993/05/16,kahramanmaras,istanbul,Null
2014,30.0,kadin,1995/06/09,istanbul,istanbul,2
2014,12.0,erkek,1992/07/12,izmir,izmir,2
2014,28.0,erkek,1995/01/01,adana,Null,3
2014,36.0,kadin,1994/01/21,samsun,ankara,1
2014,48.0,erkek,1994/10/08,Null,Null,2
2014,12.0,erkek,1991/07/31,Null,Null,2
2014,44.0,erkek,1994/01/04,izmir,istanbul,0
2014,40.0,kadin,1994/03/13,batman,batman,Null
2014,38.0,kadin,1993/01/10,Null,istanbul,3
2014,8.0,erkek,1992/03/24,bursa,bursa,1
2014,32.0,erkek,1993/01/01,antalya,istanbul,1
2014,26.0,kadin,1993/01/04,kutahya,kutahya,Null
2014,26.0,kadin,1986/06/25,Null,istanbul,2
2014,23.0,erkek,1995/02/22,kirklareli,Null,2
2014,16.0,erkek,1993/11/29,trabzon,trabzon,4
