id,Basvuru Yili,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Lise Adi,Lise Sehir,Lise Turu,Lise Mezuniyet Notu,Anne Egitim Durumu,Anne Calisma Durumu,Baba Egitim Durumu,Baba Calisma Durumu,Kardes Sayisi,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Baska Kurumdan Aldigi Burs Miktari,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Aktif olarak bir STK üyesi misiniz?
10,2014,Erkek,7/20/1995,Kayseri,Kayseri,NUH NACİ YAZGAN ÜNİVERSİTESİ,Özel,Siyaset Bilimi ve Kamu Yönetimi,1,2.38,Hayır,,Mustafa Eraslan Lisesi,Kayseri,Düz lise,3.00-2.50,Lise,Hayır,Lise,Emekli,2.0,100.0,Evet,Hayır,,,,Evet,Hayır
11,2014,Erkek,9/27/1993,Uşak,İstanbul,FATİH ÜNİVERSİTESİ,Özel,Computer Engineering,3,3.53,Hayır,,Yamanlar Anadolu Lisesi,İzmir,Özel lisesi,3.00 - 4.00,Lise,Hayır,Üniversite,Evet,2.0,100.0,Evet,Hayır,,,,Evet,Hayır
12,2014,Erkek,3/23/1993,Rize,Bahçelievler/Ankara,İHSAN DOĞRAMACI BİLKENT,Özel,Endüstri Mühendisliği,3,2.17,Hayır,,Yomra Fen Lisesi,Trabzon,Fen lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
13,2014,Erkek,8/9/1992,Altındağ,Ankara,BAŞKENT ÜNİVERSİTESİ,Özel,Mekatronik,2,2.83,Evet,,Mesleki Açık Öğretim,Anamur/MERSİN,Meslek lisesi,3.50-3,Lise,Hayır,Üniversite,Emekli,4.0,100.0,Evet,Hayır,,,,Hayır,Hayır
14,2014,Erkek,3/5/1992,ADIYAMAN /GERGER,İSTANBUL,ÇAĞ ÜNİVERSİTESİ,Özel,TRUZIM VE OTEL İŞLETMECİLİĞİ,2,3.56,Hayır,,YAKACIK LİSESİ,İSTANBUL,Düz lise,3.50-3,Eğitim Yok,Hayır,İlkokul Mezunu,Hayır,10.0,100.0,Evet,Evet,300,,,Evet,Hayır
15,2014,Erkek,4/16/1992,Erzurum,İzmir,İZMİR ÜNİVERSİTESİ,Özel,Bilgisayar mühendisliği,3,3.61,Hayır,,Hüsnü Özyeğin Anadolu Lisesi,Kars,Anadolu lisesi,3.50-3,Üniversite,Emekli,Yüksek Lisans / Doktora,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
16,2014,Erkek,7/15/1992,Kahramanmaras,Kahramanmaraş,ZİRVE ÜNİVERSİTESİ,Özel,Hukuk,3,2.42,Hayır,,Erdem Bayazıt Anadolu lisesi,kahramanmaas,Anadolu lisesi,3.00 - 4.00,Ortaokul Mezunu,Hayır,Ortaokul Mezunu,Emekli,3.0,100.0,Evet,Hayır,,,,Evet,Hayır
17,2014,Erkek,8 Mayis 1995,Konya-Meram,Üsküdar/İstanbul,İSTANBUL ŞEHİR ÜNİVERSİTESİ,Özel,Bilgisayar Mühendisliği,1,3.49,Hayır,,Meram Anadolu Lisesi,Konya,Anadolu lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
18,2014,Erkek,7/27/1995,İzmir,İZMİR,YAŞAR ÜNİVERSİTESİ,Özel,Bilgisayar Mühendisliği,1,2.49,Hayır,,Atakent Anadolu Lisesi,İzmir,Anadolu lisesi,3.50-3,Ortaokul Mezunu,Hayır,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
19,2014,Erkek,7/24/1995,Trabzon,Trabzon,İHSAN DOĞRAMACI BİLKENT,Özel,Bilgisayar Mühendisliği,1,3.09,Hayır,,Kanuni Anadolu Lisesi,Trabzon,Anadolu lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,İlkokul Mezunu,Emekli,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
20,2014,Erkek,7 Mayis 1994,Kars,Kars,İSTANBUL AREL ÜNİVERSİTESİ,Özel,Psikoloji,3,2.27,Hayır,,Kars Alpaslan Lisesi,Kars,Düz lise,3.00-2.50,Lise,Hayır,Lise,Evet,5.0,100.0,Hayır,Hayır,,,,Hayır,Hayır
21,2014,Erkek,8/15/1995,Kırşehir,Kırşehir,TED ÜNİVERSİTESİ,Özel,İktisadi ve İdari Bilimler Programları,Hazırlık,3.77,Hayır,,Kırşehir Anadolu Öğretmen Lisesi,Kırşehir,Anadolu lisesi,3.00 - 4.00,Lise,Hayır,Lise,Evet,2.0,100.0,Evet,Hayır,,,,Evet,Hayır
22,2014,Erkek,1/27/1989,KADIKÖY,Gebze/Kocaeli,FATİH ÜNİVERSİTESİ,Özel,MESLEK YÜKSEK OKULU İŞLETME,,3.01,Hayır,,Tarık Buğra Lisesi,İstanbul Anadolu,Düz lise,3.00-2.50,İlkokul Mezunu,Hayır,Lise,Emekli,4.0,100.0,hayır,Hayır,,,,Hayır,Hayır
23,2014,Erkek,10/5/1992,Seyhan/ Adana,İstanbul,YENİ YÜZYIL ÜNİVERSİTESİ,Özel,Biyomedikal Mühendisliği,3,3.96,Hayır,,Muzaffer Çil Anadolu Lisesi,Eskişehir,Anadolu lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,Lise,Emekli,3.0,100.0,Evet,Hayır,,,,Hayır,Hayır
24,2014,Kadın,4/9/1994,izmir,İzmir,İZMİR EKONOMİ ÜNİVERSİTESİ,Özel,Endüstri Sistemleri Mühendisliği,1,3.2,Hayır,,özel ege lisesi,izmir,Anadolu lisesi,3.00 - 4.00,Üniversite,Emekli,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
25,2014,Kadın,6/9/1993,İstanbul,İstanbul,İSTANBUL BİLGİ ÜNİVERSİTESİ,Özel,Genetik ve Biyomühendislik,4,3.18,Hayır,,Özel Kültür Fen Lisesi,İstanbul,Fen lisesi,3.00 - 4.00,Lise,Evet,,,,100.0,Evet,Evet,300 TL,,,,
26,2014,Erkek,31 Mayis 1992,Ankara,İstanbul,İHSAN DOĞRAMACI BİLKENT,Özel,Bilgisayar Mühendisliği,4,3.24,Hayır,,İçel Anadolu Lisesi,Mersin,Anadolu lisesi,3.00 - 4.00,Yüksek Lisans / Doktora,Evet,Yüksek Lisans / Doktora,Evet,0.0,100.0,Evet,Hayır,,,,Evet,Hayır
27,2014,Erkek,2/8/1995,Adana,Buca/İzmir,İSTANBUL TİCARET ÜNİVERSİTESİ,Özel,İç mimarlık ve çevre tasarımı,2,3.99,Hayır,,Çeaş anadolu lisesi,Adana,Anadolu lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Evet
28,2014,Erkek,1/23/1994,Adana,İstanbul,İHSAN DOĞRAMACI BİLKENT,Özel,Bİlgisayar Teknolojisi ve Bilişim Sistemleri,1,3.72,Hayır,,Başkent Üniversitesi Özel Başkent Okulları,Adana,Anadolu lisesi,3.50-3,Lise,Emekli,Lise,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
29,2014,Erkek,7/23/1994,istanbul,Sarıyer/İstanbul,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Özel,bankacılık ve sigortacılık,2,3.32,Hayır,,ahmet rasim lisesi,istanbul,Düz lise,3.00-2.50,Lise,Hayır,Ortaokul Mezunu,Emekli,2.0,100.0,Evet,Hayır,,,,Hayır,Hayır
30,2014,Erkek,4/23/1995,Sakarya,Ordu,BEYKENT ÜNİVERSİTESİ,Özel,Yönetim Bilişim Sistemleri,2,2.6,Hayır,,Sapanca Anadolu Lisesi,Sakarya,Anadolu lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,Üniversite,Evet,1.0,100.0,Hayır,Hayır,,,,Evet,Hayır
31,2014,Erkek,4/24/1992,BAKIRKÖY-İSTANBUL,İstanbul,AVRASYA ÜNİVERSİTESİ,Özel,Maliye,4,2.23,Hayır,,Mehmet Akif Ersoy Anadolu Lisesi,İstanbul,Anadolu lisesi,3.00-2.50,Ortaokul Mezunu,Hayır,Ortaokul Mezunu,Emekli,3.0,100.0,evet,Hayır,,,,Hayır,Hayır
32,2014,Erkek,9/24/1993,ADANA,İstanbul,OKAN ÜNİVERSİTESİ,Özel,Enerji Sistemleri Mühendisliği,3,2.03,Hayır,,19 Mayıs Anadolu Lisesi,Mersin,Anadolu lisesi,3.00 - 4.00,Lise,Hayır,Lise,Emekli,4.0,100.0,Evet,Evet,150 TL,,,Evet,Hayır
33,2014,Erkek,26 Mayis 1995,Ankara,İzmir,İZMİR EKONOMİ ÜNİVERSİTESİ,Özel,İşletme,1,3.15,Hayır,,Gazi Lisesi,İzmir,Düz lise,3.00 - 4.00,Lise,Hayır,Lise,Emekli,0.0,100.0,Evet,Hayır,,,,Hayır,Hayır
34,2014,Kadın,24 Mayis 1994,Ankara/Çankaya,İstanbul,İSTANBUL BİLGİ ÜNİVERSİTESİ,Özel,Sahne ve Gösteri Sanatları Yönetimi,1,2.33,Hayır,,Sokullu Mehmet Paşa Lisesi,Ankara,Düz lise,3.50-3,İlkokul Mezunu,Hayır,Lise,Emekli,2.0,100.0,Evet,Evet,300,,,Hayır,Hayır
35,2014,Erkek,2/13/1992,Fethiye-Muğla,İzmir,KOÇ ÜNİVERSİTESİ,Özel,Bilgisayar Mühendisliği,3,3.9,Hayır,,Bornova Anadolu Lisesi,İzmir,Anadolu lisesi,3.00 - 4.00,Üniversite,Emekli,Üniversite,Evet,0.0,100.0,Evet,Evet,430tlyılda 10 ay,,,Evet,Hayır
36,2014,Kadın,7/2/1992,KARS,İstanbul,OKAN ÜNİVERSİTESİ,Özel,SEYAHAT İŞLETMECİLİĞİ,4,3.72,Evet,,BEYOĞLU AYŞE EGE ANADOLU KIZ MESLEK LİSESİ,İSTANBUL,Meslek lisesi,3.00 - 4.00,İlkokul Mezunu,Evet,İlkokul Mezunu,Emekli,1.0,100.0,Evet,Evet,400,,,Hayır,Hayır
37,2014,Kadın,29 Aralik 1990,hatay,Osmaniye,OKAN ÜNİVERSİTESİ,Özel,Uluslararası ilişkiler,3,3.7,Hayır,,Özel biltepe lisesi,Osmaniye,Özel lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,Evet,Evet,300,,,Hayır,Hayır
38,2014,Kadın,1/12/1995,Uskudar,,HALİÇ ÜNİVERSİTESİ,Özel,Isletme Enformatigi,2,3.04,Hayır,,Fatih Vatan Lisesi,Istanbul,Düz lise,3.50-3,Lise,Evet,Lise,Emekli,2.0,100.0,Evet,Hayır,,,,Hayır,Hayır
39,2014,Erkek,22 Mayis 1992,Konak / İZMİR,İZMİR,İZMİR ÜNİVERSİTESİ,Özel,Yazılım Mühendisliği,3,3.43,Hayır,,Yıldız Tınas İzmiroğlu Anadolu Lisesi,İzmir,Anadolu lisesi,3.50-3,Ortaokul Mezunu,Evet,İlkokul Mezunu,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
40,2014,Kadın,8/4/1993,Kadıköy,İstanbul,IŞIK ÜNİVERSİTESİ,Özel,Endüstri Mühendisliği,3,2.66,Hayır,,Manavgat Anadolu Lisesi,Antalya,Anadolu lisesi,3.00 - 4.00,Lise,Emekli,Lise,Evet,0.0,100.0,evet,Evet,250 TL,,,Hayır,Evet
41,2014,Kadın,1/10/1990,Ankara,İstanbul,TURGUT ÖZAL ÜNİVERSİTESİ,Özel,İşletme,Mezun,2.98,Hayır,,Batıkent Lisesi,Ankara,Düz lise,3.00-2.50,Lise,Emekli,Üniversite,Emekli,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
42,2014,Kadın,6/12/1995,Mersin,İstanbul,İSTANBUL BİLGİ ÜNİVERSİTESİ,Özel,Ekonomi,2,3.06,Hayır,,İçel Anadolu Lisesi,Mersin,Anadolu lisesi,3.00 - 4.00,Lise,Evet,Üniversite,Evet,0.0,100.0,Evet,Hayır,,,,Evet,Hayır
43,2014,Kadın,28 Mayis 1991,İzmir,İstanbul,ATILIM ÜNİVERSİTESİ,Özel,Hukuk,4,3.55,Hayır,,Bergama Akif Ersezgin Anadolu Lisesi,İzmir,Anadolu lisesi,3.50-3,Lise,Hayır,Üniversite,Evet,1.0,100.0,Hayır,Hayır,,,,Hayır,Hayır
44,2014,Kadın,6/12/1995,Erzurum,İzmir,İZMİR EKONOMİ ÜNİVERSİTESİ,Özel,Matematik,Hazırlık,3.21,Hayır,,Mecidiye Anadolu Lisesi,Erzurum,Anadolu lisesi,3.00 - 4.00,Lise,Hayır,Üniversite,Evet,2.0,100.0,Evet,Hayır,,,,Evet,Hayır
45,2014,Kadın,5 Kasim 1993,malatya,İstanbul,NİŞANTAŞI ÜNİVERSİTESİ,Özel,sıvıl hava ulastırma ısletmecılıgı,2,3.5,Hayır,,cumhurıyet anadolu lısesi,malatya,Anadolu lisesi,3.00 - 4.00,Eğitim Yok,Hayır,İlkokul Mezunu,Emekli,7.0,100.0,Evet,Hayır,,,,Hayır,Hayır
46,2014,Erkek,9/3/1994,Beyoğlu,Maltepe/İstanbul,İSTANBUL AYDIN ÜNİVERSİTESİ,Özel,Bilgisayar Teknolojileri,2,3.36,Hayır,,Küçükköy Anadolu Teknik ve Endüstri Meslek Lisesi,İstanbul,Meslek lisesi,3.00-2.50,İlkokul Mezunu,Hayır,İlkokul Mezunu,Evet,3.0,100.0,Evet,Hayır,,,,Hayır,Hayır
47,2014,Kadın,14 Kasim 1993,Manisa,Antalya,UFUK ÜNİVERSİTESİ,Özel,Uluslararası Ticaret,4,2.34,Hayır,,Akev Koleji,Antalya,Anadolu lisesi,3.50-3,Lise,Hayır,Lise,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
48,2014,Kadın,9/16/1992,İstanbul,İstanbul,BAHÇEŞEHİR ÜNİVERSİTESİ,Özel,Hukuk,4,2.43,Hayır,,Özel Saint Joseph Fransız Lisesi,İstanbul,Özel lisesi,3.50-3,Yüksek Lisans / Doktora,Evet,Yüksek Lisans / Doktora,Evet,0.0,100.0,Hayır,Hayır,,,,Hayır,Hayır
49,2014,Kadın,9/12/1993,Melikgazi,Ankara,BAŞKENT ÜNİVERSİTESİ,Özel,Sınıf öğretmenliği,3,3.98,Hayır,,Tınaztepe lisesi,Ankara,Düz lise,3.00 - 4.00,Lise,Hayır,Üniversite,Evet,1.0,100.0,Hayır,Hayır,,,,Hayır,Hayır
50,2014,Kadın,1/25/1993,Sanliurfa,Antalya,SABANCI ÜNİVERSİTESİ,Özel,Üretim sistemleri mühendisligi,3,2.48,Hayır,,Bolu Anadolu Ögretmen Lisesi,Bolu,Anadolu lisesi,3.00 - 4.00,Üniversite,Emekli,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
51,2014,Kadın,21 Aralik 1992,Çorum,İstanbul,FATİH SULTAN MEHMET VAKIF,Özel,Psikoloji,3,2.6,Hayır,,Üsküdar Anadolu Lisesi,İstanbul,Anadolu lisesi,3.00-2.50,İlkokul Mezunu,Hayır,İlkokul Mezunu,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
52,2014,Kadın,2/17/1993,Gross-UmstadtAlmanya,Ankara,İHSAN DOĞRAMACI BİLKENT,Özel,Bankacılık ve Finans,1,3.06,Hayır,,Anadolu Öğretmen Lisesi,Afyonkarahisar,Anadolu lisesi,3.00-2.50,Lise,Evet,,,,100.0,Evet,Evet,300 TL,,,,
53,2014,Kadın,8/29/1993,Çanakkale-Merkez,Florya/İstanbul,İHSAN DOĞRAMACI BİLKENT,Özel,Bilgisayar Mühendisliği,3,2.51,Hayır,,Çanakkale Fen Lisesi,Çanakkale,Fen lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
54,2014,Kadın,2/26/1992,SULTANBEYLİ,Gaziosmanpaşa/İstanbul,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Özel,Felsefe,2,3.6,Hayır,,Mevlana Lisesi,İSTANBUL,Düz lise,3.00 - 4.00,İlkokul Mezunu,Hayır,,,,100.0,Evet,Hayır,,,,,
55,2014,Kadın,3/12/1994,Ankara,İstanbul,OKAN ÜNİVERSİTESİ,Özel,uluslarararası ticaret,2,3.22,Hayır,,ali dilmen anadolu lisesi,sakarya,Anadolu lisesi,3.00 - 4.00,Ortaokul Mezunu,Evet,İlkokul Mezunu,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
56,2014,Kadın,1 Mayis 1993,Kadikoy/Istanbul,Istanbul,MALTEPE ÜNİVERSİTESİ,Özel,Mimarlik,3,2.5,Hayır,,Afyon Ali Çağlar Anadolu Lisesi Afyon Milli Piyango Anadolu Lisesi,Afyonkarahisar,Anadolu lisesi,3.50-3,Üniversite,Evet,Yüksek Lisans / Doktora,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
57,2014,Kadın,6/30/1994,Antalya,Etimesgut/Ankara,ULUSLARARASI ANTALYA ÜNİVERSİTESİ,Özel,Endüstri Mühendisliği,2,2.2,Hayır,,Antalya Anadolu Lisesi,Antalya,Anadolu lisesi,3.00 - 4.00,Lise,Hayır,Lise,Evet,3.0,100.0,Evet,Hayır,,,,Evet,Hayır
58,2014,Kadın,2/27/1991,Gemlik,İstanbul,OKAN ÜNİVERSİTESİ,Özel,Spor Yönetimi,1,3.89,Evet,,Celal Bayar Anadolu Lisesi,Gemlik,Anadolu lisesi,3.50-3,Lise,Evet,,,,100.0,Evet,Hayır,,,,,
59,2014,Kadın,1/11/1993,ankara,İstanbul,BAŞKENT ÜNİVERSİTESİ,Özel,uluslararası ticaret,2,2.11,Hayır,,gulveren lisesi,ankara,Düz lise,3.00 - 4.00,Ortaokul Mezunu,Hayır,,,,100.0,Hayır,Hayır,,,,,
60,2014,Kadın,3/17/1991,Ünye,İstanbul,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Özel,Felsefe,3,3.15,Hayır,,İkizce Lisesi,Ordu,Düz lise,3.00 - 4.00,Ortaokul Mezunu,Hayır,,,,100.0,Evet,Hayır,,,,,
61,2014,Erkek,9/1/1992,antalya,İstanbul,TOBB EKONOMİ VE TEKNOLOJİ,Özel,uluslararası ilişkiler,2,2.99,Hayır,,çaglayan lisesi,antalya,Düz lise,2.50 ve altı,İlkokul Mezunu,Emekli,İlkokul Mezunu,Evet,2.0,100.0,Hayır,Hayır,,,,Evet,Evet
62,2014,Erkek,7/13/1994,Meram/Konya,Konya,KTO KARATAY ÜNİVERSİTESİ,Özel,İşletme,2,2.33,Hayır,,Dolapoğlu Anadolu Lisesi,Konya,Anadolu lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,Üniversite,Emekli,3.0,100.0,Evet,Hayır,,,,Hayır,Hayır
63,2014,Erkek,2/1/1991,çankırı/şabanözü,İstanbul,TOBB EKONOMİ VE TEKNOLOJİ,Özel,iktisat,3,2.61,Hayır,,pursaklar ayyıldız anadolu lisesi,ankara,Anadolu lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,İlkokul Mezunu,Emekli,3.0,100.0,Evet,Hayır,,,,Evet,Hayır
64,2014,Erkek,8/1/1990,İstanbul,İstanbul,KOÇ ÜNİVERSİTESİ,Özel,İşletme,4,3.61,Hayır,,Uskudar Amerikan Lisesi,İstanbul,Özel lisesi,3.00-2.50,Üniversite,Evet,Üniversite,Evet,0.0,100.0,hayır,Hayır,,,,Evet,Hayır
65,2014,Erkek,30 Mayis 1992,Malatya,İstanbul,İSTANBUL AREL ÜNİVERSİTESİ,Özel,Görsel İletişim Tasarımı,3,2.97,Hayır,,Beylikdüzü Cahit Zarifoğlu Lisesi,İstanbul,Düz lise,3.50-3,Lise,Evet,Üniversite,Evet,2.0,100.0,evet,Hayır,,,,Evet,Evet
66,2014,Erkek,9/22/1994,Ankara,ANKARA,İHSAN DOĞRAMACI BİLKENT,Özel,Bilgisayar Mühendisliği,3,2.36,Hayır,,TED Ankara Koleji,Ankara,Özel lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Evet,1.0,100.0,hayır,Hayır,,,,Evet,Hayır
67,2014,Erkek,1/1/1994,Eskişehir,,ÇANKAYA ÜNİVERSİTESİ,Özel,İşletme İngilizce - Tam Burslu,2,2.67,Hayır,,Cem Bakioğlu Anadolu Lisesi,İzmir,Anadolu lisesi,3.00-2.50,Lise,Emekli,Üniversite,Emekli,0.0,100.0,Evet,Hayır,,,,Evet,Hayır
68,2014,Erkek,10/7/1995,Istanbul,İstanbul,BAHÇEŞEHİR ÜNİVERSİTESİ,Özel,Isletme Muhendisligi,1,3.01,Hayır,,Bahcesehir Koleji Manavgat,Antalya,Özel lisesi,3.00 - 4.00,Üniversite,Emekli,Üniversite,Evet,,100.0,Evet,Hayır,,,,Hayır,Hayır
69,2014,Erkek,3/12/1992,Beykoz,,İSTANBUL AREL ÜNİVERSİTESİ,Özel,International Relations,2,2.35,Hayır,,Ahmet Keleşoğlu Anadolu Lisesi,İstanbul,Anadolu lisesi,3.50-3,Lise,Evet,Lise,Evet,1.0,100.0,Evet,Evet,300,,,Hayır,Hayır
70,2014,Kadın,2 Mayis 1991,İzmir,İzmir,İZMİR EKONOMİ ÜNİVERSİTESİ,Özel,Medya ve İletişim,4,3.08,Hayır,,Tegmen Ali Riza Akinci Anadolu Lisesi,İzmir,Anadolu lisesi,3.00 - 4.00,Lise,Hayır,Lise,Emekli,3.0,100.0,Evet,Evet,Toplamda 1000 lira fakat mezun oldugun icin devam etmiyor,,,Evet,Hayır
71,2014,Kadın,8/4/1992,Fatih,,FATİH ÜNİVERSİTESİ,Özel,Felsefe,2,3.49,Hayır,,Ensar Koleji,İstanbul,Özel lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,Lise,Emekli,3.0,100.0,Evet,Hayır,,,,Evet,Hayır
72,2014,Kadın,10/22/1992,izmir,,BAHÇEŞEHİR ÜNİVERSİTESİ,Özel,"uluslararası finans, uluslararası ticaret ve işletmecilik",4,2.25,Hayır,,izmir buca fatma saygın anadolu lisesi,izmir,Anadolu lisesi,3.00 - 4.00,Üniversite,Evet,Üniversite,Emekli,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
73,2014,Kadın,7/26/1993,ADANA,Istanbul,KOÇ ÜNİVERSİTESİ,Özel,EKONOMİ,3,3.03,Hayır,,FLORYA FİNAL ANADOLU LİSESİ,ISTANBUL,Anadolu lisesi,3.00 - 4.00,Lise,Emekli,Lise,Emekli,2.0,100.0,Evet,Hayır,,,,Evet,Hayır
74,2014,Kadın,25 Mayis 1994,İstanbul,,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Özel,Hukuk,3,3.29,Hayır,,Arnavutköy Korkmaz Yiğit Anadolu Lisesi,İstanbul,Anadolu lisesi,3.00 - 4.00,Üniversite,Emekli,Lise,Evet,1.0,100.0,evet,Hayır,,,,Evet,Hayır
