Column,Value,Count
Dogum Tarihi,25 Mayis 1994,16
Dogum Tarihi,9/1/1997,15
Dogum Tarihi,5/1/1997,15
Dogum Tarihi,13 Mayis 1993,15
Dogum Tarihi,4/9/01 0:00,15
Dogum Tarihi,4/14/1995,15
Dogum Tarihi,4/5/00 0:00,15
Dogum Tarihi,15-Sep-95,15
Dogum Tarihi,7/26/00 0:00,15
Dogum Tarihi,3/5/99 0:00,15
Dogum Tarihi,5/25/00 0:00,15
Dogum Tarihi,11/10/00 0:00,15
Dogum Tarihi,19 Mayis 1994,15
Dogum Tarihi,1/14/99 0:00,15
Dogum Tarihi,1/21/01 0:00,15
Dogum Tarihi,9/5/99 0:00,15
Dogum Tarihi,2-Jan-95,15
Dogum Tarihi,6/26/1997,15
Dogum Tarihi,3/11/00 0:00,15
Dogum Tarihi,7/20/01 0:00,15
Dogum Tarihi,2/20/00 0:00,15
Dogum Tarihi,1.01.1998 00:00,15
Dogum Tarihi,3/19/01 0:00,15
Dogum Tarihi,3/1/1993,15
Dogum Tarihi,5/21/01 0:00,15
Dogum Tarihi,1.09.2001 00:00,15
Dogum Tarihi,7/17/00 0:00,15
Dogum Tarihi,9/15/01 0:00,15
Dogum Tarihi,4/4/1996,15
Dogum Tarihi,9/5/1996,15
Dogum Tarihi,4/24/01 0:00,15
Dogum Tarihi,8/5/1997,15
Dogum Tarihi,6/4/99 0:00,15
Dogum Tarihi,2/23/00 0:00,15
Dogum Tarihi,1/4/1999,15
Dogum Tarihi,11/7/00 0:00,15
Dogum Tarihi,9/6/1995,15
Dogum Tarihi,5/10/1997,15
Dogum Tarihi,2/3/00 0:00,15
Dogum Tarihi,1/11/99 0:00,15
Dogum Tarihi,2/26/99 0:00,15
Dogum Tarihi,3/17/00 0:00,15
Dogum Tarihi,1/5/1996,15
Dogum Tarihi,2/7/1998,15
Dogum Tarihi,7/12/1998,15
Dogum Tarihi,2/20/1993,15
Dogum Tarihi,1/8/01 0:00,15
Dogum Tarihi,1/9/1998,15
Dogum Tarihi,17/07/1998,15
Dogum Tarihi,12/1/00 0:00,15
Dogum Tarihi,10/29/99 0:00,15
Dogum Tarihi,9/29/99 0:00,15
Dogum Tarihi,3/20/98 0:00,15
Dogum Tarihi,4/3/1997,15
Dogum Tarihi,1/28/00 0:00,15
Dogum Tarihi,1/4/00 0:00,15
Dogum Tarihi,5/22/01 0:00,15
Dogum Tarihi,10/4/1996,15
Dogum Tarihi,9/10/1995,15
Dogum Tarihi,7/29/00 0:00,15
Dogum Tarihi,3/1/1996,15
Dogum Tarihi,3/7/01 0:00,15
Dogum Tarihi,2/2/1997,15
Dogum Tarihi,6/15/1993,15
Dogum Tarihi,4/17/1995,15
Dogum Tarihi,2/1/1995,15
Dogum Tarihi,6/6/1995,15
Dogum Tarihi,6/1/1994,15
Dogum Tarihi,1/12/1995,15
Dogum Tarihi,8/5/98 0:00,15
Dogum Tarihi,10/10/1996,15
Dogum Tarihi,4/24/00 0:00,15
Dogum Tarihi,10/2/1999,14
Dogum Tarihi,1/7/1997,14
Dogum Tarihi,7/26/99 0:00,14
Dogum Tarihi,5/2/1998,14
Dogum Tarihi,10.10.2000 00:00,14
Dogum Tarihi,20/06/1998,14
Dogum Tarihi,7/1/1998,14
Dogum Tarihi,5/5/1995,14
Dogum Tarihi,5/18/00 0:00,14
Dogum Tarihi,6 Mayis 1994,14
Dogum Tarihi,7/7/1993,14
Dogum Tarihi,3 Mayis 1995,14
Dogum Tarihi,1 Kasim 1992,14
Dogum Tarihi,1.05.2001 00:00,14
Dogum Tarihi,7/3/1998,14
Dogum Tarihi,7/5/1997,14
Dogum Tarihi,1/12/1996,14
Dogum Tarihi,1 Kasim 1994,14
Dogum Tarihi,1/7/1996,14
Dogum Tarihi,3/8/1997,14
Dogum Tarihi,8/10/1996,14
Dogum Tarihi,3/4/1996,14
Dogum Tarihi,1/8/1998,14
Dogum Tarihi,6/1/1998,14
Dogum Tarihi,8/1/1998,14
Dogum Tarihi,9/1/1996,14
Dogum Tarihi,7/1/1994,14
Dogum Tarihi,9/9/1996,14
Dogum Tarihi,7/20/1997,14
Dogum Tarihi,5/4/1998,14
Dogum Tarihi,8/1/1995,14
Dogum Tarihi,7/5/1995,14
Dogum Tarihi,12/10/1996,14
Dogum Tarihi,6/10/1997,14
Dogum Tarihi,3/3/1998,14
Dogum Tarihi,6/10/1995,14
Dogum Tarihi,15/01/1998,14
Dogum Tarihi,3/29/01 0:00,14
Dogum Tarihi,4/25/01 0:00,14
Dogum Tarihi,3/24/00 0:00,14
Dogum Tarihi,3/20/00 0:00,14
Dogum Tarihi,2/18/99 0:00,14
Dogum Tarihi,6/1/98 0:00,14
Dogum Tarihi,12/2/99 0:00,14
Dogum Tarihi,12/15/00 0:00,14
Dogum Tarihi,2/24/01 0:00,14
Dogum Tarihi,6/20/99 0:00,14
Dogum Tarihi,10/1/99 0:00,14
Dogum Tarihi,7/18/00 0:00,14
Dogum Tarihi,6/10/1998,14
Dogum Tarihi,10/3/00 0:00,14
Dogum Tarihi,2/7/00 0:00,14
Dogum Tarihi,8/3/99 0:00,14
Dogum Tarihi,8/27/99 0:00,14
Dogum Tarihi,5/29/01 0:00,14
Dogum Tarihi,3/21/01 0:00,14
Dogum Tarihi,8/6/01 0:00,14
Dogum Tarihi,5/25/01 0:00,14
Dogum Tarihi,6/27/01 0:00,14
Dogum Tarihi,4/4/01 0:00,14
Dogum Tarihi,1/29/00 0:00,14
Dogum Tarihi,1/6/01 0:00,14
Dogum Tarihi,4/4/00 0:00,14
Dogum Tarihi,8/11/99 0:00,14
Dogum Tarihi,6/29/01 0:00,14
Dogum Tarihi,4/20/01 0:00,14
Dogum Tarihi,2/20/01 0:00,14
Dogum Tarihi,10/12/00 0:00,14
Dogum Tarihi,2/12/99 0:00,14
Dogum Tarihi,4/27/00 0:00,14
Dogum Tarihi,9/9/00 0:00,14
Dogum Tarihi,9/20/99 0:00,14
Dogum Tarihi,8/6/99 0:00,14
Dogum Tarihi,1/18/00 0:00,14
Dogum Tarihi,7/7/00 0:00,14
Dogum Tarihi,1-Mar-95,14
Dogum Tarihi,1/25/00 0:00,14
Dogum Tarihi,8/10/99 0:00,14
Dogum Tarihi,2/2/1999,14
Dogum Tarihi,6/26/1995,14
Dogum Tarihi,1/11/1995,14
Dogum Tarihi,7/30/99 0:00,14
Dogum Tarihi,10/30/99 0:00,14
Dogum Tarihi,7/7/99 0:00,14
Dogum Tarihi,3/23/00 0:00,14
Dogum Tarihi,7/10/00 0:00,14
Dogum Tarihi,8/25/98 0:00,14
Dogum Tarihi,7/28/00 0:00,14
Dogum Tarihi,7/24/00 0:00,14
Dogum Tarihi,1/10/99 0:00,14
Dogum Tarihi,8/7/00 0:00,14
Dogum Tarihi,1/12/00 0:00,14
Dogum Tarihi,1/22/01 0:00,14
Dogum Tarihi,1/8/00 0:00,14
Dogum Tarihi,8/11/1997,14
Dogum Tarihi,2/10/99 0:00,14
Dogum Tarihi,6/12/1995,14
Dogum Tarihi,20 Mayis 1995,14
Dogum Tarihi,4/23/00 0:00,14
Dogum Tarihi,9/10/00 0:00,14
Dogum Tarihi,8/15/99 0:00,14
Dogum Tarihi,7/10/1994,14
Dogum Tarihi,11/10/01 0:00,14
Dogum Tarihi,12 Mayis 1994,14
Dogum Tarihi,3/27/00 0:00,14
Dogum Tarihi,8/31/00 0:00,14
Dogum Tarihi,1/11/00 0:00,14
Dogum Tarihi,7/20/1995,14
Dogum Tarihi,4/1/1994,14
Dogum Tarihi,3/19/99 0:00,14
Dogum Tarihi,2/1/1996,14
Dogum Tarihi,1/25/1994,14
Dogum Tarihi,1-Sep-93,14
Dogum Tarihi,7/24/01 0:00,14
Dogum Tarihi,1/7/98 0:00,14
Dogum Tarihi,7/3/1997,14
Dogum Tarihi,9/23/98 0:00,14
Dogum Tarihi,5/26/01 0:00,14
Dogum Tarihi,8/30/01 0:00,13
Dogum Tarihi,8/23/01 0:00,13
Dogum Tarihi,15/06/1998,13
Dogum Tarihi,1/5/1998,13
Dogum Tarihi,17.07.2000 00:00,13
Dogum Tarihi,1-Oct-93,13
Dogum Tarihi,2/1/1998,13
Dogum Tarihi,11/14/00 0:00,13
Dogum Tarihi,2/4/00 0:00,13
Dogum Tarihi,7/15/02 0:00,13
Dogum Tarihi,4/14/00 0:00,13
Dogum Tarihi,7/15/00 0:00,13
Dogum Tarihi,4/10/1996,13
Dogum Tarihi,7/25/00 0:00,13
Dogum Tarihi,8/29/01 0:00,13
Dogum Tarihi,1/2/02 0:00,13
Dogum Tarihi,3/10/1993,13
Dogum Tarihi,6/27/00 0:00,13
Dogum Tarihi,8/1/02 0:00,13
Dogum Tarihi,7/25/1996,13
Dogum Tarihi,6/15/01 0:00,13
Dogum Tarihi,1/8/1996,13
Dogum Tarihi,1993-01-01,13
Dogum Tarihi,9/10/1996,13
Dogum Tarihi,1996-09-13,13
Dogum Tarihi,1/6/99 0:00,13
Dogum Tarihi,4/17/00 0:00,13
Dogum Tarihi,7/25/01 0:00,13
Dogum Tarihi,2/2/02 0:00,13
Dogum Tarihi,5/6/1998,13
Dogum Tarihi,3/14/00 0:00,13
Dogum Tarihi,9/12/99 0:00,13
Dogum Tarihi,3/10/00 0:00,13
Dogum Tarihi,6/6/1998,13
Dogum Tarihi,11/20/98 0:00,13
Dogum Tarihi,8/22/97 0:00,13
Dogum Tarihi,8/25/1995,13
Dogum Tarihi,4/8/1995,13
Dogum Tarihi,8/15/00 0:00,13
Dogum Tarihi,5/21/00 0:00,13
Dogum Tarihi,4/16/01 0:00,13
Dogum Tarihi,1/4/1995,13
Dogum Tarihi,3/10/1997,13
Dogum Tarihi,1/6/00 0:00,13
Dogum Tarihi,9/25/1995,13
Dogum Tarihi,1/2/1996,13
Dogum Tarihi,1/12/01 0:00,13
Dogum Tarihi,1 Mayis 1994,13
Dogum Tarihi,10 Aralik 1993,13
Dogum Tarihi,15.06.2000 00:00,13
Dogum Tarihi,4/23/1994,13
Dogum Tarihi,9/1/1995,13
Dogum Tarihi,7/4/99 0:00,13
Dogum Tarihi,1/5/1999,13
Dogum Tarihi,7/1/1995,13
Dogum Tarihi,3/3/99 0:00,13
Dogum Tarihi,12/6/00 0:00,13
Dogum Tarihi,1/13/01 0:00,13
Dogum Tarihi,1/27/00 0:00,13
Dogum Tarihi,6/2/1998,13
Dogum Tarihi,3/21/00 0:00,13
Dogum Tarihi,8/2/1995,13
Dogum Tarihi,20/10/1998,13
Dogum Tarihi,3/1/1995,13
Dogum Tarihi,20/09/1999,13
Dogum Tarihi,3/8/1998,13
Dogum Tarihi,5/3/99 0:00,13
Dogum Tarihi,7/3/00 0:00,13
Dogum Tarihi,25/08/1998,13
Dogum Tarihi,10/5/1997,13
Dogum Tarihi,8/7/1996,13
Dogum Tarihi,8/8/1997,13
Dogum Tarihi,9/10/01 0:00,13
Dogum Tarihi,10/7/1997,13
