Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
psikoloji,2,3.00 - 4.00,hayir,
yonetim bilimleri,1,,hayir,
gorsel iletisim tasarimi,2,3.00 - 4.00,hayir,
psikoloji,2,3.00 - 3.50,hayir,
enerji sistemleri muhendisligi,1,,hayir,
hukuk,3,3.00 - 4.00,hayir,
uluslarasi iliskiler - iktisat cift anadal programi,3,3.00 - 3.50,hayir,
"matematik-bilgisayar,bilgisayar muhendisligi",3,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,4,3.00 - 4.00,hayir,
halkla iliskiler tanitim,4,3.00 - 3.50,hayir,
uluslararasi ticaret,1,3.00 - 4.00,hayir,
uluslararasi ticaret,1,,hayir,
ekonomiingilizce,1,3.00 - 3.50,hayir,
psikoloji,3,2.50 - 3.00,hayir,
bankacilik ve sigortacilik,2,2.50 - 3.00,hayir,
biyomedikal muhendisligi,3,3.00 - 3.50,hayir,
enformasyon teknolojileri,4,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
uluslararasi iliskiler/ yandal-iktisat,3,3.00 - 3.50,hayir,
rehberlik ve psikolojik danismanlik,1,,hayir,
hukuk,2,3.00 - 4.00,hayir,
uluslararasi ticaret,1,,hayir,
kimya ve biyoloji muhendisligi,2,0.00 - 2.50,hayir,
saglik kurumlari yonetimi,2,3.00 - 4.00,hayir,
dis hekimligi,3,3.00 - 4.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
halkla iliskiler ve reklamcilik,3,3.00 - 3.50,evet,
makine muhendisligi,3,3.00 - 4.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
mimarlik,2,2.50 - 3.00,hayir,
ekonomi,4,2.50 - 3.00,hayir,
ekonomi,3,3.00 - 3.50,hayir,
siyaset bilimi ve kamu yonetimi,3,0.00 - 2.50,hayir,
bilgisayar ve egitim teknolojileri ogretmenligi,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
televizyon haberciligi ve programciligi,2,3.00 - 3.50,hayir,
ingiliz dili veedebiyati,3,0.00 - 2.50,hayir,
mimarlik,1,,hayir,
uluslararasi isletme yonetimi,4,3.00 - 3.50,hayir,
psikoloji,4,3.00 - 4.00,hayir,
psikoloji,2,0.00 - 2.50,hayir,
makine muhendisligi,2,0.00 - 2.50,hayir,
mimarlik,2,2.50 - 3.00,hayir,
mimarlik,4,2.50 - 3.00,hayir,
psikoloji,4,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler psikoloji bolumu ile cift anadal,4,3.00 - 3.50,hayir,
isletme enformatigi,3,2.50 - 3.00,hayir,
muhendislik ve doga bilimleri fakultesi,1,,hayir,
malzeme bilimi ve muhendisligi,1,,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
psikoloji,2,0.00 - 2.50,hayir,
mutercim tercumanlik,3,0.00 - 2.50,hayir,
hukuk,1,2.50 - 3.00,hayir,
yonetim bilisim sistemleri ve yazilim muhendisligi,4,3.00 - 3.50,hayir,
isletme-ekonomi,1,,hayir,
iktisat,4,3.00 - 4.00,hayir,
isletme. uluslararasi ticaret ve lojistik cap,3,3.00 - 4.00,hayir,
isletme bilgi yonetimi,3,3.00 - 4.00,hayir,
uluslararasi girisimcilik,3,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler,1,,hayir,
uluslararasi ticaret ve isletmecilik,3,3.00 - 3.50,hayir,
uluslararasi ticaret,hazirlik,,hayir,
tip,3,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,1,,hayir,
iktisat,2,3.00 - 4.00,hayir,
bilgisayar muhendisligi %50 burslu,4,2.50 - 3.00,hayir,
mekatronik muhendisligi,1,0.00 - 2.50,hayir,
otel yoneticiligi,1,,hayir,
uluslararasi iliskiler ve ab,2,3.00 - 3.50,hayir,
ingilizce isletme,3,2.50 - 3.00,hayir,
uluslararasi iliskiler,3,3.00 - 3.50,hayir,
siyaset bilimi ve uluslararas iliskiler,2,3.00 - 3.50,hayir,
uluslararasi iliskiler / ekonomi cift anadal,3,3.00 - 3.50,hayir,
uluslararasi ticaret ve pazarlama %100 ingilizce,4,3.00 - 4.00,hayir,
psikoloji,2,3.00 - 4.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
turizm ve otel isletmeciligi,1,3.00 - 3.50,hayir,
"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal programi",3,3.00 - 3.50,hayir,
hukuk,1,,hayir,
makine muhendisligi,4,0.00 - 2.50,hayir,
isletme,2,2.50 - 3.00,hayir,
hukuk,1,,hayir,
uluslararasi lojistik ve tasimacilik,4,3.00 - 4.00,hayir,
hukuk,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
bilgisayar muhendisligi,2,3.00 - 4.00,hayir,
fizik tedavi ve rehabilitasyon,1,,hayir,
isletme - yari burs tr siralama: 5000,2,2.50 - 3.00,hayir,
gemi makineleri isletme muhendisligi,1,3.00 - 4.00,hayir,
uluslararasi lojistik ve tasimacilik,1,,hayir,
yazilim muhendisligi,4,3.00 - 3.50,hayir,
matematik bilgisayar,mezun,0.00 - 2.50,evet,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
hukuk,4,0.00 - 2.50,hayir,
ekonomi,2,3.00 - 4.00,hayir,
iktisat,1,3.00 - 4.00,hayir,
elektrik-elektronik muhendisligi ingilizce,2,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi ingilizce,2,0.00 - 2.50,hayir,
uluslararasi ticaret ve finansingilizce,4,,hayir,
hemsirelik,2,0.00 - 2.50,hayir,
okul oncesi ogretmenligi,3,3.00 - 3.50,hayir,
uluslararasi girisimcilik,1,0.00 - 2.50,hayir,
mimarlik,1,,hayir,
hukukingilizce,3,3.00 - 3.50,hayir,
malzeme bilimi ve nanoteknoloji muhendisligi,2,3.00 - 3.50,hayir,
"biemf - bachelor of international economics, management and finance",3,,hayir,
elektrik elektronik muh.,2,3.00 - 3.50,hayir,
ingilizce isletme,2,0.00 - 2.50,hayir,
tip fakultesi,3,3.00 - 4.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
mekatronik muhendisligi,4,3.00 - 3.50,hayir,
siyaset bilimi ve kamu yonetimi,mezun,3.00 - 4.00,hayir,
insaat teknolojileri,2,0.00 - 2.50,hayir,
yonetim bilisim sistemleri,3,2.50 - 3.00,hayir,
hukuk,4,3.00 - 3.50,hayir,
uluslararasi ticaret ve isletmecilik,3,0.00 - 2.50,hayir,
ilahiyat,2,3.00 - 4.00,hayir,
international relations,3,2.50 - 3.00,hayir,
ulualararasi lojistik ve tasimacilikingilizce,hazirlik,,hayir,
ekonomi ve finans,2,3.00 - 4.00,hayir,
bilgisayar muhendisligi,2,3.00 - 3.50,hayir,
insaat muhendisligi,1,,hayir,
endustri muhendisligi,4,3.00 - 4.00,hayir,
molekuler biyoloji ve genetik,mezun,3.00 - 4.00,hayir,
political science and international relations,3,3.00 - 3.50,hayir,
sosyal bilgiler ogretmenligi,2,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
kontrol ve otomasyon muhendisligiingilizce,hazirlik,,hayir,
bilgisayar muhendisligi,4,3.00 - 4.00,hayir,
computer technology and information systems,2,2.50 - 3.00,hayir,
hukuk fakultesi,4,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
dis ticaretingilizce,2,2.50 - 3.00,hayir,
endustri muhendisligi ingilizce,3,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,2,2.50 - 3.00,hayir,
genetik ve biyomuhendislik,2,2.50 - 3.00,hayir,
mimarlik,2,3.00 - 3.50,hayir,
psikoloji,1,,hayir,
psikoloji %100 burslu,4,3.00 - 3.50,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
televizyon haberciligi ve programciligi,4,3.00 - 3.50,hayir,
uluslararasi ticaret ve finansman,4,3.00 - 4.00,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
ekonomi,4,3.00 - 4.00,hayir,
uluslararasi lojistik - isletme ing cap,3,2.50 - 3.00,hayir,
mimarlik,2,0.00 - 2.50,hayir,
isletme,3,0.00 - 2.50,hayir,
lojistik yonetimi,3,3.00 - 3.50,hayir,
sosyal hizmet,4,0.00 - 2.50,hayir,
uluslararasi ticaret,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
uluslararasi ticaret ve finansman,4,3.00 - 4.00,hayir,
uluslararasi iliskiler,4,3.00 - 4.00,hayir,
psikoloji,2,2.50 - 3.00,hayir,
uluslararasi finans,3,2.50 - 3.00,hayir,
political science and international relations,2,0.00 - 2.50,hayir,
insan ve toplum bilimleri,2,0.00 - 2.50,hayir,
mimarlik,1,,hayir,
eczacilik,4,3.00 - 3.50,hayir,
peyzaj mimarligi,2,3.00 - 3.50,hayir,
reklamcilik/ sanat ve kultur yonetimi yandal,4,3.00 - 3.50,hayir,
uluslararasi finans,1,0.00 - 2.50,hayir,
matematik,3,3.00 - 3.50,hayir,
"enformasyon teknolojileri,endustri muhendisligi",4,3.00 - 3.50,hayir,
isletme,1,3.00 - 3.50,hayir,
mimarlik,4,0.00 - 2.50,hayir,
karsilastirmali edebiyat,4,2.50 - 3.00,hayir,
felsefe,3,0.00 - 2.50,evet,
turk dili ve edebiyati,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
muhasebe ve finans yonetimi,4,0.00 - 2.50,evet,
endustri muhendisligi,4,3.00 - 4.00,hayir,
mekatronik muhendisligi,1,0.00 - 2.50,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
ekonomi,3,3.00 - 3.50,hayir,
hukuk,2,2.50 - 3.00,hayir,
sinema tv,4,2.50 - 3.00,hayir,
elektronik muhendisligi,4,0.00 - 2.50,hayir,
isletme,mezun,0.00 - 2.50,hayir,
elektronik ve haberlesme muh.,3,0.00 - 2.50,hayir,
makine muhendisligi,1,,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
uluslararasi ticaret ve isletmecilik,2,,hayir,
mimarlik ingilizce tam burslu,1,3.00 - 3.50,hayir,
muhasebe bilgi sistemleri,2,2.50 - 3.00,hayir,
isletme,4,3.00 - 3.50,hayir,
vcd gorsel iletisim tasarim,1,,hayir,
insaat muhendisligi,2,0.00 - 2.50,hayir,
iletisim tasarimi,1,,hayir,
rehberlik ve psikolojik danismanlik,2,3.00 - 4.00,hayir,
uluslararasi iliskiler,2,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi - psikoloji cift anadal,3,3.00 - 3.50,hayir,
"endustri muhendisligi anadal, bilgisayar muhendisligi cift anadal",4,3.00 - 4.00,hayir,
endustri ve sistem muhendisligi,hazirlik,3.00 - 4.00,hayir,
ingilizce mutercim- tercumanlik,3,3.00 - 4.00,hayir,
isletme,4,2.50 - 3.00,hayir,
isletme muhendisligi,hazirlik,,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
hukuk,2,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
insaat muhendisligi,2,3.00 - 3.50,hayir,
yazilim muhendisligi,4,2.50 - 3.00,hayir,
bilgisayar muhendisligi,yuksek lisans,,evet,
enerji sistemleri muhendisligi,2,2.50 - 3.00,hayir,
hukuk,2,3.00 - 3.50,hayir,
ekonomi-sosyoloji cift ana dal,3,3.00 - 3.50,hayir,
isletme,4,3.00 - 4.00,hayir,
elektrik-elektronik muhendisligi,1,,hayir,
gazetecilik,4,2.50 - 3.00,hayir,
televizyon haberciligi ve programciligi,1,,hayir,
sosyal hizmet,2,3.00 - 4.00,hayir,
insaat muhendisligiingilizce,1,,hayir,
hemsirelik,2,0.00 - 2.50,hayir,
isletme,3,3.00 - 3.50,hayir,
uluslararasi iliskiler,2,3.00 - 3.50,hayir,
isletme-girisimcilik,4,3.00 - 3.50,hayir,
ingilizce isletme,3,0.00 - 2.50,hayir,
uluslararasi finans,4,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligianadal / yazilim muhendisligicift anadal,4,2.50 - 3.00,hayir,
uluslararasi ticaret,3,3.00 - 3.50,hayir,
lojistik yonetimi,4,3.00 - 4.00,hayir,
mutercim-tercumanlik,4,2.50 - 3.00,hayir,
isletmeingilizce,2,3.00 - 4.00,hayir,
tip,3,2.50 - 3.00,hayir,
ingilizce isletme,4,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi iliskiler ingilizce,2,3.00 - 4.00,hayir,
ucak muhendisligi,2,3.00 - 4.00,hayir,
uluslararasi ticaret ve isletme,3,3.00 - 4.00,hayir,
isletme,2,3.00 - 4.00,hayir,
isletme,1,,hayir,
siyaset bilimi ve uluslararasi iliskiler,3,3.00 - 4.00,hayir,
molekuler biyoloji ve genetik,4,3.00 - 3.50,hayir,
isletme-ekonomi,1,,hayir,
uluslararasi ticaretingilizce,hazirlik,,hayir,
bilgisayar ve ogretim teknolojileri egitmenligi,3,2.50 - 3.00,hayir,
hukuk fakultesi,4,0.00 - 2.50,hayir,
endustri muhendisligi,1,,hayir,
uluslararasi iliskiler,1,,hayir,
uluslararasi ticaret ve finansman,2,0.00 - 2.50,hayir,
uluslararasi ticaret ve finansman,3,3.00 - 4.00,hayir,
cevre muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
ic mimarlik,3,2.50 - 3.00,hayir,
hukuk,3,0.00 - 2.50,hayir,
mekatronik muhendisligi,2,3.00 - 4.00,hayir,
beslenme ve diyetetik,hazirlik,,hayir,
uluslararasi isletme yonetimi almanca,4,2.50 - 3.00,hayir,
matematik ve almanca cift anadali,3,3.00 - 4.00,hayir,
enformasyon teknolojileriit/endustri muhendisligicap,3,3.00 - 3.50,hayir,
bilgisayar muhendisligi,2,3.00 - 4.00,hayir,
optisyenlik,1,,evet,
felsefe,2,3.00 - 3.50,evet,
hemsirelik,1,2.50 - 3.00,hayir,
biyomedikal muhendisligi,4,0.00 - 2.50,hayir,
bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
ergoterapi,2,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,2,3.00 - 4.00,hayir,
psikoloji,4,3.00 - 4.00,hayir,
matematik muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
insaat muhendisligi,2,2.50 - 3.00,hayir,
mimarlik,2,3.00 - 3.50,hayir,
isletme ingilizce,4,0.00 - 2.50,hayir,
uluslararasi ticaret ve finansman,1,,hayir,
insaat muhendisligi,1,,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi ticaret ve isletmecilik,1,,hayir,
universite okumadim sistem istedigi icin yazim,,,hayir,
ingilizce isletme,4,3.00 - 3.50,hayir,
uluslararasi girisimcilik,2,3.00 - 3.50,hayir,
uluslararasi iliskiler- iktisat cift anadal,3,3.00 - 3.50,hayir,
elektrk ve elektonik muh. ingilice % 100,2,3.00 - 3.50,hayir,
uluslararasi iliskiler,1,,hayir,
endustri muhendisligi %100 ingilizce,3,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,4,0.00 - 2.50,hayir,
bilgisayar muhendisligi ingilizce,3,2.50 - 3.00,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
hukuk,3,3.00 - 3.50,hayir,
yazilim muhendisligi,4,0.00 - 2.50,hayir,
elektrik elektronik muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,mezun,0.00 - 2.50,evet,
endustri muhendisligi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
makine muhendisligi,2,0.00 - 2.50,hayir,
turizm isletmeciligi,3,0.00 - 2.50,hayir,
gastronomi ve mutfak sanatlari,4,0.00 - 2.50,hayir,
isletmelisans,2,3.00 - 4.00,hayir,
bankacilik ve finans,4,3.00 - 3.50,hayir,
hukuk,2,2.50 - 3.00,hayir,
uluslararasi iliskiler,4,0.00 - 2.50,hayir,
saglik yonetimi,3,3.00 - 3.50,hayir,
hukuk %30 ingilizce,2,2.50 - 3.00,hayir,
reklamcilik,2,3.00 - 3.50,hayir,
uluslararasi iliskiler,2,3.00 - 3.50,hayir,
isletme,4,2.50 - 3.00,hayir,
uluslararasi iliskiler,3,3.00 - 4.00,hayir,
rehberlik ve psikolojik danismanlik,1,,hayir,
isletme,4,3.00 - 4.00,hayir,
yazilim muhendisligi,1,3.00 - 3.50,hayir,
isletme,mezun,2.50 - 3.00,hayir,
mekatronik muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
uluslararasi ticaret,3,2.50 - 3.00,hayir,
iletisim,,,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
isletmeingilizce,hazirlik,,hayir,
bilgisayar muhendisligi,1,,hayir,
genetik ve biyomuhendislik,3,3.00 - 3.50,hayir,
isletme,1,,hayir,
bilgisayar programciligi - myo,2,3.00 - 4.00,hayir,
management information systems,4,3.00 - 4.00,hayir,
bilgisayar veya yazilim muh. olacak,1,,hayir,
bilgisayar teknolojisi ve bilisim sistemleri,2,3.00 - 3.50,hayir,
lojistik yonetimi // uluslararasi ticaret ve finansmancap,4,3.00 - 4.00,hayir,
ingilizce isletme,3,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,hazirlik,,hayir,
"enerji sistemleri muhendisligi,elektrik-elektronik muhendisligicift anadal",3,3.00 - 3.50,hayir,
bankacilik ve finans,4,3.00 - 3.50,hayir,
psikoloji,4,3.00 - 3.50,hayir,
isletme ve reklamcilik. cap yapiyorum.,4,3.00 - 3.50,hayir,
hemsirelik,2,2.50 - 3.00,hayir,
uluslararasi ticaret ve isletmecilik,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi anadal/ endustri muhendisligi ikinci anadal,3,3.00 - 3.50,hayir,
grafik,4,3.00 - 4.00,evet,
biyomedikal muhendisligi,3,3.00 - 4.00,hayir,
uluslararasi ticaret ve finansman,4,3.00 - 3.50,hayir,
hukuk,4,3.00 - 3.50,hayir,
ekonomi,hazirlik,,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
yonetim bilisim sistemleri %100 ing.,2,3.00 - 4.00,hayir,
master of business administration,1,,evet,
gorsel iletisim tasarimi,1,,hayir,
sanat sosyal fakultesi,1,,hayir,
hukuk ve medya ve iletisim sistemleri anabilim dallarinda %100 osym burslu,4,3.00 - 4.00,hayir,
ic mimarlik ve cevre tasarimi,1,,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
ekonomi ing,2,3.00 - 4.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
turk dili ve edebiyati,1,,hayir,
uluslararasi iliskiler ingilizce,4,3.00 - 3.50,hayir,
turk dili ve edebiyati,4,2.50 - 3.00,hayir,
uluslararasi ticaret ve lojistik,4,0.00 - 2.50,hayir,
petrol ve dogalgaz muhendisligi,2,0.00 - 2.50,hayir,
uluslararasi ticaret ve lojistik,3,0.00 - 2.50,hayir,
ingiliz dili ve edebiyati,1,,hayir,
geomatik muhendisligi,2,2.50 - 3.00,hayir,
biyomedikal muhendisligi,4,3.00 - 3.50,hayir,
mimarlik,3,2.50 - 3.00,hayir,
psikoloji,2,3.00 - 3.50,hayir,
halkla iliskiler,2,3.00 - 3.50,hayir,
isletmeanadal - endustri muhendisligiyandal,2,3.00 - 3.50,hayir,
insaat muhendisligi ing,1,,hayir,
uluslararasi ticaret ve finansman,3,0.00 - 2.50,hayir,
harita kadastro,2,3.00 - 4.00,hayir,
isletme,2,0.00 - 2.50,hayir,
siyaset bilimi ve kamu yonetimi,1,3.00 - 3.50,hayir,
uluslararasi isletme yonetimi,3,0.00 - 2.50,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
otomotiv teknolojileri,mezun,,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
tibbi dokumantasyon ve sekreterlik,2,3.00 - 3.50,hayir,
muhasebe,mezun,3.00 - 3.50,evet,
endustri muhendisligi,1,,hayir,
saglik kurumlari isletmeciligi,1,3.00 - 3.50,hayir,
yazilim muhendisligi,2,3.00 - 4.00,hayir,
eczacilik bolumu,4,3.00 - 4.00,hayir,
kentsel tasarim ve peyzaj mimarligi,3,2.50 - 3.00,hayir,
makine,2,0.00 - 2.50,hayir,
isletme,1,,hayir,
ekonomi,2,2.50 - 3.00,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
siyaset bilimi ve kamu yonetimi,2,3.00 - 3.50,hayir,
halkla iliskiler ve reklamcilik,2,3.00 - 3.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
elektronik muhendisligi,4,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
elektronik ve haberlesme muh.,2,0.00 - 2.50,hayir,
gazetecilik,4,0.00 - 2.50,hayir,
halkla iliskiler ve reklamcilik,1,,hayir,
otomotiv muhendisligi%100 ing,2,3.00 - 4.00,hayir,
ekonomi - yonetim bilimleri,1,3.00 - 3.50,hayir,
ingiliz dili ve edebiyati,2,2.50 - 3.00,hayir,
