Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri
2014,42.0,erkek,1994/01/26,istanbul,istanbul
2014,22.0,kadin,1995/02/03,istanbul,istanbul
2014,52.0,kadin,1994/06/29,karaman,istanbul
2014,29.0,erkek,1990/10/21,istanbul,
2014,32.0,erkek,1992/04/24,izmir,izmir
2014,26.0,kadin,1989/01/02,,
2014,30.0,kadin,1995/06/12,van,istanbul
2014,65.0,kadin,1992/01/08,samsun,istanbul
2014,44.0,kadin,1994/04/12,bingol,bingol
2014,56.0,kadin,1993/01/01,,
2014,33.0,kadin,1994/01/24,mersin,mersin
2014,61.0,kadin,1994/10/25,van,istanbul
2014,62.0,kadin,1993/03/20,izmir,izmir
2014,49.0,erkek,1993/08/30,elazig,antalya
2014,48.0,kadin,1993/05/18,istanbul,istanbul
2014,49.0,erkek,1992/09/05,giresun,istanbul
2014,18.0,erkek,1995/09/22,ankara,istanbul
2014,30.0,erkek,1992/08/24,canakkale,istanbul
2014,24.0,kadin,1992/06/30,ordu,
2014,48.0,kadin,1992/10/11,corum,istanbul
2014,70.0,erkek,1991/09/18,balikesir,ankara
2014,24.0,erkek,1989/04/21,istanbul,istanbul
2014,16.0,erkek,1994/08/16,kayseri,kayseri
2014,42.0,erkek,1990/03/14,bursa,bursa
2014,18.0,erkek,1995/08/28,,istanbul
2014,18.0,erkek,1994/05/24,cankiri,istanbul
2014,22.0,erkek,1994/01/12,manisa,manisa
2014,22.0,erkek,1994/01/12,manisa,
2014,22.0,kadin,1994/02/03,,istanbul
2014,38.0,kadin,1993/11/12,sivas,istanbul
2014,52.0,kadin,1992/03/17,ankara,
2014,56.0,kadin,1990/07/12,kutahya,istanbul
2014,43.0,kadin,1995/08/22,bursa,bursa
2014,23.0,kadin,1995/11/28,erzurum,izmir
2014,38.0,kadin,1992/06/14,,istanbul
2014,38.0,kadin,1993/10/20,samsun,samsun
2014,44.0,kadin,1995/05/16,izmir,
2014,28.0,kadin,1995/11/18,izmir,
2014,61.0,kadin,1994/02/24,ankara,istanbul
2014,34.0,kadin,1995/11/18,samsun,istanbul
2014,33.0,kadin,1994/02/04,karabuk,
2014,46.0,kadin,1993/02/18,bursa,istanbul
2014,31.0,kadin,1992/04/10,,istanbul
2014,64.0,kadin,1992/03/17,konya,
2014,52.0,kadin,1991/08/16,bilecik,istanbul
2014,52.0,kadin,1994/06/11,konya,istanbul
2014,28.0,kadin,1995/12/25,istanbul,istanbul
2014,50.0,kadin,1993/10/21,istanbul,antalya
2014,38.0,kadin,1994/05/05,istanbul,istanbul
2014,34.0,erkek,1987/04/11,istanbul,istanbul
2014,20.0,erkek,1991/01/05,siirt,istanbul
2014,40.0,erkek,1992/01/01,izmir,istanbul
2014,24.0,erkek,1993/10/15,izmir,izmir
2014,38.0,kadin,1992/04/11,ankara,ankara
2014,32.0,kadin,1995/08/11,ankara,istanbul
2014,26.0,erkek,1993/08/11,kars,istanbul
2014,8.0,erkek,1995/08/06,kutahya,istanbul
2014,61.0,kadin,1994/01/24,ankara,istanbul
2014,28.0,erkek,1992/06/05,diyarbakir,istanbul
2014,24.0,kadin,1993/05/30,diyarbakir,diyarbakir
2014,59.0,kadin,1991/01/08,ankara,ankara
2014,46.0,kadin,1993/03/24,izmir,
2014,43.0,kadin,1993/04/02,ankara,
2014,29.0,kadin,1993/09/28,,istanbul
2014,24.0,kadin,1993/02/05,balikesir,izmir
2014,34.0,erkek,1992/01/24,istanbul,istanbul
2014,51.0,erkek,1992/04/20,istanbul,istanbul
2014,22.0,kadin,1993/01/01,adiyaman,
2014,26.0,erkek,1993/06/15,kirklareli,kirklareli
2014,57.0,erkek,1993/06/06,ankara,ankara
2014,28.0,erkek,1995/10/01,aydin,istanbul
2014,28.0,kadin,1989/02/20,bursa,ankara
2014,63.0,kadin,1995/03/02,erzurum,istanbul
2014,36.0,erkek,1991/06/05,antalya,
2014,53.0,kadin,1993/07/20,manisa,istanbul
2014,37.0,kadin,1993/09/18,elazig,antalya
2014,54.0,kadin,1994/09/15,sivas,istanbul
2014,34.0,kadin,1991/03/02,izmir,izmir
2014,50.0,kadin,1992/02/16,izmir,istanbul
2014,14.0,erkek,1992/12/11,corum,istanbul
2014,41.0,kadin,1992/06/08,izmir,istanbul
2014,49.0,kadin,1993/07/01,,
2014,44.0,erkek,1995/06/03,sakarya,kocaeli
2014,50.0,kadin,1995/07/17,antalya,antalya
2014,44.0,kadin,1993/06/28,ankara,ankara
2014,22.0,kadin,1991/08/21,ankara,
2014,22.0,kadin,1991/05/25,,izmir
2014,58.0,kadin,1995/01/01,mugla,izmir
2014,46.0,kadin,1991/01/06,,istanbul
2014,33.0,kadin,1995/07/29,zonguldak,istanbul
2014,53.0,kadin,1992/09/09,kocaeli,istanbul
2014,50.0,kadin,1994/07/20,adana,istanbul
2014,43.0,kadin,1993/01/14,balikesir,istanbul
2014,48.0,kadin,1991/01/30,usak,istanbul
2014,23.0,kadin,1995/06/28,izmir,
2014,71.0,kadin,1993/09/03,sakarya,
2014,42.0,kadin,1995/04/13,,aydin
2014,52.0,kadin,1993/08/18,izmir,manisa
2014,48.0,kadin,1970/09/20,giresun,mugla
2014,26.0,erkek,1993/02/20,,
2014,63.0,erkek,1992/09/11,izmir,istanbul
2014,26.0,erkek,1995/02/15,,antalya
2014,8.0,erkek,1993/03/19,malatya,istanbul
2014,30.0,erkek,1994/03/06,izmir,izmir
2014,24.0,erkek,1994/01/22,istanbul,istanbul
2014,46.0,kadin,1992/09/28,,istanbul
2014,36.0,kadin,1994/11/18,tekirdag,
2014,51.0,kadin,1992/12/21,istanbul,istanbul
2014,40.0,kadin,1994/04/08,tokat,izmir
2014,43.0,kadin,1993/08/04,zonguldak,zonguldak
2014,36.0,kadin,1994/05/22,mugla,erzurum
2014,98.0,kadin,1994/06/13,ankara,ankara
2014,36.0,erkek,1995/07/03,canakkale,mersin
2014,42.0,erkek,1991/11/28,,
2014,28.0,erkek,1995/08/10,kayseri,
2014,12.0,erkek,1991/10/20,bursa,ankara
2014,26.0,erkek,1994/02/10,eskisehir,istanbul
2014,24.0,erkek,1994/03/22,tokat,istanbul
2014,18.0,erkek,1993/12/30,istanbul,
2014,20.0,erkek,1993/01/01,istanbul,istanbul
2014,58.0,erkek,1993/05/26,ankara,istanbul
2014,23.0,erkek,1993/02/05,sanliurfa,istanbul
2014,28.0,erkek,1994/09/25,,
2014,50.0,erkek,1992/08/05,,istanbul
2014,42.0,erkek,1993/05/14,kastamonu,istanbul
2014,48.0,erkek,1970/01/01,mersin,
2014,31.0,kadin,1992/10/08,diyarbakir,ankara
2014,16.0,erkek,1991/03/21,karabuk,istanbul
2014,21.0,erkek,1992/10/05,istanbul,istanbul
2014,26.0,erkek,1992/02/11,adana,istanbul
2014,58.0,erkek,1994/01/28,istanbul,istanbul
2014,34.0,kadin,1995/11/24,ankara,ankara
2014,29.0,kadin,1992/01/30,ankara,ankara
2014,52.0,kadin,1993/08/29,kayseri,kayseri
2014,22.0,kadin,1992/09/11,,istanbul
2014,22.0,kadin,1993/09/19,antalya,antalya
2014,66.0,kadin,1993/08/24,mersin,
2014,42.0,kadin,1994/10/12,antalya,istanbul
2014,23.0,kadin,1995/12/22,malatya,istanbul
2014,71.0,kadin,1994/03/21,,
2014,54.0,kadin,1994/09/08,konya,istanbul
2014,43.0,kadin,1993/09/17,ankara,istanbul
2014,31.0,erkek,1994/04/27,istanbul,
2014,27.0,erkek,1994/12/19,,istanbul
2014,44.0,kadin,1991/10/28,,istanbul
2014,58.0,kadin,1993/06/11,edirne,istanbul
2014,36.0,erkek,1990/08/02,,
2014,18.0,erkek,1992/07/10,malatya,bursa
2014,22.0,erkek,1994/06/27,,istanbul
2014,34.0,erkek,1994/10/01,adana,
2014,51.0,erkek,1992/07/07,ankara,ankara
2014,42.0,erkek,1990/09/02,,istanbul
2014,28.0,kadin,1993/12/21,,istanbul
2014,28.0,kadin,1991/04/18,,istanbul
2014,28.0,erkek,1993/07/26,istanbul,istanbul
2014,50.0,erkek,1991/11/20,hakkari,
2014,16.0,erkek,1992/03/14,,
2014,20.0,erkek,1994/06/09,sanliurfa,bursa
2014,33.0,kadin,1992/02/09,istanbul,istanbul
2014,43.0,kadin,1992/09/27,denizli,denizli
2014,30.0,erkek,1994/02/02,agri,istanbul
2014,21.0,erkek,1994/06/01,,batman
2014,52.0,kadin,1993/02/05,istanbul,istanbul
2014,10.0,erkek,1995/07/24,malatya,istanbul
2014,44.0,erkek,1992/01/22,,gaziantep
2014,34.0,erkek,1993/04/13,karabuk,istanbul
2014,39.0,kadin,1991/10/28,ankara,ankara
2014,68.0,kadin,1992/07/27,trabzon,istanbul
2014,24.0,kadin,1994/11/25,kocaeli,istanbul
2014,54.0,kadin,1993/04/23,,istanbul
2014,61.0,kadin,1993/08/11,mersin,istanbul
2014,30.0,kadin,1994/08/01,,
2014,30.0,kadin,1993/03/28,kirikkale,
2014,28.0,kadin,1995/04/25,malatya,istanbul
2014,62.0,kadin,1991/01/09,,izmir
2014,46.0,kadin,1992/08/21,kayseri,istanbul
2014,22.0,erkek,1992/11/21,izmir,
2014,44.0,kadin,1992/09/05,izmir,izmir
2014,14.0,erkek,1992/04/21,kirklareli,kirklareli
2014,27.0,erkek,1991/02/21,,istanbul
2014,32.0,erkek,1993/07/23,balikesir,
2014,24.0,erkek,1992/08/24,konya,istanbul
2014,36.0,erkek,1990/06/25,istanbul,
2014,51.0,kadin,1993/08/28,izmir,aydin
2014,34.0,kadin,1991/06/17,ankara,istanbul
2014,44.0,kadin,1993/07/18,,istanbul
2014,85.0,kadin,1993/02/21,,ankara
2014,54.0,kadin,1992/10/07,izmir,izmir
2014,42.0,kadin,1992/08/20,izmir,
2014,59.0,kadin,1992/09/19,istanbul,istanbul
2014,45.0,kadin,1992/06/20,bursa,istanbul
2014,36.0,kadin,1994/11/23,karabuk,istanbul
2014,26.0,kadin,1993/05/21,,istanbul
2014,43.0,kadin,1995/05/20,kocaeli,kocaeli
2014,67.0,kadin,1992/08/30,istanbul,istanbul
2014,56.0,kadin,1990/11/16,samsun,mersin
2014,62.0,kadin,1992/07/07,bursa,istanbul
2014,47.0,kadin,1994/02/05,zonguldak,istanbul
2014,78.0,kadin,1993/01/07,konya,istanbul
2014,47.0,kadin,1991/01/01,mugla,istanbul
2014,28.0,kadin,1994/03/19,kayseri,kayseri
2014,54.0,kadin,1991/05/19,sivas,istanbul
2014,34.0,erkek,1991/07/01,,istanbul
2014,22.0,erkek,1990/01/05,,
2014,22.0,kadin,1993/09/05,,
2014,19.0,erkek,1993/01/23,manisa,istanbul
2014,32.0,erkek,1992/06/20,sakarya,istanbul
2014,42.0,erkek,1986/11/30,,kocaeli
2014,50.0,erkek,1992/02/14,eskisehir,istanbul
2014,24.0,erkek,1995/09/10,adana,adana
2014,46.0,kadin,1993/01/22,,
2014,41.0,erkek,1992/07/21,kahramanmaras,
2014,34.0,kadin,1994/11/15,istanbul,istanbul
2014,24.0,erkek,1992/03/13,istanbul,istanbul
2014,33.0,erkek,1991/02/25,ankara,istanbul
2014,12.0,erkek,1991/03/03,ankara,ankara
2014,34.0,erkek,1991/06/27,nevsehir,
2014,34.0,erkek,1995/08/24,kirikkale,istanbul
2014,40.0,kadin,1993/04/17,kayseri,kayseri
2014,30.0,kadin,1992/10/07,balikesir,balikesir
2014,18.0,kadin,1994/04/07,mugla,istanbul
2014,41.0,kadin,1994/01/15,,
2014,44.0,kadin,1993/03/21,antalya,antalya
2014,43.0,erkek,1992/06/09,isparta,
2014,18.0,erkek,1995/10/25,istanbul,istanbul
2014,52.0,erkek,1994/10/12,ankara,antalya
2014,13.0,erkek,1994/06/18,istanbul,istanbul
2014,20.0,erkek,1994/07/10,sanliurfa,sanliurfa
2014,26.0,erkek,1995/10/27,,istanbul
2014,32.0,erkek,1992/01/21,istanbul,
2014,54.0,erkek,1992/03/03,karaman,
2014,40.0,kadin,1995/04/05,edirne,istanbul
2014,34.0,kadin,1994/06/07,erzincan,
2014,50.0,kadin,1993/04/13,ankara,
2014,38.0,kadin,1995/08/05,kilis,izmir
2014,40.0,kadin,1993/09/19,,istanbul
2014,48.0,kadin,1995/12/28,,aydin
2014,21.0,erkek,1993/10/06,ankara,istanbul
2014,28.0,erkek,1994/01/01,antalya,antalya
2014,40.0,erkek,1992/01/01,diyarbakir,izmir
2014,18.0,erkek,1988/08/06,,
2014,44.0,erkek,1991/10/07,mersin,istanbul
2014,26.0,erkek,1994/10/25,istanbul,ankara
2014,52.0,erkek,1993/11/23,sakarya,sakarya
2014,38.0,erkek,1992/01/05,kirikkale,istanbul
2014,28.0,erkek,1993/09/16,usak,
2014,26.0,erkek,1990/06/26,izmir,
2014,13.0,erkek,1995/04/14,mersin,mersin
2014,32.0,erkek,1994/08/02,,antalya
2014,20.0,kadin,1994/02/05,,
2014,12.0,erkek,1992/01/28,batman,istanbul
2014,40.0,erkek,1992/06/13,kayseri,kayseri
2014,28.0,kadin,1994/08/01,istanbul,istanbul
2014,71.0,erkek,1991/01/04,istanbul,istanbul
2014,14.0,erkek,1993/10/09,istanbul,istanbul
2014,41.0,erkek,1991/02/05,,istanbul
2014,30.0,erkek,1992/08/18,mersin,istanbul
2014,48.0,erkek,1993/10/27,kayseri,
2014,38.0,erkek,1992/09/12,izmir,izmir
2014,50.0,erkek,1992/07/23,osmaniye,ankara
2014,20.0,erkek,1994/08/14,nevsehir,
2014,48.0,erkek,1994/08/12,manisa,istanbul
2014,70.0,erkek,1986/01/19,kayseri,istanbul
2014,34.0,erkek,1993/06/10,tokat,istanbul
2014,33.0,erkek,1993/08/14,diyarbakir,istanbul
2014,24.0,erkek,1994/10/09,ankara,
2014,43.0,erkek,1991/06/22,,istanbul
2014,53.0,erkek,1994/09/17,antalya,antalya
2014,27.0,erkek,1994/10/24,malatya,istanbul
2014,42.0,kadin,1993/09/07,gaziantep,
2014,52.0,kadin,1993/08/01,,
2014,33.0,kadin,1995/03/03,bursa,istanbul
2014,18.0,erkek,1995/08/16,,
2014,24.0,erkek,1991/10/12,istanbul,istanbul
2014,41.0,kadin,1992/01/05,sivas,izmir
2014,20.0,kadin,1995/11/12,istanbul,istanbul
2014,44.0,kadin,1995/07/20,balikesir,balikesir
2014,22.0,kadin,1993/07/16,,izmir
2014,40.0,kadin,1992/02/01,denizli,istanbul
2014,60.0,kadin,1993/11/29,konya,konya
2014,26.0,kadin,1994/09/13,istanbul,istanbul
2014,26.0,kadin,1992/06/16,,antalya
2014,26.0,kadin,1994/12/20,izmir,izmir
2014,32.0,kadin,1994/01/08,sakarya,istanbul
2014,18.0,kadin,1994/01/17,adana,adana
2014,38.0,kadin,1992/01/07,istanbul,
2014,90.0,kadin,1993/08/01,denizli,
2014,42.0,erkek,1992/01/13,,istanbul
2014,24.0,erkek,1994/03/18,nevsehir,nevsehir
2014,8.0,erkek,1986/01/13,corum,istanbul
2014,36.0,erkek,1987/01/12,mardin,istanbul
2014,34.0,kadin,1995/08/20,kayseri,istanbul
2014,47.0,erkek,1992/07/13,adana,
2014,26.0,erkek,1994/10/06,,konya
2014,40.0,erkek,1995/03/01,konya,istanbul
2014,52.0,erkek,1992/05/11,balikesir,izmir
2014,38.0,kadin,1991/10/19,erzincan,izmir
2014,36.0,kadin,1992/10/13,bolu,istanbul
2014,42.0,erkek,1994/11/13,,ankara
2014,30.0,erkek,1993/06/13,agri,bursa
2014,20.0,erkek,1992/06/15,gaziantep,istanbul
2014,22.0,erkek,1989/05/26,,istanbul
2014,12.0,erkek,1993/04/23,tokat,istanbul
2014,8.0,erkek,1995/12/18,,gaziantep
2014,50.0,erkek,1992/09/01,konya,ankara
2014,20.0,erkek,1994/07/12,malatya,
2014,8.0,erkek,1987/11/15,osmaniye,konya
2014,31.0,erkek,1992/11/11,istanbul,
2014,22.0,erkek,1993/06/25,,istanbul
2014,72.0,kadin,1993/05/28,adana,istanbul
2014,26.0,erkek,1992/03/20,,kayseri
2014,38.0,erkek,1992/09/24,istanbul,istanbul
2014,39.0,erkek,1993/05/17,adana,istanbul
2014,24.0,erkek,1992/03/08,sanliurfa,gaziantep
2014,44.0,erkek,1993/01/12,,istanbul
2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara
2014,40.0,erkek,1993/01/02,afyonkarahisar,ankara
2014,36.0,erkek,1993/09/16,,istanbul
2014,12.0,erkek,1991/01/17,bursa,istanbul
2014,32.0,erkek,1990/01/08,istanbul,istanbul
2014,43.0,erkek,1991/05/20,nigde,nigde
2014,38.0,erkek,1994/06/20,elazig,istanbul
2014,38.0,erkek,1993/08/22,malatya,istanbul
2014,43.0,erkek,1995/04/05,eskisehir,ankara
2014,22.0,erkek,1991/06/06,ankara,ankara
2014,22.0,erkek,1992/04/02,ankara,istanbul
2014,38.0,kadin,1995/07/12,rize,
2014,30.0,kadin,1992/04/05,ankara,istanbul
2014,22.0,erkek,1994/10/04,bursa,ankara
2014,12.0,erkek,1992/01/04,malatya,ankara
2014,30.0,kadin,1994/04/25,bursa,istanbul
2014,48.0,kadin,1994/10/27,,kocaeli
2014,50.0,kadin,1994/09/17,kirklareli,
2014,62.0,kadin,1994/04/12,ankara,ankara
2014,38.0,erkek,1993/07/02,adana,
2014,34.0,erkek,1993/12/14,,istanbul
2014,27.0,kadin,1995/06/23,kocaeli,izmir
2014,18.0,erkek,1992/10/15,,istanbul
2014,56.0,erkek,1994/10/01,mersin,
2014,18.0,erkek,1992/03/22,,istanbul
2014,32.0,erkek,1993/12/05,kutahya,istanbul
2014,47.0,erkek,1994/04/01,bursa,istanbul
2014,34.0,erkek,1993/02/03,istanbul,
2014,10.0,erkek,1994/07/22,istanbul,
2014,22.0,erkek,1990/01/20,kayseri,istanbul
2014,40.0,erkek,1995/03/21,nevsehir,
2014,20.0,erkek,1995/06/27,kocaeli,istanbul
2014,52.0,erkek,1992/01/16,amasya,bursa
2014,24.0,erkek,1994/10/09,manisa,manisa
2014,18.0,erkek,1995/02/23,izmir,izmir
2014,22.0,erkek,1991/12/18,,izmir
2014,18.0,erkek,1994/12/11,,
2014,16.0,erkek,1992/06/07,,istanbul
2014,34.0,erkek,1992/04/03,izmir,
2014,43.0,erkek,1993/10/11,,istanbul
2014,24.0,erkek,1995/06/11,adana,istanbul
2014,32.0,erkek,1992/08/18,aydin,istanbul
2014,77.0,kadin,1992/06/03,,istanbul
2014,72.0,kadin,1992/03/08,ankara,istanbul
2014,36.0,erkek,1991/11/21,bursa,istanbul
2014,24.0,erkek,1992/06/10,malatya,gaziantep
2014,40.0,erkek,1993/02/02,samsun,istanbul
2014,41.0,kadin,1992/04/15,rize,
2014,48.0,kadin,1992/09/02,istanbul,istanbul
2014,33.0,kadin,1992/08/05,istanbul,istanbul
2014,50.0,kadin,1992/05/28,izmir,
2014,41.0,kadin,1993/01/04,,izmir
2014,39.0,kadin,1995/07/08,adana,istanbul
2014,44.0,erkek,1993/04/02,mersin,
2014,30.0,erkek,1993/09/16,diyarbakir,istanbul
2014,8.0,erkek,1991/03/11,istanbul,istanbul
2014,22.0,kadin,1995/04/20,ankara,izmir
2014,44.0,kadin,1995/05/22,malatya,
2014,58.0,kadin,1990/06/21,bursa,istanbul
2014,18.0,kadin,1992/01/01,mardin,izmir
2014,50.0,kadin,1995/01/25,aksaray,aksaray
2014,32.0,kadin,1994/04/06,istanbul,
2014,29.0,kadin,1992/01/10,istanbul,istanbul
2014,32.0,kadin,1994/01/01,izmir,izmir
2014,34.0,kadin,1995/04/23,istanbul,
2014,41.0,erkek,1991/01/09,,
2014,16.0,erkek,1990/01/28,,
2014,12.0,erkek,1991/01/01,mugla,ankara
2014,37.0,erkek,1992/10/12,,
2014,48.0,kadin,1991/01/07,batman,gaziantep
2014,18.0,kadin,1995/03/29,kirikkale,istanbul
2014,28.0,erkek,1993/01/24,mersin,
2014,31.0,erkek,1993/07/22,trabzon,istanbul
2014,56.0,erkek,1992/09/20,nigde,istanbul
2014,41.0,erkek,1994/10/05,,istanbul
2014,18.0,erkek,1991/07/31,,
2014,50.0,erkek,1993/05/16,kahramanmaras,istanbul
2014,30.0,kadin,1995/06/09,istanbul,istanbul
2014,12.0,erkek,1992/07/12,izmir,izmir
2014,28.0,erkek,1995/01/01,adana,
2014,36.0,kadin,1994/01/21,samsun,ankara
2014,48.0,erkek,1994/10/08,,
2014,12.0,erkek,1991/07/31,,
2014,44.0,erkek,1994/01/04,izmir,istanbul
2014,40.0,kadin,1994/03/13,batman,batman
2014,38.0,kadin,1993/01/10,,istanbul
2014,8.0,erkek,1992/03/24,bursa,bursa
2014,32.0,erkek,1993/01/01,antalya,istanbul
2014,26.0,kadin,1993/01/04,kutahya,kutahya
2014,26.0,kadin,1986/06/25,,istanbul
2014,23.0,erkek,1995/02/22,kirklareli,
2014,16.0,erkek,1993/11/29,trabzon,trabzon
2014,32.0,erkek,1993/05/19,denizli,istanbul
2014,41.0,kadin,1992/07/08,bursa,bursa
2014,64.0,kadin,1991/07/31,ankara,istanbul
2014,18.0,erkek,1995/07/03,ankara,
2014,14.0,erkek,1994/10/02,balikesir,istanbul
2014,28.0,erkek,1993/02/09,,izmir
2014,57.0,kadin,1994/09/05,,
2014,52.0,kadin,1994/10/27,izmir,istanbul
2014,28.0,kadin,1995/07/20,bursa,
2014,28.0,erkek,1992/06/14,duzce,istanbul
2014,32.0,kadin,1991/01/27,,istanbul
2014,42.0,kadin,1993/01/01,afyonkarahisar,afyonkarahisar
2014,40.0,erkek,1991/02/27,elazig,usak
2014,22.0,erkek,1990/01/01,isparta,istanbul
2014,48.0,kadin,1995/01/01,,istanbul
2014,53.0,kadin,1994/07/20,aydin,
2014,52.0,kadin,1994/02/14,denizli,istanbul
2014,49.0,kadin,1994/01/11,istanbul,
2014,36.0,erkek,1990/03/18,,izmir
2014,32.0,erkek,1993/09/02,zonguldak,istanbul
2014,26.0,erkek,1990/03/05,sivas,istanbul
2014,34.0,erkek,1991/07/08,,sakarya
2014,38.0,erkek,1993/07/06,balikesir,
2014,50.0,kadin,1993/11/15,kayseri,kayseri
2014,28.0,erkek,1991/09/18,,istanbul
2014,62.0,erkek,1991/06/15,ankara,
2014,51.0,kadin,1995/08/29,erzurum,erzurum
2014,42.0,kadin,1991/07/17,mersin,istanbul
2014,18.0,kadin,1994/08/14,,istanbul
2014,44.0,kadin,1993/06/19,izmir,istanbul
2014,36.0,kadin,1994/06/17,kirklareli,istanbul
2014,21.0,erkek,1992/12/05,izmir,
2014,42.0,kadin,1992/02/11,zonguldak,istanbul
2014,60.0,kadin,1995/01/16,,istanbul
2014,26.0,erkek,1993/08/14,ankara,
2014,66.0,kadin,1991/06/19,aydin,istanbul
2014,38.0,kadin,1993/01/02,istanbul,istanbul
2014,44.0,kadin,1994/04/11,izmir,ankara
2014,54.0,kadin,1993/02/24,istanbul,
2014,42.0,kadin,1993/04/09,balikesir,ankara
2014,38.0,kadin,1995/01/07,istanbul,antalya
2014,18.0,erkek,1993/08/25,izmir,istanbul
2014,36.0,kadin,1992/08/03,ankara,istanbul
2014,24.0,erkek,1993/03/23,mersin,istanbul
2014,18.0,erkek,1995/01/29,,izmir
2014,46.0,kadin,1993/09/26,diyarbakir,istanbul
2014,34.0,kadin,1990/04/30,yozgat,
2014,28.0,kadin,1991/06/14,istanbul,istanbul
2014,34.0,kadin,1991/06/08,amasya,istanbul
2014,23.0,kadin,1995/09/24,izmir,izmir
2014,14.0,erkek,1994/03/31,isparta,istanbul
2014,22.0,erkek,1990/08/21,antalya,istanbul
2014,41.0,erkek,1993/05/13,isparta,istanbul
2014,28.0,erkek,1993/03/11,kahramanmaras,istanbul
